TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[2.2928502559661865, 6.102513790130615, 3.276397943496704]","[0.0971440002322197, -0.2251850068569183, 0.5820810198783875, 0.7752640247344971, -1.1249159574508667, -1.0328879356384275, -0.9368090629577636]","[-31.75, -31.8125, -13.3125]","[-0.779464066028595, -0.0581892766058445, -0.1889667958021164]","[-63.875, -4.0625, 44.375]","[-2.6698999404907227, 3.721999883651733, 0.0190999992191791]","[-0.250576913356781, -0.6025574803352356, -0.7998669147491455]","[2.120800018310547, 8.418600082397461, 4.5605998039245605]",right,START,
"[-1.6535123586654663, 9.038867950439451, -0.368036687374115]","[0.0711150020360946, -0.2233020067214965, 0.5641639828681946, 0.7917050123214722, -1.0246026515960691, -1.038300633430481, -0.8010522723197937]","[-32.75, -30.4375, -12.3125]","[-0.5548750758171082, -0.0831998437643051, -0.5727821588516235]","[-64.875, -2.6875, 45.375]","[0.4587000012397766, 0.9747999906539916, -0.3418000042438507]","[-0.0716108605265617, -0.0567930154502391, -0.4482878148555755]","[2.5518999099731445, 8.468899726867676, 4.234999656677246]",,,"[45.0, 0.4386074841022491, 14.33254337310791, 7.693999767303467, 2.13599181175232, 232.21592712402344, 710.3502089027315, 18.8986421, 49.6412312]"
"[0.8459863662719727, 6.493027210235596, 2.4095053672790527]","[0.0394879989326, -0.2205919921398162, 0.5452039837837219, 0.8077939748764038, -0.9136567115783693, -1.0419772863388062, -0.6475313305854797]","[-34.875, -28.8125, -11.9375]","[-0.5768313407897949, -0.6072698831558228, -0.873310387134552]","[-67.0, -1.0625, 45.75]","[-0.2283999919891357, 4.294699668884277, 2.3513998985290527]","[0.0239284634590148, -0.3131295144557953, -0.3337942063808441]","[2.915499925613404, 8.47350025177002, 3.983599901199341]",,,
"[1.2965080738067627, 2.7676589488983154, 5.038434505462647]","[0.0236109998077154, -0.2185910046100616, 0.5295180082321167, 0.8193100094795227, -0.8397371172904968, -1.0301116704940796, -0.5526167154312134]","[-35.5625, -26.6875, -13.0]","[0.1109156757593154, -1.0196737051010132, -0.8765741586685181]","[-67.6875, 1.0625, 44.6875]","[-2.6524999141693115, 2.262199878692627, -1.7971999645233154]","[-0.2212030291557312, -0.6950948238372803, -0.7485891580581665]","[3.2898998260498047, 8.417099952697754, 3.8076000213623047]",,,
"[3.5859971046447754, 1.1068298816680908, 5.807212829589844]","[0.0100530004128813, -0.2435790002346038, 0.5076299905776978, 0.8263649940490723, -0.8454417586326599, -0.9864591360092164, -0.4988390505313873]","[-36.625, -24.4375, -15.625]","[0.7217110991477966, 0.0364424735307693, 0.1306378990411758]","[-68.75, 3.3125, 42.0625]","[-0.9541999697685242, -3.56469988822937, -0.0873999968171119]","[0.6980444192886353, -0.7698298096656799, -0.3029542565345764]","[3.6215999126434326, 8.183599472045898, 4.0100998878479]",,,
"[10.976926803588867, 22.588134765625, 2.236347198486328]","[0.0303739998489618, -0.2703840136528015, 0.4875879883766174, 0.8295940160751343, -0.901548445224762, -0.9150200486183168, -0.5410744547843933]","[-36.1875, -23.6875, -16.375]","[0.2728124260902405, 0.2905449569225311, 0.1366243660449981]","[-68.3125, 4.0625, 41.3125]","[-2.853999853134156, -1.6060999631881714, -2.0165998935699463]","[0.2442937344312667, 0.7041705250740051, -0.0854513198137283]","[3.6188998222351074, 7.882400035858154, 4.576099872589111]",,,
"[4.557036876678467, 14.021221160888672, 1.6716315746307373]","[0.0322320014238357, -0.2693119943141937, 0.4873310029506683, 0.830024003982544, -0.8996719717979431, -0.9134753346443176, -0.543550968170166]","[-36.3125, -23.875, -15.375]","[0.061016708612442, 0.322013258934021, 0.5238605737686157]","[-68.4375, 3.875, 42.3125]","[-4.65939998626709, 3.928599834442138, -1.261099934577942]","[-0.1388409435749054, 0.3076317310333252, 0.2036275565624237]","[3.78659987449646, 7.750999927520752, 4.664000034332275]",,,"[45.0, 0.4432488083839416, 14.33254337310791, 8.387999534606934, 2.266961097717285, 230.33514404296875, 710.3502089027315, 18.8986277, 49.6412225]"
"[3.2959060668945312, 8.911812782287598, 5.03021764755249]","[0.0263819992542266, -0.2474550008773803, 0.5052859783172607, 0.8262900114059448, -0.8707919716835022, -0.9648593068122864, -0.5417464971542358]","[-35.875, -25.625, -13.1875]","[-0.7923096418380737, -0.5066865086555481, -0.214239165186882]","[-68.0, 2.125, 44.5]","[2.125200033187866, -0.0410999990999698, 3.736299991607666]","[-0.312274307012558, 0.3429746627807617, 0.1815665960311889]","[3.670399904251098, 7.99429988861084, 4.334499835968018]",,,
"[8.76711654663086, 7.590730667114258, 8.009045600891113]","[0.0116320000961422, -0.2237119972705841, 0.5188769698143005, 0.824974000453949, -0.8119801878929138, -1.017725706100464, -0.498932808637619]","[-35.5, -26.1875, -13.4375]","[0.333340436220169, -0.2213950157165527, 0.0636870637536048]","[-67.625, 1.5625, 44.25]","[-0.1048000007867813, -5.483999729156494, -0.9039999842643738]","[0.6056990623474121, 0.2355147302150726, 0.1009323894977569]","[3.478299856185913, 8.327899932861328, 3.836199998855591]",,,
"[4.91024923324585, 10.252364158630373, -0.0687997788190841]","[0.0191220007836818, -0.2390590012073516, 0.5147209763526917, 0.8231319785118103, -0.8599128127098083, -0.994018256664276, -0.5340372323989868]","[-36.375, -24.6875, -14.25]","[0.6537654399871826, -0.1206371560692787, -0.4461061656475067]","[-68.5, 3.0625, 43.4375]","[-4.921299934387207, -4.590799808502197, 1.687199950218201]","[0.5083271265029907, -0.2512052357196808, -0.656069278717041]","[3.460099935531616, 8.229100227355957, 4.0594000816345215]",,,
