TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[3.0253610610961914, 12.680937767028809, 2.5805184841156006]","[0.6711900234222412, 0.3635579943656921, 0.5381320118904114, 0.3574100136756897, -1.2445522546768188, -1.060706377029419, -2.95933485031128]","[-3.1875, -44.25, 1.875]","[-0.0981049537658691, 0.0693593844771385, 0.4927413463592529]","[-50.375, -60.3125, 35.6875]","[-1.416800022125244, 0.9442999958992004, 2.407500028610229]","[-0.1014559864997863, 0.0952077135443687, 0.4956735074520111]","[1.534500002861023, 8.558199882507324, 4.5355000495910645]",left,START,
"[1.2283213138580322, 6.460552215576172, 7.13607120513916]","[0.6587290167808533, 0.381848007440567, 0.5473219752311707, 0.3474259972572326, -1.3354952335357666, -1.08301842212677, -3.056713342666626]","[-0.75, -44.125, 1.25]","[0.2152339965105056, -0.2807013094425201, 0.4858647584915161]","[-47.9375, -60.1875, 35.0625]","[-1.0224000215530396, 1.928099989891052, -1.694000005722046]","[0.2119004279375076, -0.2548355162143707, 0.4888143539428711]","[1.0713999271392822, 8.6628999710083, 4.469299793243408]",,,
"[4.067624092102051, 8.042860984802246, 3.9845166206359854]","[0.6432669758796692, 0.3904590010643005, 0.5619890093803406, 0.3433879911899566, -1.4322614669799805, -1.0936287641525269, -3.135249853134156]","[1.0, -44.375, 1.625]","[0.3005282282829284, -0.2476796805858612, 0.6714980006217957]","[-46.1875, -60.4375, 35.4375]","[-0.9846999645233154, 1.438599944114685, 0.3837999999523163]","[0.2971946597099304, -0.2218138873577118, 0.6744301319122314]","[0.6218999624252319, 8.711199760437012, 4.460599899291992]",,,
"[1.5753655433654783, 6.195398807525635, 3.2208430767059326]","[0.6261360049247742, 0.4041009843349457, 0.5831199884414673, 0.3234579861164093, -1.5849868059158323, -1.082799792289734, 2.999876976013184]","[4.6875, -44.4375, 2.0]","[0.6391744613647461, 0.3463256955146789, 1.2123405933380127]","[-42.5, -60.5, 35.8125]","[1.722499966621399, 1.2034999132156372, -9.039799690246582]","[0.6358234286308289, 0.3721739947795868, 1.2152727842330933]","[-0.065200001001358, 8.66189956665039, 4.597399711608887]",,,"[45.0, 0.5901757478713989, 18.722461700439453, 14.343999862670898, 3.797271966934204, 104.1677703857422, 2326.207962409593, 6.6573621, 44.5777921]"
"[-1.22319757938385, 5.178485870361328, 7.695222854614258]","[0.6235039830207825, 0.4434289932250976, 0.5854129791259766, 0.2681480050086975, -1.729297757148743, -1.0489778518676758, 2.7617886066436768]","[10.6875, -43.25, 1.375]","[-0.2874557375907898, 0.415789783000946, 1.0935883522033691]","[-36.5, -59.3125, 35.1875]","[3.5663998126983643, -4.372900009155273, -1.924099922180176]","[-0.290806770324707, 0.4416381120681762, 1.0965205430984497]","[-0.7714999914169312, 8.501500129699707, 4.8267998695373535]",,,
"[-0.3098384439945221, 9.211604118347168, 8.635981559753418]","[0.617842972278595, 0.4874779880046844, 0.5790020227432251, 0.2130510061979293, -1.850342869758606, -1.014248251914978, 2.534782886505127]","[15.375, -41.5625, -0.6875]","[0.4169068038463592, 0.8270068168640137, 1.3181250095367432]","[-31.8125, -57.625, 33.125]","[3.675099849700928, -1.0794999599456787, 2.081399917602539]","[0.413555771112442, 0.8528551459312439, 1.321074604988098]","[-1.4292999505996704, 8.326600074768066, 4.979300022125244]",,,"[45.0, 0.4592340588569641, 22.9074649810791, 14.732999801635742, 3.890360116958618, 110.92350006103516, 2325.7047706451267, 6.6573768, 44.5777857]"
"[3.0661487579345703, 16.7900390625, 0.6700125932693481]","[0.6079009771347046, 0.5279819965362549, 0.5758839845657349, 0.1415890008211136, -1.952172040939331, -0.9356741905212402, 2.316140651702881]","[21.125, -38.75, -2.4375]","[-0.0971101224422454, 1.354986310005188, 1.2041898965835571]","[-26.0625, -54.8125, 31.375]","[1.459299921989441, 6.40369987487793, 1.327299952507019]","[-0.1004611477255821, 1.380834698677063, 1.2071220874786377]","[-2.16540002822876, 7.894299983978271, 5.400000095367432]",,,
"[0.5088253021240234, 6.614375114440918, 5.954705238342285]","[0.6040189862251282, 0.5779650211334229, 0.5417060256004333, 0.0875749960541725, -2.0027096271514893, -0.9158546924591064, 2.117326259613037]","[25.125, -36.0625, -3.4375]","[-0.6193649768829346, 0.4791452288627624, 0.7285178899765015]","[-22.0625, -52.125, 30.375]","[2.9417998790740967, -4.894299983978272, 3.685599803924561]","[-0.6226985454559326, 0.5049935579299927, 0.7314500212669373]","[-2.500499963760376, 7.777499675750732, 5.424699783325195]",,,
"[-0.6957262754440308, 4.319369792938232, 1.0696240663528442]","[0.599295973777771, 0.6086739897727966, 0.5170320272445679, 0.0551109984517097, -2.033432483673096, -0.9051859974861144, 1.9928336143493648]","[27.0625, -34.75, -3.9375]","[-0.3255039155483246, 0.1269901543855667, 0.4558101892471313]","[-20.125, -50.8125, 29.875]","[6.684299945831299, 6.672999858856201, -3.075500011444092]","[-0.3288549482822418, 0.1528384834527969, 0.4587423503398895]","[-2.702800035476685, 7.713299751281738, 5.419300079345703]",,,
"[2.3182191848754883, 8.708784103393555, 3.530978202819824]","[0.5905560255050659, 0.6252009868621826, 0.5078009963035583, 0.0500340014696121, -2.0765109062194824, -0.9095818400382996, 1.92543363571167]","[28.5625, -33.625, -2.9375]","[0.1538856774568557, 0.0799535363912582, 0.0873711854219436]","[-18.625, -49.6875, 30.875]","[2.2797999382019043, 0.8702999949455261, -3.3362998962402344]","[0.1505346447229385, 0.1058193147182464, 0.0903033316135406]","[-2.917199850082397, 7.739799976348877, 5.268199920654297]",,,
"[3.205730676651001, 3.810534954071045, 7.25646162033081]","[0.5972859859466553, 0.6259869933128357, 0.4990600049495697, 0.0482450015842914, -2.0550715923309326, -0.9205601215362548, 1.9279136657714844]","[27.6875, -34.0, -3.0625]","[-0.5498484969139099, 0.1619316488504409, 0.2611710727214813]","[-19.5, -50.0625, 30.75]","[7.363199710845947, -2.362799882888794, -0.762499988079071]","[-0.5531995296478271, 0.1877974271774292, 0.2641032338142395]","[-2.7639000415802, 7.805500030517578, 5.253999710083008]",,,
"[0.8397997617721558, 5.560513973236084, 3.685873508453369]","[0.5982199907302856, 0.6471239924430847, 0.4704839885234833, 0.0447980016469955, -2.07749342918396, -0.9551467895507812, 1.848730444908142]","[28.9375, -33.625, -2.75]","[-0.2935992777347564, 0.767264187335968, 0.0832696557044982]","[-18.25, -49.6875, 31.0625]","[2.767899990081787, 1.202199935913086, -1.0289000272750854]","[-0.2969503104686737, 0.7931125164031982, 0.0862018093466758]","[-2.7482998371124268, 8.006099700927734, 4.951600074768066]",,,
"[0.4317703247070312, 6.352563858032227, 3.270460367202759]","[0.6105390191078186, 0.6570519804954529, 0.4414420127868652, 0.0255319997668266, -2.0351321697235107, -0.969943106174469, 1.812389016151428]","[28.9375, -33.875, -5.1875]","[0.0994837656617164, 0.4759687483310699, -0.2195275127887725]","[-18.25, -49.9375, 28.625]","[2.227799892425537, 3.659299850463867, -1.240299940109253]","[0.0961327329277992, 0.5018170475959778, -0.2165779024362564]","[-2.482800006866455, 8.08899974822998, 4.957099914550781]",,,
"[1.8483620882034304, 20.164012908935547, 4.531208515167236]","[0.6239960193634033, 0.6500009894371033, 0.4336709976196289, 0.0075300000607967, -1.96513032913208, -0.9574512243270874, 1.8432327508926392]","[28.9375, -34.125, -5.5625]","[-0.2979102432727813, 0.1344950646162033, 0.2354274690151214]","[-18.25, -50.1875, 28.25]","[5.228300094604492, -0.3894999921321869, 0.4763000011444092]","[-0.3012612760066986, 0.1603608578443527, 0.2383596152067184]","[-2.168599843978882, 8.019100189208984, 5.2114996910095215]",,,
"[-0.9590597748756408, 5.589378833770752, 3.853046178817749]","[0.6221029758453369, 0.6649870276451111, 0.4131949841976166, 0.0070170001126825, -1.9915567636489868, -0.9848327040672302, 1.7811771631240845]","[28.5625, -33.5625, -4.9375]","[-0.4751309752464294, 0.4705407619476318, -0.4098731279373169]","[-18.625, -49.625, 28.875]","[1.7148998975753784, 0.5277000069618225, -0.840999960899353]","[-0.4784820079803467, 0.496389091014862, -0.4069409668445587]","[-2.2149999141693115, 8.170700073242188, 4.949999809265137]",,,"[45.0, 0.5212617516517639, 22.9074649810791, 17.209999084472656, 4.004681587219238, 114.5583267211914, 2325.7047706451267, 6.65742, 44.5777674]"
"[6.107637405395508, 14.387802124023438, 4.928234577178955]","[-0.6425039768218994, -0.6613799929618835, -0.3869909942150116, 0.0009430000209249, -1.907264232635498, -1.014371395111084, 1.8100252151489256]","[27.625, -34.0, -6.4375]","[0.4911007285118103, 0.2818183004856109, 0.100600779056549]","[-19.5625, -50.0625, 27.375]","[6.740799903869629, 11.531099319458008, 0.0044999998062849]","[0.4877497255802154, 0.3076666295528412, 0.1035503819584846]","[-1.709999918937683, 8.327300071716309, 4.888899803161621]",,,"[45.0, 1.5, 25.543550491333008, 16.84000015258789, 4.205564022064209, 118.30864715576172, 2325.1612088466063, 6.6574333, 44.5777532]"
"[-0.6305082440376282, 9.172513008117676, 1.7903361320495603]","[-0.649088978767395, -0.6644079685211182, -0.3702250123023987, 0.0133130000904202, -1.8760335445404053, -1.02105975151062, 1.7961933612823486]","[27.25, -34.3125, -6.5625]","[0.0163013748824596, 0.5887693762779236, -0.241117238998413]","[-19.9375, -50.375, 27.25]","[0.8237999677658081, 6.544299602508545, -5.376999855041504]","[-0.256406307220459, 0.5430591702461243, -0.1259429603815078]","[-1.539699912071228, 8.361700057983398, 4.886699676513672]",,,
"[2.0231003761291504, 20.141817092895508, 4.429100513458252]","[-0.663873016834259, -0.6602529883384705, -0.3506329953670501, 0.0198270007967948, -1.8058394193649288, -1.0406721830368042, 1.825382232666016]","[27.0625, -34.625, -8.9375]","[0.8749160766601562, 0.7751879692077637, 0.052307516336441]","[-20.125, -50.6875, 24.875]","[-1.159500002861023, -4.341799736022949, 0.6595999598503113]","[1.0273356437683103, 0.9140114784240724, 0.075206235051155]","[-1.1546999216079712, 8.460599899291992, 4.822199821472168]",,,
"[-0.93922621011734, 11.323175430297852, 1.7834025621414185]","[-0.664205014705658, -0.6577309966087341, -0.3515410125255584, 0.0513679981231689, -1.7780107259750366, -0.992912530899048, 1.810144305229187]","[26.5625, -33.9375, -10.125]","[-0.0999026447534561, 0.465444415807724, 0.1542347520589828]","[-20.625, -50.0, 23.6875]","[-0.4178999960422516, 6.270099639892578, -2.692499876022339]","[-0.2438923120498657, 0.500019371509552, 0.2082526832818985]","[-1.1021000146865845, 8.214200019836426, 5.242300033569336]",,,
