TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[5.566768169403076, 3.738258600234986, -3.223754405975342]","[0.8834450244903564, 0.3706389963626861, -0.1976920068264007, 0.2075279951095581, 0.6608933210372925, -0.6099483370780945, -2.46501088142395]","[-12.875, -39.5, 27.25]","[0.0930260494351387, 0.8009141087532043, -1.501506805419922]","[-364.375, -51.5, -88.8125]","[3.352999925613404, -1.7731999158859253, -1.3910999298095703]","[0.1603259444236755, 0.666663408279419, -1.4856243133544922]","[6.345699787139893, 5.6173996925354, -4.934000015258789]",left,START,"[45.0, 1.5, 18.614463806152344, 10.291999816894531, 3.454556703567505, 255.9272003173828, 643.0354387154803, 18.8954456, 49.6395996]"
"[9.364699363708496, 4.131089687347412, -7.289731502532959]","[0.8857079744338989, 0.350055992603302, -0.216279998421669, 0.2149499952793121, 0.6788915395736694, -0.5552031993865967, -2.464851140975952]","[-14.5, -37.5, 29.3125]","[-0.4152661859989166, 0.138020634651184, -0.2198067605495453]","[-366.5, -49.75, -87.25]","[2.624500036239624, 0.4596999883651733, 0.2216999977827072]","[-0.5059011578559875, 0.2610314488410949, -0.2898817360401153]","[6.485699653625488, 5.1691999435424805, -5.23289966583252]",,,
"[7.289932250976562, 8.047639846801758, -6.603936195373535]","[0.8798379898071289, 0.3549230098724365, -0.23225699365139, 0.2144059985876083, 0.719485342502594, -0.5526621341705322, -2.451017141342163]","[-14.4375, -36.875, 30.5625]","[-0.0871966481208801, 0.4944692254066467, 0.2226341962814331]","[-366.75, -48.875, -85.75]","[1.4986999034881592, 2.6873998641967773, -0.1578999906778335]","[-0.1839053481817245, 0.4872260987758636, 0.1585108041763305]","[6.277899742126465, 5.1479997634887695, -5.500400066375732]",,,
"[5.502402305603027, 8.446523666381836, -4.25597095489502]","[0.8780540227890015, 0.3702029883861542, -0.2385679930448532, 0.1872310042381286, 0.7388435006141663, -0.5953297019004822, -2.4849555492401123]","[-12.8125, -37.6875, 29.625]","[0.6296624541282654, 0.6702936887741089, 0.2615899443626404]","[-365.0625, -49.6875, -86.4375]","[-0.3438999950885772, 1.1003999710083008, -0.0824999958276748]","[0.5862735509872437, 0.7966729998588562, 0.3019419610500335]","[6.002299785614014, 5.499300003051758, -5.467899799346924]",,,
"[6.713590145111084, 5.347851753234863, -4.414994239807129]","[0.8785309791564941, 0.37288299202919, -0.2627959847450256, 0.1417009979486465, 0.7711807489395142, -0.6195902824401855, -2.5633432865142822]","[-11.3125, -39.0, 27.6875]","[0.6067811846733093, 1.237141728401184, -0.2944195866584778]","[-363.5, -50.8125, -88.375]","[-2.861500024795532, -1.5856999158859253, -0.6821999549865723]","[0.1964891701936721, 0.5575279593467712, -0.7734426259994507]","[5.724999904632568, 5.694699764251709, -5.564499855041504]",,,
"[3.8623452186584473, 4.716328144073486, -8.692914962768555]","[0.8876789808273315, 0.3465340137481689, -0.2841790020465851, 0.1057379990816116, 0.7679612636566162, -0.5885130763053894, -2.660796403884888]","[-11.75, -39.875, 26.9375]","[0.27747243642807, 0.6409198045730591, -0.713630199432373]","[-363.625, -51.9375, -89.3125]","[1.8895999193191528, 2.656299829483032, -1.2374999523162842]","[0.4644146561622619, 0.4996702969074249, -0.5109102129936218]","[5.8673996925354, 5.443899631500244, -5.666299819946289]",,,
"[7.040763378143311, 6.726183891296387, -6.239969730377197]","[0.888159990310669, 0.3365100026130676, -0.3049409985542297, 0.0703060030937194, 0.7866272926330566, -0.5882079005241394, -2.7335572242736816]","[-12.6875, -40.3125, 25.125]","[0.4415857493877411, 0.6206216216087341, -0.4318817257881164]","[-364.875, -52.1875, -90.625]","[-2.2314000129699707, -1.2735999822616575, -1.6574000120162964]","[0.2387435883283615, 0.2728822231292724, 0.1895078420639038]","[5.761799812316895, 5.441400051116943, -5.776000022888184]",,,
"[2.495620012283325, 5.125736713409424, -6.287317276000977]","[0.8802030086517334, 0.3502289950847626, -0.3153949975967407, 0.0557360015809536, 0.8188924193382263, -0.6204330325126648, -2.738656044006348]","[-10.875, -40.75, 24.75]","[0.1847081929445266, 0.2047969400882721, 0.2054776102304458]","[-363.0625, -52.875, -91.1875]","[-3.056999921798706, 0.5159000158309937, -0.046399999409914]","[-0.2943323254585266, -0.1741664111614227, 0.0178896244615316]","[5.44980001449585, 5.701399803161621, -5.827699661254883]",,,
"[3.869566202163696, 4.68022346496582, -6.22183084487915]","[0.8801310062408447, 0.3478370010852813, -0.3157120048999786, 0.0685769990086555, 0.8239058256149292, -0.6052687168121338, -2.714888572692871]","[-10.9375, -41.3125, 25.0625]","[-0.2399653196334839, -0.2241177260875702, -0.0040491637773811]","[-363.0625, -53.5, -91.1875]","[0.120899997651577, 1.7750999927520752, 0.0828000009059906]","[-0.690539538860321, 0.1979028880596161, 0.2887647151947021]","[5.478600025177002, 5.579799652099609, -5.917699813842773]",,,
"[7.162513256072998, 4.379454612731934, -8.295869827270508]","[0.8713139891624451, 0.3563329875469208, -0.3236959874629974, 0.0951789990067482, 0.8668814897537231, -0.5935866832733154, -2.642782211303711]","[-10.125, -40.375, 26.75]","[-0.6621081233024597, 0.2024756520986557, 0.4039913713932037]","[-359.875, -51.8125, -88.6875]","[-0.3675999939441681, 0.9282999634742736, -0.9323999881744384]","[-0.0068940506316721, -0.0250105690211057, 0.4880638718605041]","[5.261199951171875, 5.485199928283691, -6.196899890899658]",,,
"[4.385641098022461, 5.7395524978637695, -7.454366207122803]","[0.859745979309082, 0.3819279968738556, -0.3242799937725067, 0.0990369990468025, 0.9044407606124878, -0.6341471076011658, -2.5960512161254883]","[-7.5625, -39.875, 27.5]","[0.0442615486681461, 0.1218239814043045, 0.4290193915367126]","[-357.5625, -53.25, -90.375]","[-2.500099897384644, 0.1717000007629394, -0.536899983882904]","[0.6173753142356873, -0.0279078148305416, 0.3511078953742981]","[4.8831000328063965, 5.810299873352051, -6.210000038146973]",,,"[45.0, 1.5, 20.749069213867188, 10.305999755859377, 2.9682512283325195, 261.3787841796875, 642.7803571401164, 18.8953975, 49.6395906]"
