TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
"[-0.2110345214605331, 14.269125938415527, -3.309035539627075]","[-0.1438210010528564, 0.2159540057182312, 0.8063330054283142, 0.5315120220184326, 2.276978015899658, -0.9190635085105896, 2.169247627258301]","[-5.0625, -40.1875, 19.5625]","[0.4010592103004455, -0.3893305957317352, 0.7615395188331604]","[-189.0, -88.5, -30.75]","[3.654099941253662, 6.462199687957764, 1.2307000160217283]","[0.7307170033454895, -0.5458342432975769, 0.460068792104721]","[-3.859999895095825, 7.796599864959717, -4.525700092315674]",right,START,
"[-0.8083687424659729, 0.9205705523490906, -6.101077079772949]","[-0.1583659946918487, 0.1714150011539459, 0.8281710147857666, 0.5095769762992859, 2.3486952781677246, -0.9103869199752808, 2.3291869163513184]","[-3.0625, -40.75, 18.125]","[0.3971671164035797, -0.1585631668567657, 0.6061702966690063]","[-187.3125, -89.1875, -32.3125]","[3.41759991645813, -6.832699775695801, -1.814099907875061]","[0.2813296318054199, 0.0327249243855476, 1.1358603239059448]","[-4.2216997146606445, 7.744699954986572, -4.2855000495910645]",,,
"[-0.526829719543457, 17.97418212890625, 0.2069835215806961]","[-0.1583199948072433, 0.151319995522499, 0.8494499921798706, 0.4800739884376526, 2.4386773109436035, -0.8752188086509705, 2.449207305908203]","[0.0625, -40.875, 16.375]","[-0.5450488924980164, -0.5328490138053894, -0.0625176951289177]","[-183.75, -89.75, -34.4375]","[4.274899959564209, 10.437299728393556, 4.258599758148193]","[-0.8118922710418701, -0.5930279493331909, 0.4899488389492035]","[-4.794699668884277, 7.52839994430542, -4.0625]",,,
"[1.6789484024047852, 7.33292293548584, -2.190732955932617]","[-0.2026499956846237, 0.1695179939270019, 0.8441839814186096, 0.4664219915866852, 2.338378667831421, -0.8020550608634949, 2.388927698135376]","[-0.1875, -40.5, 19.0625]","[0.9500524997711182, -0.02185152284801, -0.3551221489906311]","[-183.8125, -89.1875, -31.625]","[6.401399612426758, 0.2766000032424927, 2.728999853134156]","[0.1781632155179977, -0.3879517912864685, -0.2351831197738647]","[-4.734299659729004, 7.048799991607666, -4.905999660491943]",,,
"[0.1878873705863952, 5.964042663574219, -5.087228298187256]","[-0.1966180056333542, 0.1462219953536987, 0.8380860090255737, 0.4874120056629181, 2.329485893249512, -0.8625235557556152, 2.4054903984069824]","[-1.375, -40.9375, 17.1875]","[-0.2783451080322265, -0.9564927816390992, -0.1852667033672332]","[-185.3125, -89.6875, -33.5625]","[4.565299987792969, -1.4952999353408811, -0.449999988079071]","[-0.1143190637230873, -0.0013089969288557, 0.1355771720409393]","[-4.388799667358398, 7.447999954223633, -4.629799842834473]",,,
"[0.107107013463974, 9.866907119750977, -6.656924724578857]","[-0.2230920046567917, 0.1392479985952377, 0.8292919993400574, 0.4930660128593445, 2.2555086612701416, -0.8566630482673645, 2.3821492195129395]","[-4.125, -40.8125, 17.6875]","[0.246527761220932, -0.5209458470344543, -0.0389906540513038]","[-187.8125, -89.1875, -32.9375]","[4.160200119018555, 2.4450998306274414, -1.6735999584197998]","[-0.0878424197435379, -0.6029414534568787, -0.1939758956432342]","[-4.06220006942749, 7.410500049591064, -4.975199699401856]",,,
"[3.10319185256958, 12.49978256225586, -1.4900554418563845]","[-0.2492969930171966, 0.1267510056495666, 0.8171020150184631, 0.5041109919548035, 2.1724443435668945, -0.8642721176147461, 2.3574206829071045]","[-5.4375, -40.4375, 17.125]","[0.3852465152740478, 0.0134913949295878, 0.2148325741291046]","[-189.4375, -89.125, -33.5625]","[6.70229959487915, 5.034499645233154, 3.767599821090698]","[-0.8401142358779907, -1.135249376296997, 0.2199638485908508]","[-3.603399991989136, 7.459099769592285, -5.24839973449707]",,,
"[-1.321225881576538, 21.105701446533203, -8.32442855834961]","[-0.2657209932804107, 0.1194889992475509, 0.8200550079345703, 0.4925670027732849, 2.1644303798675537, -0.8395798206329346, 2.386324882507324]","[-4.125, -41.125, 17.625]","[1.665201187133789, 0.1757022887468338, 0.1549852341413498]","[-188.0625, -89.6875, -33.0]","[2.358799934387207, 13.794300079345703, -2.8877999782562256]","[0.2899166345596313, -0.1978505253791809, 0.8133757710456848]","[-3.663100004196167, 7.299699783325195, -5.428199768066406]",,,
"[-1.2978872060775757, -4.816903591156006, -4.87998628616333]","[-0.2473260015249252, 0.0743670016527175, 0.8336520195007324, 0.488182008266449, 2.261707305908203, -0.8901435136795044, 2.52192497253418]","[-3.4375, -42.9375, 11.5625]","[0.4893379509449005, -0.3569023907184601, 0.3625921607017517]","[-187.3125, -91.4375, -38.4375]","[2.647899866104126, -12.426599502563477, -0.1177999973297119]","[2.227650880813598, 1.4010804891586304, -0.3475648760795593]","[-3.9325997829437256, 7.621299743652344, -4.75600004196167]",,,
"[-0.5162760615348816, 5.789103031158447, -0.812046229839325]","[-0.1873569935560226, 0.0341689996421337, 0.8490409851074219, 0.4928059875965118, 2.471587657928467, -0.96847265958786, 2.698927879333496]","[-0.4375, -43.9375, 9.0625]","[-2.599074602127075, -1.559312105178833, 0.5513495206832886]","[-184.5, -92.4375, -41.75]","[3.8546998500823975, -2.3046998977661133, 2.6459999084472656]","[-0.5341405868530273, -0.4953767955303192, 0.3305478990077972]","[-4.354899883270264, 8.080900192260742, -3.450199842453003]",,,"[45.0, 1.5, 22.36337852478028, 11.755999565124512, 6.025217533111572, 91.43060302734376, 2282.97852316685, 6.6611724, 44.5688885]"
"[-0.7749743461608887, 11.647332191467283, -3.82853937149048]","[-0.2671290040016174, 0.0792979970574379, 0.8462139964103699, 0.4541740119457245, 2.274430990219116, -0.8129109144210815, 2.561331987380981]","[-0.5625, -42.0625, 16.625]","[0.9874200224876404, 0.2707180082798004, -0.8872206807136536]","[-184.375, -90.75, -34.6875]","[3.596400022506714, 4.517899990081787, 1.3250999450683594]","[-1.5220842361450195, -0.0987681820988655, 0.0494626313447952]","[-4.361299991607666, 7.122399806976318, -5.139899730682373]",,,
"[-2.356584072113037, 7.327501773834228, -9.547884941101074]","[-0.2700380086898803, 0.085657998919487, 0.8299030065536499, 0.4806259870529175, 2.207313299179077, -0.8503085970878601, 2.4868617057800293]","[-3.4375, -41.875, 14.1875]","[-0.2770361006259918, -0.211341917514801, 0.7708770036697388]","[-186.9375, -90.3125, -35.75]","[1.4921000003814695, -0.0438999980688095, -4.329099655151367]","[1.3121734857559204, -0.129608154296875, -0.608334481716156]","[-3.8456997871398926, 7.369499683380127, -5.202899932861328]",,,
"[-4.146326065063477, 15.76282024383545, -8.534360885620117]","[-0.2692610025405884, 0.0608979985117912, 0.8298900127410889, 0.484840989112854, 2.221065044403076, -0.881878674030304, 2.535418033599853]","[-2.75, -42.0625, 13.0625]","[0.0207694172859191, -0.7902851104736328, -0.0989252626895904]","[-186.5625, -90.75, -37.4375]","[-0.3543999791145324, 8.179299354553223, -3.569899797439575]","[-0.1878148764371872, -0.3060958385467529, 0.1568178385496139]","[-3.774099826812744, 7.569999694824219, -4.9618000984191895]",,,
"[-2.3190813064575195, 14.45225429534912, -8.983973503112793]","[-0.2995229959487915, 0.0500570014119148, 0.8205770254135132, 0.4841830134391784, 2.148057222366333, -0.8704708218574524, 2.525891065597534]","[-5.4375, -42.5625, 12.4375]","[1.1473619937896729, -0.6569419503211975, -0.6969972252845764]","[-188.875, -91.0625, -37.75]","[1.1345999240875244, 6.946699619293213, -3.686899900436402]","[0.8211948871612549, -1.097567796707153, -0.6058735847473145]","[-3.4489998817443848, 7.49839973449707, -5.295899868011475]",,,
"[1.1995046138763428, -0.0780126675963401, -8.486084938049316]","[-0.3092780113220215, 0.0009050000226125, 0.7926080226898193, 0.5254690051078796, 2.0519492626190186, -0.9834643006324768, 2.5115959644317627]","[-8.3125, -42.75, 7.875]","[0.3206169903278351, -0.1644100099802017, -1.0640922784805298]","[-191.875, -91.375, -42.3125]","[3.711399793624878, -8.231900215148926, -3.6653997898101807]","[1.2717865705490112, 0.4167322516441345, -0.8041255474090576]","[-2.514899969100952, 8.163199424743652, -4.81719970703125]",,,
"[-0.6833147406578064, 7.769567489624023, 4.984230041503906]","[-0.287676990032196, -0.022529000416398, 0.7653129696846008, 0.5753509998321533, 1.9650850296020508, -1.105323314666748, 2.4198477268218994]","[-12.3125, -41.75, 6.4375]","[0.2961125671863556, 0.0393571741878986, -2.232450723648072]","[-195.75, -90.4375, -44.875]","[1.01419997215271, -1.0061999559402466, 9.035799980163574]","[-1.6228944063186646, 0.0039968038909137, -1.014263153076172]","[-1.6908999681472778, 8.763299942016602, -4.063799858093262]",,,
"[-0.3553569912910461, -2.367645263671875, 0.399640142917633]","[-0.3039659857749939, 0.0163369998335838, 0.7159039974212646, 0.6283450126647949, 1.6268445253372192, -1.0967700481414795, 2.0484278202056885]","[-19.9375, -40.0, 6.3125]","[0.152541771531105, 0.8019787669181824, -1.45698344707489]","[-203.3125, -88.4375, -44.3125]","[-0.1021999940276146, -11.088699340820312, 4.861599922180176]","[-0.6598217487335205, 0.3477917611598968, -0.8685805797576904]","[-0.2506999969482422, 8.725299835205078, -4.469399929046631]",right,STOP,
"[-10.42691135406494, 25.07370948791504, 14.46828556060791]","[-0.2858980000019073, 0.0697359964251518, 0.6823019981384277, 0.6692249774932861, 1.4489526748657229, -1.0620427131652832, 1.7661443948745728]","[-24.9375, -36.6875, 10.625]","[-0.7531095743179321, 0.3003013432025909, -2.29008150100708]","[-208.125, -85.6875, -41.0]","[-10.995200157165527, 16.5010986328125, 19.196298599243164]","[-1.4760074615478516, 2.000234603881836, -1.7559233903884888]","[0.5805000066757202, 8.564599990844727, -4.741199970245361]",left,START,
"[-6.689505100250244, 10.672355651855469, -2.0615322589874268]","[-0.2842980027198791, 0.163451001048088, 0.6331930160522461, 0.7010869979858398, 1.3299808502197266, -0.9188578724861144, 1.5106297731399536]","[-29.75, -28.9375, 16.625]","[-0.8177391290664673, 0.8370424509048462, -2.094866275787353]","[-212.875, -78.4375, -34.25]","[-8.097299575805664, 2.8643999099731445, 3.728599786758423]","[-0.7328113913536072, 0.1793849468231201, -2.585495948791504]","[1.4189999103546145, 7.795399665832519, -5.778199672698975]",,,
"[-2.3732285499572754, 17.849079132080078, -9.789804458618164]","[-0.2766009867191314, 0.2463040053844452, 0.5460190176963806, 0.7514569759368896, 1.173095703125, -0.7537307143211365, 1.2197885513305664]","[-33.6875, -20.75, 22.0]","[-0.7884873747825623, 0.6333450675010681, -1.803466200828552]","[-217.3125, -69.875, -29.1875]","[-5.132699966430664, 11.12689971923828, -3.194599866867065]","[-1.1865795850753784, 0.6497162580490112, -1.51969313621521]","[2.7692999839782715, 6.711299896240234, -6.592299938201904]",,,"[45.0, 1.5, 24.12444877624512, 11.97700023651123, 6.245978355407715, 96.31591796875, 2282.940730303526, 6.6612693, 44.5688698]"
"[-5.679994583129883, 1.2251992225646973, 7.644571304321289]","[-0.2741219997406006, 0.309904009103775, 0.4903540015220642, 0.7670519948005676, 1.1567949056625366, -0.6216176748275757, 1.0998961925506592]","[-35.75, -16.5, 25.0]","[1.9319921731948853, 0.3631157577037811, -1.971157431602478]","[-219.6875, -65.3125, -26.0625]","[-8.885000228881836, -4.494800090789795, 14.937999725341797]","[-0.4708898365497589, 1.238782286643982, -0.7252017259597778]","[3.2070000171661377, 5.710899829864502, -7.298599720001221]",,,
"[4.152072429656982, 34.29796600341797, 5.6186933517456055]","[-0.1965869963169098, 0.3522669970989227, 0.470313012599945, 0.7848979830741882, 1.1737347841262815, -0.6432427167892456, 0.9269415736198424]","[-35.0, -14.875, 28.3125]","[-0.7312057018280029, -0.1984439343214035, 1.0594497919082642]","[-219.0, -63.4375, -22.4375]","[1.1038999557495115, 28.41179847717285, 12.845699310302734]","[-1.0346660614013672, 0.2155830711126327, 1.3476035594940186]","[3.03439998626709, 5.881899833679199, -7.236299991607666]",,,
"[-3.0209078788757324, 21.43840980529785, -11.206396102905272]","[-0.247977003455162, 0.3673329949378967, 0.501891016960144, 0.7427499890327454, 1.2932896614074707, -0.5984697341918945, 1.1020827293395996]","[-32.375, -15.875, 29.3125]","[0.8717744946479797, -0.4239230155944824, -1.5183840990066528]","[-215.875, -64.25, -20.9375]","[-5.230299949645996, 15.902599334716797, -3.406899929046631]","[1.420942306518555, -0.6246010065078735, -0.7814013361930847]","[2.219599962234497, 5.524799823760986, -7.792199611663818]",,,
"[-0.8697560429573059, 11.996224403381348, -1.7398854494094849]","[-0.1985789984464645, 0.3356389999389648, 0.4733879864215851, 0.7898200154304504, 1.144114971160889, -0.661727786064148, 0.9279576539993286]","[-35.0625, -15.1875, 26.8125]","[-0.0985936522483825, 0.4032234251499176, -0.1159247681498527]","[-218.625, -63.5625, -23.5625]","[-4.054999828338623, 5.957699775695801, 5.3171000480651855]","[0.086411252617836, 0.0580321960151195, -0.0261101257055997]","[3.201799869537353, 6.025899887084961, -7.043099880218506]",,,
"[4.13928747177124, 18.070045471191406, -1.1996961832046509]","[-0.1955720037221908, 0.3496890068054199, 0.4703249931335449, 0.786296010017395, 1.167629361152649, -0.6470690965652466, 0.923560619354248]","[-34.4375, -14.375, 27.9375]","[0.3124837577342987, 0.0773355364799499, -0.2762157917022705]","[-218.1875, -62.875, -22.8125]","[1.058899998664856, 12.14199924468994, 6.000499725341797]","[-0.169227123260498, 0.39863321185112, 0.0155159765854477]","[3.069599866867065, 5.911900043487549, -7.196899890899658]",,,
"[-4.89418888092041, 2.0758590698242188, -3.0849385261535645]","[-0.1882579922676086, 0.3598510026931762, 0.467983990907669, 0.7848920226097107, 1.182682752609253, -0.6424317359924316, 0.9104580879211426]","[-33.875, -14.5625, 28.375]","[-0.4382696151733398, 0.0675267875194549, -0.6734527349472046]","[-217.625, -63.25, -22.1875]","[-7.864799976348877, -3.816200017929077, 4.188299655914307]","[0.5926091074943542, 0.3806563019752502, -0.7535808086395264]","[2.971299886703491, 5.87559986114502, -7.267599582672119]",,,
"[-3.0011796951293945, 10.379631042480469, 1.5078299045562744]","[-0.1663299947977066, 0.3667350113391876, 0.4472669959068298, 0.7986180186271667, 1.1475261449813845, -0.6340258121490479, 0.8285516500473022]","[-32.9375, -12.9375, 29.5625]","[0.5861164927482605, 0.6827553510665894, -1.3870306015014648]","[-217.25, -61.375, -21.3125]","[-6.236099720001221, 4.55620002746582, 8.703899383544922]","[-1.1325790882110596, 1.0672513246536257, 0.7370350956916809]","[3.2451000213623047, 5.809299945831299, -7.203399658203125]",,,
"[-2.312626361846924, 8.646611213684082, -3.814269781112671]","[-0.1536210030317306, 0.4033609926700592, 0.4265100061893463, 0.7948510050773621, 1.1882020235061646, -0.5872746706008911, 0.7848095297813416]","[-32.5625, -9.8125, 31.6875]","[0.5985780954360962, 0.4298222362995147, -0.2622008025646209]","[-216.1875, -59.125, -19.125]","[-5.352200031280518, 3.19599986076355, 3.768299818038941]","[0.2178519964218139, 0.5376312136650085, -1.7824349403381348]","[3.047600030899048, 5.433799743652344, -7.573299884796143]",,,
"[0.8188360929489136, 11.698586463928224, -9.434246063232422]","[-0.0919279977679252, 0.4089789986610412, 0.3905830085277557, 0.8195899724960327, 1.1187902688980105, -0.6004849076271057, 0.6063324213027954]","[-32.3125, -9.4375, 32.3125]","[0.0528660230338573, -0.8523839116096497, 0.2001718133687973]","[-215.9375, -58.4375, -18.1875]","[-2.719899892807007, 6.148299694061279, -2.145599842071533]","[0.2297027856111526, 0.1879894137382507, -0.9591631293296814]","[3.533900022506714, 5.541100025177002, -7.278499603271484]",,,
"[2.3320767879486084, 12.396888732910156, -7.961716651916504]","[-0.0601009987294673, 0.3885999917984009, 0.3831959962844848, 0.8357849717140198, 1.044315218925476, -0.6358087658882141, 0.5178498029708862]","[-32.5625, -10.25, 31.5625]","[0.6030636429786682, 0.2560397982597351, -0.8989143967628479]","[-216.4375, -58.6875, -18.8125]","[-1.6405999660491943, 6.562299728393555, -1.1312999725341797]","[0.753022313117981, 0.2900388240814209, -0.0856433063745498]","[3.964799880981445, 5.823400020599365, -6.821799755096436]",,,"[45.0, 1.5, 22.59889411926269, 11.86400032043457, 6.798691272735596, 100.37541961669922, 2282.5258972207084, 6.6613801, 44.5688308]"
"[-3.0164549350738525, 17.29216957092285, -6.279263019561768]","[-0.0642770007252693, 0.4138540029525757, 0.3714419901371002, 0.8286259770393372, 1.091240644454956, -0.5972496867179871, 0.5243341326713562]","[-34.375, -9.6875, 31.0625]","[-0.3905348777770996, 0.399052083492279, 0.04775220900774]","[-217.9375, -58.6875, -19.375]","[-6.742099761962891, 11.764299392700195, 0.9277999997138976]","[-0.3404788374900818, -0.2568426430225372, -0.8754920363426208]","[3.741299867630005, 5.514899730682373, -7.194200038909912]",,,
"[-1.527031421661377, 11.29851531982422, -5.4830474853515625]","[-0.0157689992338418, 0.4076800048351288, 0.3693599998950958, 0.8349369764328003, 1.0526632070541382, -0.648419201374054, 0.4234277606010437]","[-33.25, -9.0, 32.125]","[1.0389246940612793, 0.4225616753101349, -0.3550174236297607]","[-217.0625, -57.5625, -18.3125]","[-5.390999794006348, 5.364899635314941, 1.3181999921798706]","[0.8070053458213806, 0.17615607380867, -0.8550018668174744]","[3.870999813079834, 5.922499656677246, -6.790299892425537]",,,
"[-1.0542244911193848, 12.474298477172852, -5.593956470489502]","[0.031564999371767, 0.4118809998035431, 0.3829210102558136, 0.8262730240821838, 1.0605131387710571, -0.7192181348800659, 0.3575158715248108]","[-31.875, -10.5625, 32.0625]","[0.960192859172821, 0.7907388806343079, -0.49309042096138]","[-215.625, -58.875, -18.5625]","[-4.652699947357178, 6.003599643707275, 0.8479999899864197]","[0.7339458465576172, 0.3670427501201629, 0.0761836245656013]","[3.603399991989136, 6.460599899291992, -6.43779993057251]",,,
"[2.335601329803467, 12.93629264831543, -6.45405912399292]","[0.076675996184349, 0.4195199906826019, 0.4090389907360077, 0.8067269921302795, 1.098968744277954, -0.8100183010101318, 0.3239725828170776]","[-30.25, -12.875, 33.0]","[0.9067683815956116, 0.5173155665397644, 0.5748242139816284]","[-214.125, -61.1875, -17.5]","[-0.7489999532699585, 5.822099685668945, -0.420199990272522]","[0.9872803688049316, 0.5321683287620544, -0.3081204295158386]","[3.0730998516082764, 7.10290002822876, -6.02269983291626]",,,
"[0.5379292368888855, 14.525084495544434, -4.700430870056152]","[0.1198439970612526, 0.4284049868583679, 0.4700019955635071, 0.7623670101165771, 1.2309242486953735, -0.9602092504501344, 0.3937594890594482]","[-27.3125, -17.5, 33.8125]","[1.213876485824585, 0.7214143872261047, 1.1481473445892334]","[-206.6875, -71.0, -17.4375]","[-1.3447999954223633, 6.479099750518799, 0.6133999824523926]","[0.9712757468223572, 0.9231221079826356, 0.97019362449646]","[1.8743000030517576, 8.034699440002441, -5.300899982452393]",,,
"[0.1643284261226654, 7.051489353179932, -2.803954839706421]","[0.133310005068779, 0.4218559861183166, 0.5543270111083984, 0.704971969127655, 1.5048556327819824, -1.1062953472137451, 0.6744143962860107]","[-22.375, -22.9375, 32.875]","[1.234244465827942, 0.4403116703033447, 2.1456727981567383]","[-200.6875, -77.875, -20.0]","[-0.1324999928474426, -1.7263998985290527, 1.5885999202728271]","[1.0142980813980105, 0.3431666493415832, 1.264473557472229]","[0.2893999814987182, 8.767600059509277, -4.383500099182129]",,,
"[-0.1014854237437248, 6.917519092559815, -4.424599647521973]","[0.0966359972953796, 0.3987570106983185, 0.6406540274620056, 0.6490110158920288, 1.9098858833312988, -1.1400433778762815, 1.1763923168182373]","[-16.4375, -29.8125, 30.125]","[0.3732735514640808, -0.1296954154968261, 2.2366044521331787]","[-195.5, -82.0, -22.875]","[1.2736999988555908, -1.997099995613098, -0.5611000061035156]","[0.8393288254737854, -0.652264416217804, 2.108898878097534]","[-1.3619999885559082, 8.910799980163574, -3.861599922180176]",left,STOP,
"[0.3438839614391327, -0.1657553762197494, -6.643861770629883]","[0.0605290010571479, 0.3676149845123291, 0.7155770063400269, 0.5908839702606201, 2.273191213607788, -1.097671389579773, 1.6398234367370603]","[-11.125, -33.8125, 27.1875]","[0.000488692196086, -0.1217192634940147, 2.643946886062622]","[-188.9375, -84.9375, -25.875]","[3.22029995918274, -8.886199951171875, -3.218400001525879]","[0.7539124488830566, -0.8902750015258789, 1.614988088607788]","[-2.886899948120117, 8.729299545288086, -3.410799980163574]",right,START,
"[5.940340042114258, 20.834938049316406, 2.73775053024292]","[0.0241620000451803, 0.3322199881076813, 0.7828220129013062, 0.5255799889564514, 2.532470464706421, -0.9953056573867798, 2.000612735748291]","[-4.375, -36.25, 24.8125]","[1.83175790309906, -1.6365079879760742, 1.2152029275894165]","[-182.8125, -86.5625, -27.6875]","[10.31029987335205, 12.60219955444336, 5.779900074005127]","[-0.0104021625593304, -0.0258483253419399, 2.2669034004211426]","[-4.377299785614014, 8.22700023651123, -3.0535998344421387]",,,
"[-1.987963080406189, -5.692798614501953, -0.1185512915253639]","[-0.0019680000841617, 0.3077490031719208, 0.8247230052947998, 0.4744639992713928, 2.6487011909484863, -0.8968924283981323, 2.186387300491333]","[1.5625, -37.6875, 23.375]","[3.495248794555664, -0.9444849491119384, -0.0323409512639045]","[-178.5, -87.8125, -30.125]","[3.4103000164031982, -13.350699424743652, 2.7876999378204346]","[-1.353101372718811, -1.4805278778076172, 2.3737001419067383]","[-5.391200065612793, 7.662799835205078, -2.895599842071533]",,,"[45.0, 1.5, 23.74280166625977, 11.791999816894531, 8.509806632995605, 100.55181121826172, 2282.135252014734, 6.6615158, 44.5687928]"
"[1.1471387147903442, -14.297924041748049, -2.773261308670044]","[-0.0008839999791234, 0.2694270014762878, 0.8539440035820007, 0.4451819956302643, 2.761159420013428, -0.8630741238594055, 2.3534798622131348]","[6.0, -39.4375, 20.375]","[0.4333477914333343, -0.698707640171051, 0.9897063970565796]","[-175.1875, -89.0625, -33.375]","[7.056999683380127, -21.73979949951172, -0.3980999886989593]","[-0.32243213057518, 1.989343762397766, 1.3846569061279297]","[-5.91949987411499, 7.451499938964844, -2.3671998977661133]",,,
"[-2.942129135131836, 20.641237258911133, -4.972622871398926]","[-0.0138410003855824, 0.2325080037117004, 0.8657910227775574, 0.4428919851779938, 2.779681205749512, -0.8640328049659729, 2.448560953140259]","[8.625, -40.6875, 16.625]","[-0.1607797294855117, -0.8308465480804443, 0.1251750141382217]","[-175.1875, -89.5625, -34.625]","[3.023399829864502, 13.17549991607666, -2.707399845123291]","[1.111477971076965, 0.1792453080415725, 0.2409078031778335]","[-5.955599784851074, 7.457599639892578, -2.254699945449829]",,,
"[1.762525200843811, 15.56297206878662, -6.5872344970703125]","[-0.0780029967427253, 0.2087810039520263, 0.8642230033874512, 0.4510459899902344, 2.633944272994995, -0.8435946106910706, 2.4357340335845947]","[8.5, -40.875, 16.625]","[1.1451977491378784, -0.6871535778045654, -0.1341809183359146]","[-176.8125, -90.125, -34.4375]","[7.452499866485596, 8.227299690246582, -3.4011998176574707]","[-1.44497549533844, -2.0658764839172363, 0.5127777457237244]","[-5.697099685668945, 7.325899600982666, -3.169099807739258]",,,
"[3.5901436805725098, 0.4000519514083862, -4.627455711364746]","[-0.0739760026335716, 0.1530330032110214, 0.8758559823036194, 0.4516460001468658, 2.709717273712158, -0.8765125870704651, 2.59075140953064]","[6.375, -41.75, 15.8125]","[0.8650026321411133, -0.1731890141963958, 0.2372251451015472]","[-176.6875, -91.0625, -38.3125]","[9.277899742126465, -7.144199848175049, -1.9924999475479128]","[0.2620088160037994, -0.6742381453514099, 0.7942818999290466]","[-5.69849967956543, 7.536499977111816, -2.6263999938964844]",,,
