time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 14:48:37.900,"[-2.2154603004455566, 8.561042785644531, 3.09893012046814]","[-0.0181949995458126, -0.4681110084056854, 0.4679180085659027, 0.7493950128555298, -1.3918169736862185, -0.801421046257019, -0.6316818594932556]","[-21.1875, -15.625, -33.3125]","[-0.3379655480384826, -0.4831071496009826, -0.766269326210022]","[-68.875, -30.625, 2.1875]","[2.335399866104126, 2.7619998455047607, -3.702699899673462]","[-0.2475400418043136, -0.2561794221401214, -0.5382246375083923]","[1.2144999504089355, 7.04449987411499, 6.713299751281738]",right,START
2024-03-20 14:48:38.000,"[-3.139737129211426, 8.018689155578613, 4.111639022827148]","[-0.0380959995090961, -0.4762069880962372, 0.4520609974861145, 0.7532699704170227, -1.3717974424362185, -0.7999641299247742, -0.5651950240135193]","[-21.3125, -14.625, -33.9375]","[0.0467922762036323, -0.224449336528778, -0.490856409072876]","[-69.0, -29.625, 1.5625]","[0.2476999908685684, 1.9187999963760376, -1.657099962234497]","[-0.339815616607666, -0.432073712348938, -0.3821049332618713]","[1.3507000207901, 7.034599781036377, 6.697700023651123]",,
2024-03-20 14:48:38.100,"[0.2493225932121276, 9.388871192932127, 5.649741172790527]","[-0.0665640011429786, -0.4916050136089325, 0.4373849928379059, 0.7500579953193665, -1.3759636878967283, -0.8060739636421204, -0.4971450269222259]","[-20.75, -13.6875, -33.9375]","[-0.3969925940036773, -0.5130744576454163, -0.6461907029151917]","[-68.4375, -28.6875, 1.5625]","[-0.4513999819755554, 2.700899839401245, -0.3847000002861023]","[0.0271224156022071, -0.4085815846920013, -0.370411217212677]","[1.3143999576568604, 7.076200008392334, 6.660999774932861]",,
2024-03-20 14:48:38.200,"[-0.8348868489265442, 10.234139442443848, 3.354142665863037]","[-0.0900769978761673, -0.5036749839782715, 0.4167270064353943, 0.751354992389679, -1.360825538635254, -0.7994300127029419, -0.4202743768692016]","[-19.125, -12.8125, -35.5]","[0.0246440488845109, -0.2812423408031463, -0.4612730741500854]","[-66.8125, -27.8125, 0.0]","[-1.552299976348877, 4.48199987411499, -2.6164000034332275]","[-0.1790707856416702, -0.549481987953186, -0.6581636667251587]","[1.424799919128418, 7.030900001525879, 6.68619966506958]",,
2024-03-20 14:48:38.300,"[1.7259321212768557, 9.64622974395752, 3.57738733291626]","[-0.1303939968347549, -0.5200080275535583, 0.3892090022563934, 0.749068021774292, -1.344193458557129, -0.8019306659698486, -0.3059591650962829]","[-18.8125, -12.6875, -35.9375]","[-0.1828930526971817, -0.6780080795288086, -0.733928382396698]","[-66.5, -27.6875, -0.4375]","[-1.1003999710083008, 2.974299907684326, -0.5936999917030334]","[-0.3962770104408264, -0.7902501821517944, -1.1251614093780518]","[1.5318999290466309, 7.047999858856201, 6.644399642944336]",,
2024-03-20 14:48:38.400,"[-0.1037455424666404, 7.0086517333984375, 13.753022193908691]","[-0.1757549941539764, -0.5400639772415161, 0.3513500094413757, 0.7443069815635681, -1.326291799545288, -0.7935713529586792, -0.1688766777515411]","[-17.1875, -11.625, -36.875]","[-0.3433411717414856, -1.083046555519104, -1.0443003177642822]","[-64.875, -26.625, -1.375]","[-5.3618998527526855, -0.2044999897480011, 3.359299898147583]","[0.218916654586792, -0.460068792104721, -0.6036046743392944]","[1.6647999286651611, 6.990699768066406, 6.672800064086914]",,
2024-03-20 14:48:38.500,"[3.33059310913086, 17.987424850463867, 6.886806011199951]","[-0.1833190023899078, -0.5360490083694458, 0.3500239849090576, 0.7460079789161682, -1.3085081577301023, -0.8020420670509338, -0.1468728482723236]","[-16.75, -10.5, -37.375]","[-0.6439741253852844, -0.032428216189146, -0.3439345955848694]","[-64.4375, -25.5, -1.875]","[-2.3757998943328857, 6.13129997253418, -4.3389997482299805]","[0.1188394650816917, 0.5128650069236755, 0.7111343741416931]","[1.767799973487854, 7.048799991607666, 6.584699630737305]",,
2024-03-20 14:48:38.600,"[0.3978588581085205, 10.974532127380373, 3.126760482788086]","[-0.1800390034914016, -0.5286080241203308, 0.3665989935398102, 0.7441530227661133, -1.3133853673934937, -0.8270711302757263, -0.1776167303323745]","[-16.5, -12.5, -36.5]","[-0.2116735279560089, -0.1660506278276443, 0.1654572188854217]","[-64.1875, -27.5, -1.0]","[-1.3567999601364136, 2.6873998641967773, -3.0667998790740967]","[-0.7095286846160889, -0.2498962432146072, -0.3345447182655334]","[1.6901999711990356, 7.217199802398682, 6.420599937438965]",,
2024-03-20 14:48:38.700,"[-4.320154666900635, 6.187785625457764, 3.394087314605713]","[-0.2136529982089996, -0.5275710225105286, 0.36769500374794, 0.7354050278663635, -1.2982916831970217, -0.8729747533798218, -0.1149953603744506]","[-14.9375, -13.8125, -36.75]","[-0.6312157511711121, -0.5217137932777405, -0.4358785152435303]","[-62.625, -28.8125, -1.25]","[-0.2248999923467636, 1.98829996585846, -1.410499930381775]","[-0.4699997007846832, -0.5717524290084839, -0.3463605940341949]","[1.6958999633789062, 7.514199733734131, 6.068699836730957]",,
2024-03-20 14:48:38.800,"[-1.7354419231414795, 9.45271110534668, 12.127866744995115]","[-0.2393990010023117, -0.5384389758110046, 0.3569119870662689, 0.7248340249061584, -1.3058863878250122, -0.8870433568954468, -0.0590832941234111]","[-13.4375, -14.3125, -37.125]","[-0.5008571147918701, -0.4634721875190735, -0.6989520192146301]","[-61.125, -29.3125, -1.625]","[-0.1900999993085861, 0.380400002002716, 3.415899991989136]","[-0.041783183813095, -0.1446354389190673, 0.1817585825920105]","[1.621899962425232, 7.602200031280518, 5.978799819946289]",,
2024-03-20 14:48:38.900,"[1.128387212753296, 11.208091735839844, 9.077874183654783]","[-0.2261289954185485, -0.5500869750976562, 0.3722490072250366, 0.7125300168991089, -1.3819140195846558, -0.8934815526008606, -0.1397411376237869]","[-11.375, -14.625, -37.625]","[-0.4507312774658203, 0.0390081070363521, 0.2279225438833236]","[-59.0625, -29.625, -2.125]","[-1.320599913597107, 8.29379940032959, 2.23039984703064]","[-0.0303687285631895, -0.968692660331726, -0.1309520602226257]","[1.1539000272750854, 7.641899585723877, 6.036499977111816]",,
2024-03-20 14:48:39.000,"[4.628796577453613, 8.148310661315918, 2.7509186267852783]","[-0.2391989976167678, -0.565750002861023, 0.3762219846248626, 0.6936619877815247, -1.444559931755066, -0.9150539040565492, -0.1545283049345016]","[-10.0625, -15.4375, -37.5]","[-0.2898468375205993, -0.6502572894096375, -0.0059341192245483]","[-57.75, -30.4375, -2.0]","[0.6592999696731567, 1.288599967956543, -2.7056000232696533]","[-0.3974987268447876, -0.716736912727356, -0.0345924273133277]","[0.7527999877929688, 7.77269983291626, 5.931900024414063]",,
2024-03-20 14:48:39.100,"[2.030627727508545, 9.067195892333984, 3.591005563735962]","[-0.2444320023059845, -0.5777720212936401, 0.3871180117130279, 0.6757000088691711, -1.5156784057617188, -0.936693012714386, -0.1988014578819275]","[-8.0, -16.9375, -37.375]","[-0.3560646176338196, -0.6316869854927063, 0.4358261525630951]","[-55.6875, -31.9375, -1.875]","[-0.9181999564170836, -1.1728999614715576, -0.3682000041007995]","[0.1973967403173446, 0.2026327252388, 0.5158669948577881]","[0.3199999928474426, 7.900199890136719, 5.80109977722168]",,
2024-03-20 14:48:39.200,"[-3.6707804203033447, 9.350468635559082, 10.934721946716309]","[-0.2196130007505417, -0.5761759877204895, 0.4132309854030609, 0.6700969934463501, -1.5800687074661257, -0.9388532042503356, -0.3129549920558929]","[-7.875, -18.3125, -36.625]","[0.272358626127243, 0.4017573297023773, 0.6640105247497559]","[-55.5625, -33.3125, -1.125]","[-1.868299961090088, -0.3813000023365021, 3.533399820327759]","[-0.9622523784637452, 0.4795292019844055, 1.0327287912368774]","[-0.0537000000476837, 7.912799835205078, 5.792599678039551]",,
2024-03-20 14:48:39.300,"[7.367389678955078, 6.104620456695557, 5.126215934753418]","[-0.2195580005645752, -0.5405719876289368, 0.4862090051174164, 0.6505190134048462, -1.687121033668518, -1.0551013946533203, -0.5083053112030029]","[-6.9375, -24.375, -33.5625]","[-1.389910340309143, 0.7100348472595215, 0.7948578596115112]","[-54.625, -39.375, 1.9375]","[8.024099349975586, -0.264299988746643, -2.547799825668335]","[-0.4819901287555694, 0.8164300918579102, 2.629163980484009]","[-0.561199963092804, 8.531299591064453, 4.803299903869629]",right,STOP
2024-03-20 14:48:39.400,"[4.533784866333008, 11.103580474853516, 6.255321502685547]","[-0.1378419995307922, -0.5153779983520508, 0.5853890180587769, 0.6104940176010132, -2.00433349609375, -1.0290982723236084, -1.004454493522644]","[-3.5625, -27.625, -31.5]","[-0.4500156939029693, 1.0839017629623413, 2.6374542713165283]","[-51.25, -42.625, 4.0]","[0.0548000000417232, -5.323400020599365, 3.0999999046325684]","[-1.0473895072937012, 1.6999157667160034, 3.225071668624878]","[-2.123999834060669, 8.402599334716797, 4.588399887084961]",left,START
2024-03-20 14:48:39.500,"[3.585546970367432, 5.403244018554688, 5.550822734832764]","[-0.0692270025610923, -0.4555740058422088, 0.6825900077819824, 0.5672119855880737, -2.2585506439208984, -0.9925501346588136, -1.4634517431259155]","[-1.6875, -31.4375, -28.9375]","[-1.415374755859375, 1.8296984434127808, 2.508841037750244]","[-49.375, -46.4375, 6.5625]","[3.8142998218536377, 0.4468999803066253, -0.5128999948501587]","[-0.3096563220024109, 0.6829124093055725, 0.8078780174255371]","[-3.402400016784668, 8.212299346923828, 4.14139986038208]",,
2024-03-20 14:48:39.600,"[-0.5211889743804932, 16.922609329223633, 5.254209518432617]","[-0.0257440004497766, -0.4202930033206939, 0.7262300252914429, 0.54339599609375, -2.3425800800323486, -0.9456902146339417, -1.6668899059295654]","[-0.4375, -32.4375, -27.875]","[-0.469877541065216, 0.5399699807167053, 0.7396531105041504]","[-48.125, -47.4375, 7.625]","[6.277299880981445, 6.394799709320068, -1.3961999416351318]","[0.0952077135443687, 1.684504508972168, 1.3072341680526731]","[-4.002200126647949, 7.952199935913086, 4.11269998550415]",,
2024-03-20 14:48:39.700,"[-0.8109065294265747, 13.03817081451416, 8.313339233398438]","[0.0358319990336895, -0.37049600481987, 0.7616860270500183, 0.5303599834442139, -2.341789960861206, -0.896881103515625, -1.83489203453064]","[-0.5, -33.5, -25.4375]","[-0.2794795632362366, 1.308438420295715, 0.4786390960216522]","[-48.1875, -48.5, 10.0625]","[4.666599750518799, 8.243599891662598, 3.661999940872192]","[-0.9101368188858032, 1.6099441051483154, 0.5140867233276367]","[-4.264499664306641, 7.662699699401855, 4.389199733734131]",,
2024-03-20 14:48:39.800,"[-6.099765300750732, 6.983215808868408, 1.5664879083633425]","[0.0639009997248649, -0.2818300127983093, 0.7927380204200745, 0.5367069840431213, -2.37070107460022, -0.952587068080902, -2.045741319656372]","[-2.3125, -38.0, -20.5]","[-1.478171706199646, 1.2598484754562378, 0.5127777457237244]","[-50.0, -53.0, 15.0]","[-1.1205999851226809, 3.54099988937378, -1.2339999675750732]","[-1.230073094367981, 0.8333423733711243, -0.6595599055290222]","[-4.0767998695373535, 7.991599559783935, 3.96019983291626]",,
2024-03-20 14:48:39.900,"[0.3686113059520721, 3.4648120403289795, 7.012568950653076]","[0.0690269991755485, -0.2326579988002777, 0.794929027557373, 0.5560500025749207, -2.361057996749878, -1.0196431875228882, -2.119991064071656]","[-6.0625, -39.5, -18.25]","[-0.7492349147796631, 0.6926513910293579, -0.6570815443992615]","[-53.75, -54.5, 17.25]","[1.83459997177124, -0.9503999948501588, 1.8585000038146973]","[-0.9039933085441588, 0.7804065346717834, -0.9964608550071716]","[-3.648899793624878, 8.354499816894531, 3.613499879837036]",,
2024-03-20 14:48:40.000,"[2.804251909255981, 10.26301383972168, 2.45325231552124]","[0.0876000002026557, -0.2033070027828216, 0.7981420159339905, 0.5603209733963013, -2.341093301773072, -1.032946228981018, -2.1711530685424805]","[-6.875, -39.25, -17.875]","[-0.830811619758606, 0.326516181230545, -0.195721223950386]","[-54.5625, -54.25, 17.625]","[5.440000057220459, 8.180500030517578, 1.0720999240875244]","[-0.1673072576522827, 0.4532620012760162, -0.5390798449516296]","[-3.4982998371124268, 8.42199993133545, 3.605599880218506]",,
2024-03-20 14:48:40.100,"[-5.146240711212158, 29.198524475097656, 6.707700729370117]","[0.0937040001153945, -0.1885720044374466, 0.7856220006942749, 0.5817700028419495, -2.2655134201049805, -1.0732635259628296, -2.1269774436950684]","[-8.125, -40.625, -15.0]","[0.0002967059845104, -0.1838180720806121, -0.0218166150152683]","[-55.8125, -55.625, 20.5]","[7.94849967956543, 9.740300178527832, 3.759399890899658]","[-0.9351474046707152, 0.2196147739887237, -1.1263482570648191]","[-2.9960999488830566, 8.61769962310791, 3.595499992370605]",,
