time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 15:10:45.700,"[1.986641526222229, 7.205148696899414, -5.597902297973633]","[-0.4996410012245178, -0.0707599967718124, 0.6849219799041748, 0.5255780220031738, 1.4861701726913452, -0.9119009971618652, 2.366875648498535]","[-15.0625, -42.6875, 14.125]","[-0.1597150862216949, -0.7958526611328125, 0.5567949414253235]","[-366.8125, -55.875, -100.8125]","[1.0223000049591064, -0.771399974822998, 0.2651999890804291]","[-0.1640958487987518, -0.7574554681777954, 0.5559048056602478]","[0.5073999762535095, 7.753799915313721, -5.982500076293945]",right,START
2024-02-25 15:10:45.800,"[2.009051322937012, 8.672507286071777, -6.424543380737305]","[-0.5244640111923218, -0.0952339991927146, 0.6826589703559875, 0.4998430013656616, 1.4907327890396118, -0.8984111547470093, 2.456148147583008]","[-12.875, -43.125, 13.25]","[-0.0442266426980495, -0.8297818899154663, 0.4685336351394653]","[-365.75, -56.25, -101.5625]","[1.688499927520752, 1.0753999948501587, 0.4594999849796295]","[-0.1148601174354553, -0.8491899371147156, 0.515099048614502]","[0.4883999824523926, 7.672099590301514, -6.088500022888184]",,
2024-02-25 15:10:45.900,"[0.5636812448501587, 8.65841007232666, -5.4138360023498535]","[-0.5515859723091125, -0.124729998409748, 0.6737499833106995, 0.4756619930267334, 1.4734324216842651, -0.8923570513725281, 2.537129163742065]","[-12.0, -44.4375, 13.1875]","[-0.0544368177652359, -0.5066516399383545, 0.2767044901847839]","[-364.6875, -57.6875, -101.8125]","[0.1273999959230423, 1.5340999364852903, 1.496500015258789]","[-0.0616101212799549, -0.5294979810714722, 0.3119775950908661]","[0.5981999635696411, 7.634999752044678, -6.125199794769287]",,
2024-02-25 15:10:46.000,"[1.47408127784729, 7.636497974395752, -6.0025506019592285]","[-0.5685840249061584, -0.1452620029449463, 0.6654089689254761, 0.4613460004329681, 1.45526123046875, -0.893316388130188, 2.5846986770629883]","[-11.25, -44.375, 13.125]","[0.1927716135978698, -0.5611408352851868, 0.240715816617012]","[-364.0625, -57.3125, -101.8125]","[0.7818999886512756, 0.4004999995231628, -0.0033999998122453]","[0.0655196607112884, -0.4830896854400635, 0.3711966276168823]","[0.7085999846458435, 7.640899658203125, -6.106100082397461]",,
2024-02-25 15:10:46.100,"[3.769086360931397, 6.643852233886719, -6.116620063781738]","[-0.5778830051422119, -0.1670169979333877, 0.6572080254554749, 0.454129010438919, 1.4393526315689087, -0.9107226133346558, 2.620344638824463]","[-9.8125, -44.5, 11.6875]","[-0.1793325841426849, -0.4229107201099396, 0.65099036693573]","[-362.75, -57.625, -103.375]","[3.6541998386383057, 2.618799924850464, 3.1270999908447266]","[-0.1840449720621109, -0.3421717882156372, 0.6002187132835388]","[0.788100004196167, 7.746699810028076, -5.961299896240234]",,
2024-02-25 15:10:46.200,"[1.9468116760253904, 9.796038627624512, -4.820801734924316]","[-0.5913289785385132, -0.190434992313385, 0.6565819978713989, 0.4277420043945312, 1.4648234844207764, -0.9057931303977966, 2.714146614074707]","[-7.5625, -45.0625, 11.75]","[-0.1064825356006622, -0.5935865044593811, 0.429542988538742]","[-360.5625, -58.3125, -103.3125]","[0.4287999868392944, -0.9699999690055848, 2.065199851989746]","[-0.1005484163761138, -0.5940751433372498, 0.4206243455410003]","[0.6399999856948853, 7.717000007629394, -6.017299652099609]",,
2024-02-25 15:10:46.300,"[1.580699801445007, 8.82369613647461, -5.571537017822266]","[-0.6056789755821228, -0.2145590037107467, 0.6500939726829529, 0.4055779874324798, 1.468967080116272, -0.9063128232955932, 2.7900631427764893]","[-6.9375, -45.875, 11.1875]","[0.0667937472462654, -0.7362671494483948, 0.369695633649826]","[-360.0, -58.6875, -103.875]","[1.1897000074386597, 0.4879999756813049, 0.2985999882221222]","[0.015777776017785, -0.7790626287460327, 0.4004134237766266]","[0.6146999597549438, 7.720099925994873, -6.015899658203125]",,
2024-02-25 15:10:46.400,"[2.2976865768432617, 6.542472362518311, -5.261449813842773]","[-0.6232029795646667, -0.24337700009346, 0.6347579956054688, 0.3866089880466461, 1.4459073543548584, -0.9176123142242432, 2.853097438812256]","[-5.125, -45.375, 9.75]","[-0.0206297915428876, -0.724835216999054, 0.5989097356796265]","[-358.1875, -58.5, -104.9375]","[1.7876999378204346, 0.9594999551773072, 2.8241000175476074]","[0.0535292476415634, -0.7365638613700867, 0.50357985496521]","[0.7422999739646912, 7.787899971008301, -5.9131999015808105]",,
2024-02-25 15:10:46.500,"[2.247532844543457, 9.575532913208008, -3.0401382446289062]","[-0.6403719782829285, -0.2761259973049164, 0.6215149760246277, 0.3569250106811523, 1.4462999105453491, -0.9228338003158568, 2.951745748519897]","[-2.5625, -45.875, 10.3125]","[-0.4500156939029693, -0.90907222032547, 0.8186815977096558]","[-355.6875, -58.9375, -104.875]","[-0.0680999979376792, -2.611599922180176, 0.8716999888420105]","[-0.3531324565410614, -0.934292197227478, 0.8855451345443726]","[0.7348999977111816, 7.818999767303467, -5.872999668121338]",,
2024-02-25 15:10:46.600,"[1.6101963520050049, 8.23501968383789, -8.120174407958984]","[-0.6635950207710266, -0.3039830029010772, 0.6098529696464539, 0.3087300062179565, 1.4565333127975464, -0.8946707248687744, 3.0792717933654785]","[-0.25, -44.875, 13.0625]","[-0.2625324130058288, -0.9796009659767152, 0.8280714750289917]","[-353.25, -58.0625, -101.9375]","[1.948099970817566, 0.4215999841690063, 0.9285999536514282]","[-0.3542145788669586, -0.9830567240715028, 0.8419643044471741]","[0.6995999813079834, 7.649199962615967, -6.0966997146606445]",,
2024-02-25 15:10:46.700,"[0.2387880980968475, 8.916093826293945, -5.828291416168213]","[-0.6864169836044312, -0.336122989654541, 0.5944679975509644, 0.2499179989099502, 1.4673888683319092, -0.8611273169517517, -3.054720640182495]","[2.625, -44.8125, 12.75]","[0.3552966713905334, -0.636451780796051, 0.4603655040264129]","[-350.375, -58.0625, -102.125]","[-1.0812000036239624, 1.0729999542236328, 0.0499999970197677]","[0.3055024445056915, -0.667658269405365, 0.5657484531402588]","[0.659500002861023, 7.4390997886657715, -6.355599880218506]",,
2024-02-25 15:10:46.800,"[2.602602481842041, 7.044497966766357, -4.63392972946167]","[-0.6941699981689453, -0.3722119927406311, 0.5708869695663452, 0.2316740006208419, 1.4566516876220703, -0.8967076539993286, -2.975266695022583]","[3.625, -45.8125, 12.6875]","[-0.0933576598763465, -0.7049210071563721, 0.3596251010894775]","[-349.375, -58.875, -102.1875]","[0.9502999782562256, -0.6988999843597412, 1.305400013923645]","[-0.0267733503133058, -0.5999918580055237, 0.3572514355182647]","[0.6970999836921692, 7.661699771881103, -6.081299781799316]",,
2024-02-25 15:10:46.900,"[0.6139499545097351, 2.6566061973571777, -5.847837924957275]","[-0.7061100006103516, -0.3923969864845276, 0.5512040257453918, 0.2088200002908706, 1.4343159198760986, -0.9016568660736084, -2.917771100997925]","[3.5625, -45.5625, 13.4375]","[0.0923802778124809, -0.5743005871772766, 0.103114053606987]","[-349.25, -58.5, -101.5]","[1.9965999126434328, -0.6898999810218811, 1.6821999549865725]","[-0.0213453769683837, -0.6110572218894958, 0.027872908860445]","[0.8276000022888184, 7.69189977645874, -6.0264997482299805]",,
2024-02-25 15:10:47.000,"[5.4293599128723145, 7.931032657623291, -6.151814937591553]","[-0.7198320031166077, -0.4024859964847564, 0.5353749990463257, 0.1822589933872223, 1.4075980186462402, -0.8860799074172974, -2.871795415878296]","[4.25, -44.5625, 15.125]","[-0.5662022829055786, -0.948377013206482, 0.7536855340003967]","[-348.5625, -57.5, -100.0625]","[1.2968000173568726, 2.171099901199341, 1.6478999853134155]","[-0.6574655175209045, -0.9401565194129944, 0.804160475730896]","[1.007599949836731, 7.596199989318848, -6.119799613952637]",,
