time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-24 17:37:22.400,"[3.3930819034576416, 9.639640808105469, 1.291470646858215]","[0.1550460010766983, -0.1913239955902099, 0.6367869973182678, 0.7306550145149231, -1.332668662071228, -1.057672381401062, -1.2796214818954468]","[-26.0, -31.0625, -18.9375]","[0.2133141458034515, -0.722339391708374, -0.1939584463834762]","[-58.5, -1.5625, 38.75]","[-0.3044999837875366, -4.904799938201904, 3.631500005722046]","[0.0104719754308462, -0.196803331375122, -0.3074048459529876]","[1.0988999605178833, 8.523399353027344, 4.723700046539307]",left,START
2024-02-24 17:37:22.500,"[4.62893009185791, 11.877117156982422, -0.3850451111793518]","[0.1368709951639175, -0.1935240030288696, 0.6317989826202393, 0.7379999756813049, -1.3011242151260376, -1.0749359130859375, -1.218454122543335]","[-26.6875, -31.5625, -18.625]","[0.2927266359329223, -0.3987379074096679, -0.0352032892405986]","[-59.1875, -2.0625, 39.0625]","[0.7609999775886536, -1.0813000202178955, 0.1065999940037727]","[-0.0386241376399993, -0.2845759391784668, -0.2724458873271942]","[1.2491999864578247, 8.642199516296387, 4.463200092315674]",,
2024-02-24 17:37:22.600,"[3.428860902786255, 11.068921089172363, 1.5444228649139404]","[0.1324869990348816, -0.191673994064331, 0.6267729997634888, 0.7435470223426819, -1.2681947946548462, -1.0785675048828125, -1.1818643808364868]","[-26.8125, -31.5625, -18.75]","[0.1487020552158355, 0.3391174674034118, -0.0446106158196926]","[-59.3125, -2.0625, 38.9375]","[-1.5263999700546265, -0.5665000081062317, 0.3470000028610229]","[-0.5655041337013245, 0.2352354824542999, -0.1148077547550201]","[1.369499921798706, 8.696199417114258, 4.320899963378906]",,
2024-02-24 17:37:22.700,"[2.30737853050232, 8.869579315185547, 4.638756275177002]","[0.1354050040245056, -0.1956170052289962, 0.6158639788627625, 0.7510719895362854, -1.2270381450653076, -1.059562087059021, -1.1389974355697632]","[-27.625, -30.1875, -19.5]","[-0.0419751666486263, 0.2331934422254562, -0.1991246193647384]","[-60.125, -0.6875, 38.1875]","[-0.061099998652935, 0.5250999927520752, 1.5875999927520752]","[0.0534594357013702, 0.3965387940406799, -0.2864958047866821]","[1.6203999519348145, 8.575399398803711, 4.472899913787842]",,
2024-02-24 17:37:22.800,"[-0.0254838820546865, 8.856056213378906, 5.479254722595215]","[0.1559350043535232, -0.1838140040636062, 0.6160449981689453, 0.749921977519989, -1.2158352136611938, -1.0484386682510376, -1.1750215291976929]","[-28.0625, -29.625, -19.875]","[0.1697681695222854, 0.7090051174163818, 0.249843880534172]","[-60.5625, -0.125, 37.8125]","[0.5794000029563904, 0.0026999998372048, -1.0149999856948853]","[-0.082257367670536, 0.6436076164245605, 0.1417905539274215]","[1.7152999639511108, 8.528999328613281, 4.525799751281738]",,
2024-02-24 17:37:22.900,"[1.9923301935195925, 9.23421573638916, 5.3483405113220215]","[0.1992899924516677, -0.1641750037670135, 0.6179180145263672, 0.7426350116729736, -1.214447021484375, -1.0204399824142456, -1.2660542726516724]","[-28.4375, -30.1875, -18.375]","[0.2572615444660187, 0.965132176876068, 0.4274660348892212]","[-60.9375, -0.6875, 39.3125]","[0.5669999718666077, 0.1088999956846237, -1.7623999118804932]","[0.1620887219905853, 0.9480977654457092, 0.4285655915737152]","[1.7472000122070312, 8.403200149536133, 4.74370002746582]",,
2024-02-24 17:37:23.000,"[2.65949821472168, 8.71156120300293, 6.070191860198975]","[0.2263749986886978, -0.1444060057401657, 0.6172459721565247, 0.7395319938659668, -1.1918801069259644, -1.011382818222046, -1.312562346458435]","[-28.375, -30.5625, -18.25]","[-0.091909036040306, 0.9698096513748168, 0.3370405435562134]","[-60.875, -1.0625, 39.4375]","[2.575500011444092, 0.4443999826908111, 0.0520999990403652]","[0.0439822971820831, 0.5074893832206726, 0.1504822820425033]","[1.8863999843597408, 8.322699546813965, 4.831500053405762]",,
2024-02-24 17:37:23.100,"[3.0583531856536865, 4.708561420440674, 6.489569664001465]","[0.260904997587204, -0.1177039965987205, 0.6222230195999146, 0.7286369800567627, -1.1911851167678833, -1.007183074951172, -1.4024107456207275]","[-29.0625, -30.875, -16.3125]","[0.001483529806137, 0.8713905215263367, 0.4103268980979919]","[-61.5625, -1.375, 41.375]","[2.9045000076293945, 2.061699867248535, -4.344599723815918]","[0.1175653785467147, 0.7352722883224487, 0.2557780146598816]","[1.9594999551773071, 8.303799629211426, 4.83489990234375]",,
2024-02-24 17:37:23.200,"[1.4159787893295288, 6.613426685333252, 6.965355396270752]","[0.3076600134372711, -0.0873569995164871, 0.6219519972801208, 0.7147650122642517, -1.1766806840896606, -0.9887629747390748, -1.503362059593201]","[-28.625, -32.4375, -15.0]","[-0.1622458100318908, 1.262065052986145, 0.3677932322025299]","[-61.125, -2.9375, 42.6875]","[0.4192999899387359, 2.677299976348877, -2.3018999099731445]","[0.2205223441123962, 0.9380795359611512, 0.4482180178165436]","[1.9929999113082888, 8.198200225830078, 4.99869966506958]",,
2024-02-24 17:37:23.300,"[6.807826042175293, 6.190600872039795, 6.273919582366943]","[0.3382790088653564, -0.0642099976539611, 0.6146489977836609, 0.7096830010414124, -1.134857416152954, -0.9772638082504272, -1.5429935455322266]","[-29.3125, -32.5625, -13.5]","[0.3022212088108063, 0.7484146356582642, -0.0546113513410091]","[-61.8125, -3.0625, 44.1875]","[3.049599885940552, 0.3869999945163727, -0.4797999858856201]","[0.272393524646759, 0.3112271130084991, 0.0207170583307743]","[2.324399948120117, 8.11520004272461, 4.990900039672852]",,
