time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-03-20 14:02:55.100,"[2.829247236251831, 7.781768321990967, 4.482271194458008]","[-0.5870109796524048, -0.725691020488739, -0.1304170042276382, 0.3343349993228912, -1.7066670656204224, -0.8706861734390259, 1.1266984939575195]","[25.0625, -21.3125, -29.0]","[-0.0533547140657901, 0.9252339601516724, 1.994282960891724]","[-22.0625, -33.75, 8.8125]","[2.287600040435791, 1.8948999643325808, -2.2100000381469727]","[-0.123831108212471, 0.9834057688713074, 1.6461421251296997]","[-0.8557999730110168, 7.499799728393555, 6.2600998878479]",left,START
2024-03-20 14:02:55.200,"[-5.096345901489258, -0.7807012796401978, 5.85316276550293]","[-0.5242810249328613, -0.7609969973564148, -0.057507999241352, 0.3777630031108856, -1.8246941566467283, -0.8548977375030518, 0.8284979462623596]","[25.25, -17.0, -32.8125]","[-1.7287311553955078, 2.368830680847168, 1.5949691534042358]","[-21.875, -29.4375, 5.0]","[-1.9333999156951904, -5.604499816894531, 0.2719999849796295]","[-1.584601879119873, 2.297272205352783, 2.039260149002075]","[-1.6165999174118042, 7.399099826812744, 6.229699611663818]",,
2024-03-20 14:02:55.300,"[-17.29932403564453, 56.654571533203125, -5.8516106605529785]","[-0.4834299981594085, -0.7666919827461243, 0.0942329987883567, 0.4118230044841766, -1.9144810438156128, -0.959489107131958, 0.4578257501125335]","[22.3125, -16.1875, -35.0]","[0.8447219133377075, 1.4102784395217896, -1.7084853649139404]","[-24.8125, -28.625, 2.8125]","[18.47949981689453, 11.49429988861084, -16.33169937133789]","[0.931098222732544, 4.176764965057373, 2.4126384258270264]","[-1.8964999914169312, 8.030599594116211, 5.299200057983398]",,
2024-03-20 14:02:55.400,"[3.6529390811920166, 14.18122100830078, 8.196462631225586]","[-0.4278739988803863, -0.7655410170555115, 0.1485970020294189, 0.4569340050220489, -1.9320192337036133, -0.9122917652130128, 0.2704817354679107]","[21.625, -14.0625, -35.6875]","[-0.3047519326210022, 0.6713408827781677, 0.5694136619567871]","[-25.5, -26.5, 2.125]","[8.446100234985352, -1.077799916267395, -1.9361999034881592]","[0.1765400469303131, 0.1703615933656692, 1.4950140714645386]","[-2.120800018310547, 7.756099700927734, 5.613699913024902]",,
2024-03-20 14:02:55.500,"[-1.6612695455551147, 11.545741081237791, 2.1621077060699463]","[-0.4092270135879516, -0.7662540078163147, 0.1766040027141571, 0.46281498670578, -1.967646837234497, -0.9118105173110962, 0.177549347281456]","[20.0, -14.1875, -36.1875]","[0.1102524474263191, 0.2772106528282165, 0.2998301088809967]","[-27.125, -26.625, 1.625]","[3.2132999897003174, 1.013800024986267, -4.13569974899292]","[-0.2519731819629669, 0.1004786044359207, 0.2209412306547165]","[-2.3208999633789062, 7.753199577331543, 5.537999629974365]",,
2024-03-20 14:02:55.600,"[3.546253204345703, 3.393637180328369, 2.550045251846313]","[-0.4130670130252838, -0.7508819699287415, 0.1983669996261596, 0.4756050109863281, -1.9295003414154053, -0.9424792528152466, 0.1623590439558029]","[17.6875, -17.25, -35.8125]","[-0.610690712928772, 0.4421791732311249, 1.8199944496154783]","[-29.4375, -29.6875, 2.0]","[4.955699920654297, -8.6496000289917, 2.428400039672852]","[-1.150782823562622, 0.2739294171333313, 0.6711488962173462]","[-2.0234999656677246, 7.933699607849121, 5.397199630737305]",,
2024-03-20 14:02:55.700,"[-0.0959596037864685, 4.818215847015381, 2.703388929367065]","[-0.3899349868297577, -0.7426139712333679, 0.261339008808136, 0.4776760041713714, -2.013219118118286, -0.9769830107688904, -0.0279252901673316]","[15.875, -17.0625, -37.1875]","[0.3048217594623565, 0.3589444160461426, 0.2156179696321487]","[-31.625, -29.25, 1.125]","[1.6626999378204346, 1.374699950218201, -3.34060001373291]","[0.1294859796762466, 0.8793666958808899, -0.1966287940740585]","[-2.34909987449646, 8.127900123596191, 4.958699703216553]",,
2024-03-20 14:02:55.800,"[-0.1573277860879898, 15.678009033203123, 6.280134677886963]","[-0.371616005897522, -0.735044002532959, 0.2783040106296539, 0.4941230118274688, -1.9963419437408447, -0.9637579321861268, -0.0734894648194313]","[15.5625, -15.75, -38.4375]","[0.1087340116500854, 0.7973187565803528, 0.406015932559967]","[-31.9375, -27.9375, -0.125]","[2.976099967956543, 4.20359992980957, -0.0544999986886978]","[0.2049190998077392, 0.9269094467163086, 0.7064743638038635]","[-2.309299945831299, 8.05459976196289, 5.095099925994873]",,
2024-03-20 14:02:55.900,"[1.933997750282288, 9.8789644241333, 4.273956775665283]","[-0.3345769941806793, -0.7264059782028198, 0.3101829886436462, 0.5139809846878052, -2.0015459060668945, -0.935563862323761, -0.1808148175477981]","[12.75, -14.875, -39.0]","[-0.6047914624214172, 0.425179660320282, 0.0979304239153862]","[-34.75, -27.0625, -0.6875]","[4.3420000076293945, 4.796000003814697, -3.1297998428344727]","[-0.3070383071899414, 0.6480233073234558, 0.278903603553772]","[-2.4296998977661133, 7.893699645996094, 5.287299633026123]",,
2024-03-20 14:02:56.000,"[-1.50764799118042, 12.271605491638184, 3.882456541061402]","[-0.3405289947986603, -0.708145022392273, 0.3386259973049164, 0.5175920128822327, -2.0038275718688965, -0.9841973185539246, -0.2316515445709228]","[12.0625, -18.9375, -38.3125]","[-0.4316897392272949, 0.0964818000793457, -0.7400370240211487]","[-35.4375, -31.125, 0.0]","[-0.8307999968528748, 3.894899845123291, 0.946899950504303]","[-0.8206363320350647, 0.1244594305753707, -0.6697701215744019]","[-2.2777998447418213, 8.167200088500977, 4.927199840545654]",,
