time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 12:44:34.500,"[2.5430922508239746, 6.337365627288818, -6.544013977050781]","[0.6539009809494019, 0.6436309814453125, -0.0258559994399547, 0.3968400061130523, 1.268015742301941, -0.9635465741157532, -1.3165990114212036]","[-16.9375, -43.25, 4.75]","[-0.2407856285572052, -0.9404706358909608, 0.664778470993042]","[-369.25, -58.5, -108.6875]","[1.8421999216079712, -0.8944999575614929, 0.5065000057220459]","[-0.2467022836208343, -0.9380621314048768, 0.6666459441184998]","[1.6683999300003052, 8.053400039672852, -5.34119987487793]",right,START
2024-02-25 12:44:34.600,"[3.73579740524292, 7.781337261199951, -5.458569526672363]","[0.6286789774894714, 0.6479150056838989, 0.0055550001561641, 0.4300430119037628, 1.287248611450195, -0.9604313373565674, -1.1966791152954102]","[-14.25, -44.25, 4.3125]","[-0.3516140282154083, -0.4344473481178283, 0.6418797373771667]","[-366.875, -59.6875, -108.9375]","[2.526599884033203, -0.3278999924659729, 0.3458999991416931]","[-0.3575306832790375, -0.4320562481880188, 0.6437472105026245]","[1.5724999904632568, 8.035900115966797, -5.396299839019775]",,
2024-02-25 12:44:34.700,"[5.38307523727417, 8.02869701385498, -4.309754371643066]","[0.6064410209655762, 0.6547070145606995, 0.0235929992049932, 0.4505870044231415, 1.323711633682251, -0.9533227682113647, -1.0985941886901855]","[-11.75, -45.25, 4.6875]","[-0.4170638620853424, -0.7083244323730469, 0.7917860746383667]","[-365.4375, -60.0, -108.875]","[2.9261999130249023, 0.2710999846458435, 0.945199966430664]","[-0.4229979813098907, -0.7059158682823181, 0.7936535477638245]","[1.3885999917984009, 7.995800018310547, -5.505300045013428]",,
2024-02-25 12:44:34.800,"[1.6413785219192505, 8.29460620880127, -5.49428129196167]","[0.5757650136947632, 0.6596810221672058, 0.0531539991497993, 0.4800919890403747, 1.3574059009552002, -0.9453127384185792, -0.9692481756210328]","[-10.125, -45.6875, 4.75]","[-0.2341359108686447, -1.3021377325057983, 0.9732828736305236]","[-361.5, -61.0, -108.375]","[0.3236999809741974, -1.958199977874756, -0.213699996471405]","[-0.2400700449943542, -1.2997292280197144, 0.9751503467559814]","[1.21589994430542, 7.949999809265137, -5.6113996505737305]",,
2024-02-25 12:44:34.900,"[3.2637758255004883, 3.2300941944122314, -7.149680137634277]","[0.5312860012054443, 0.6576929688453674, 0.1055260002613067, 0.523485004901886, 1.3778795003890991, -0.9430083632469176, -0.7904956936836243]","[-6.1875, -46.5625, 4.8125]","[0.1920385807752609, -0.8659451007843018, 0.9275552034378052]","[-357.6875, -61.1875, -108.25]","[2.631999969482422, -0.6700999736785889, -0.2111999988555908]","[0.1861044615507125, -0.863536536693573, 0.9294402003288268]","[1.104200005531311, 7.936800003051758, -5.65310001373291]",,
2024-02-25 12:44:35.000,"[2.5744946002960205, 2.857862710952759, -6.153615951538086]","[0.4926899969577789, 0.6556490063667297, 0.1608089953660965, 0.5491080284118652, 1.4144408702850342, -0.9660852551460266, -0.6197404265403748]","[-2.5, -46.875, 4.75]","[-0.3022212088108063, -0.0160744823515415, 0.7474197745323181]","[-353.0, -61.625, -108.8125]","[0.9264000058174132, 3.033499956130981, 3.349799871444702]","[-0.3081553280353546, -0.0136659275740385, 0.7493047714233398]","[0.8680999875068665, 8.06760025024414, -5.507199764251709]",,
2024-02-25 12:44:35.100,"[3.2959060668945312, 9.727727890014648, -4.177412509918213]","[0.4532319903373718, 0.668487012386322, 0.1932750046253204, 0.5570899844169617, 1.515482783317566, -0.963690459728241, -0.4469539821147918]","[1.875, -47.125, 4.625]","[-0.4491081237792969, -1.3586690425872805, 1.6062613725662231]","[-346.8125, -60.625, -107.9375]","[8.183199882507324, 4.527599811553955, 3.124500036239624]","[-0.4550422430038452, -1.3562604188919067, 1.6081289052963257]","[0.3091999888420105, 8.054200172424316, -5.585999965667725]",,
2024-02-25 12:44:35.200,"[0.1235216557979583, 10.686107635498049, -2.94275164604187]","[0.3737049996852875, 0.6648150086402893, 0.2655940055847168, 0.5897660255432129, 1.6135225296020508, -0.9444352388381958, -0.1500944197177887]","[8.8125, -46.0625, 5.8125]","[0.3935891985893249, -1.6742594242095947, 0.5691169500350952]","[-341.9375, -59.3125, -106.375]","[0.9907999634742736, 5.470399856567383, 0.1928000003099441]","[0.3876725435256958, -1.6718509197235107, 0.5710018873214722]","[-0.2454999983310699, 7.944999694824219, -5.743299961090088]",,
2024-02-25 12:44:35.300,"[5.76940393447876, 8.021906852722168, -5.338897228240967]","[0.3476209938526153, 0.6250360012054443, 0.3164539933204651, 0.6231729984283447, 1.537939190864563, -0.977250039577484, -0.0673951357603073]","[12.0625, -45.625, 6.0]","[0.1628915816545486, -0.4928635358810425, 0.0239982772618532]","[-342.875, -60.0625, -107.4375]","[2.447999954223633, 0.0493000000715255, 0.6079999804496765]","[0.1569574624300003, -0.4904549717903137, 0.0258832331746816]","[0.1800999939441681, 8.129300117492676, -5.481899738311768]",,
2024-02-25 12:44:35.400,"[0.5103288888931274, 10.925766944885254, -3.7636373043060303]","[0.3454830050468445, 0.6063609719276428, 0.3322499990463257, 0.6344889998435974, 1.4897116422653198, -0.9983766078948976, -0.0655549466609954]","[12.875, -45.0, 5.875]","[0.2453758418560028, -0.5474748611450195, 0.6106557846069336]","[-342.0625, -59.5625, -107.5]","[1.011299967765808, -2.6633999347686768, -1.7760999202728271]","[0.2394417226314544, -0.5450662970542908, 0.6125407814979553]","[0.4301999807357788, 8.243399620056152, -5.294399738311768]",,
2024-02-25 12:44:35.500,"[3.937082767486572, 5.334080219268799, -6.401309967041016]","[0.3261359930038452, 0.5917320251464844, 0.3667280077934265, 0.6395279765129089, 1.51150643825531, -1.0256201028823853, 0.0325246900320053]","[17.5625, -44.375, 5.625]","[0.215356171131134, -1.011994242668152, 1.5002326965332031]","[-337.8125, -59.125, -107.75]","[1.169600009918213, -0.7455999851226807, -0.2680999934673309]","[0.2094220519065857, -1.009585738182068, 1.502100110054016]","[0.3012999892234802, 8.385000228881836, -5.076399803161621]",,
2024-02-25 12:44:35.600,"[4.025715827941895, 13.044807434082031, -1.934189319610596]","[0.2699710130691528, 0.5754259824752808, 0.4331290125846863, 0.6390600204467773, 1.6452828645706177, -1.0437322854995728, 0.3099348247051239]","[24.4375, -40.5625, 9.6875]","[-0.300650417804718, -2.049051523208618, 2.22909951210022]","[-331.125, -55.4375, -104.125]","[4.338699817657471, 2.77239990234375, 0.2313999980688095]","[-0.3065670728683471, -2.046642780303955, 2.2309844493865967]","[-0.3669999837875366, 8.475699424743652, -4.918999671936035]",,
2024-02-25 12:44:35.700,"[2.466468334197998, 7.40446138381958, -5.538928031921387]","[0.1637489944696426, 0.5390099883079529, 0.5141249895095825, 0.6467840075492859, 1.7753417491912842, -1.0002024173736572, 0.6866505146026611]","[27.0625, -39.125, 10.75]","[1.066465973854065, -0.7812966108322144, 0.750596284866333]","[-328.1875, -53.5, -102.3125]","[2.497799873352051, -5.291399955749512, -0.7759000062942505]","[1.060549259185791, -0.7788881063461304, 0.75248122215271]","[-1.075899958610535, 8.253000259399414, -5.186399936676025]",,
