time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-02-24 16:49:23.900,"[2.833202600479126, 8.494588851928711, 2.7995879650115967]","[-0.0845410004258155, -0.3434549868106842, 0.5584200024604797, 0.750370979309082, -1.248891830444336, -1.1109402179718018, -0.6167845129966736]","[-27.5625, -34.0625, -16.125]","[0.1242325380444526, 0.2822372019290924, 0.2507688999176025]","[-59.1875, -6.375, 40.875]","[-0.9617999792099, 0.58160001039505, -1.1890000104904177]","[0.0133692221716046, 0.3456624448299408, 0.0970403030514717]","[1.3638999462127686, 8.793499946594238, 4.121200084686279]",left,START,snowplow,beginner,blue,
2024-02-24 16:49:24.000,"[1.6714496612548828, 7.1601762771606445, 5.217166423797607]","[-0.0723749995231628, -0.3303659856319427, 0.5649160146713257, 0.7526540160179138, -1.23837149143219, -1.115641713142395, -0.6450730562210083]","[-27.25, -34.5, -15.5625]","[-0.0040142573416233, 0.3415085673332214, 0.1847256422042846]","[-58.875, -6.8125, 41.4375]","[1.5202999114990234, 0.8090999722480774, -2.2052998542785645]","[0.2876651585102081, 0.2753605842590332, 0.052307516336441]","[1.4019999504089355, 8.820899963378906, 4.048999786376953]",,,snowplow,beginner,blue,
2024-02-24 16:49:24.100,"[2.4375557899475098, 8.914819717407227, 2.847912549972534]","[-0.0583029985427856, -0.32396200299263, 0.5672510266304016, 0.7548999786376953, -1.23726487159729, -1.1066666841506958, -0.6743684411048889]","[-27.9375, -34.4375, -14.6875]","[-0.0505970939993858, 0.1511629670858383, -0.0359014235436916]","[-59.5625, -6.75, 42.3125]","[2.535799980163574, 2.549399852752685, -3.6016998291015625]","[0.2538232207298279, 0.1953372508287429, 0.1556659191846847]","[1.445599913597107, 8.747699737548828, 4.190099716186523]",,,snowplow,beginner,blue,"[45.0, 0.2360571026802063, 14.008919715881348, 3.009999990463257, 0.218431144952774, 346.73541259765625, 620.1471308451146, 18.8943297, 49.6388139]"
2024-02-24 16:49:24.200,"[2.0906264781951904, 9.221795082092283, 0.5404862761497498]","[-0.0476629994809627, -0.3153739869594574, 0.5673679709434509, 0.7591840028762817, -1.2162069082260132, -1.10072660446167, -0.6819494962692261]","[-27.8125, -34.1875, -14.25]","[0.1765051484107971, 0.3215070962905884, -0.0118856923654675]","[-59.4375, -6.5, 42.75]","[1.899399995803833, 0.0282999984920024, -2.1689999103546143]","[0.0842121392488479, 0.1323483139276504, -0.0766374096274375]","[1.5033999681472778, 8.729000091552734, 4.208799839019775]",,,snowplow,beginner,blue,
2024-02-24 16:49:24.300,"[1.7921557426452637, 8.281169891357422, 3.580883026123047]","[-0.0429110005497932, -0.3108310103416443, 0.5641120076179504, 0.7637540102005005, -1.190755009651184, -1.0937646627426147, -0.6700503826141357]","[-28.3125, -33.75, -14.1875]","[0.0694815590977668, -0.1270076036453247, -0.189542755484581]","[-59.9375, -6.0625, 42.8125]","[1.1624000072479248, 0.2498999983072281, -2.920399904251098]","[-0.0544717274606227, 0.0730245783925056, -0.0560599751770496]","[1.6519999504089355, 8.713299751281738, 4.185499668121338]",,,snowplow,beginner,blue,"[45.0, 0.2360571026802063, 14.008919715881348, 3.0239999294281006, 0.2318777292966842, 346.14923095703125, 620.1471308451146, 18.894328, 49.6388149]"
2024-02-24 16:49:24.400,"[3.253154993057251, 7.02790117263794, 4.377309799194336]","[-0.0435359999537467, -0.3093850016593933, 0.5607290267944336, 0.766789972782135, -1.1712570190429688, -1.0905076265335083, -0.6515785455703735]","[-28.625, -33.375, -13.9375]","[-0.1551946699619293, 0.0264591909945011, -0.0978257060050964]","[-60.25, -5.6875, 43.0625]","[0.3527999818325043, 0.8502999544143677, -1.299899935722351]","[0.1250004768371582, -0.0450644008815288, -0.0313461124897003]","[1.7457000017166138, 8.691499710083008, 4.192899703979492]",,,snowplow,beginner,blue,
2024-02-24 16:49:24.500,"[0.1769602298736572, 9.737524032592772, 1.976566791534424]","[-0.0312009993940591, -0.3008440136909485, 0.562237024307251, 0.7696800231933594, -1.1593570709228516, -1.0849037170410156, -0.6707212924957275]","[-28.75, -34.125, -13.125]","[0.1773429065942764, 0.1588598638772964, 0.1880068629980087]","[-60.375, -6.4375, 43.875]","[0.1807999908924102, 2.511899948120117, -1.0607999563217163]","[-0.1481959074735641, 0.3386462330818176, -0.2420422583818435]","[1.7803999185562134, 8.64799976348877, 4.267499923706055]",,,snowplow,beginner,blue,
2024-02-24 16:49:24.600,"[3.3953421115875244, 8.851508140563965, 3.510321140289306]","[-0.0302349999547004, -0.2901740074157715, 0.5583630204200745, 0.7766039967536926, -1.1079331636428833, -1.0860662460327148, -0.636820375919342]","[-29.375, -32.875, -13.4375]","[-0.1751263439655304, 0.0454658269882202, -0.2923426628112793]","[-61.0, -5.1875, 43.5625]","[1.4122999906539917, -0.4172999858856201, -1.926799893379212]","[0.2466848343610763, 0.1086991056799888, 0.1632930040359497]","[2.0199999809265137, 8.67449951171875, 4.103799819946289]",,,snowplow,beginner,blue,
2024-02-24 16:49:24.700,"[1.1984798908233645, 8.847005844116211, 4.521363735198975]","[-0.01664499938488, -0.2884199917316437, 0.5587059855461121, 0.7774209976196289, -1.1176271438598633, -1.072296977043152, -0.6686826944351196]","[-29.9375, -33.375, -12.6875]","[0.3544938266277313, 0.3147875964641571, 0.2430371046066284]","[-61.5625, -5.6875, 44.3125]","[-0.3897999823093414, 1.2253999710083008, -0.0499999970197677]","[-0.2195275127887725, 0.1822647303342819, 0.0059515726752579]","[2.037299871444702, 8.620399475097656, 4.207999706268311]",,,snowplow,beginner,blue,
2024-02-24 16:49:24.800,"[0.5207005739212036, 8.89815616607666, 5.150320529937744]","[-0.0131989996880292, -0.2822040021419525, 0.5622640252113342, 0.7772030234336853, -1.113716959953308, -1.0788944959640503, -0.6795914173126221]","[-29.4375, -33.5, -11.875]","[-0.1731366664171219, 0.000733038294129, 0.0685390830039978]","[-61.0625, -5.8125, 45.125]","[0.0212999992072582, 3.5204999446868896, -1.754899978637695]","[0.1123992055654525, 0.2960602045059204, 0.1158549562096595]","[2.0576000213623047, 8.649399757385254, 4.138000011444092]",,,snowplow,beginner,blue,
2024-02-24 16:49:24.900,"[3.216907024383545, 6.353062152862549, 4.671815395355225]","[-0.0078919995576143, -0.2736530005931854, 0.5629019737243652, 0.7798659801483154, -1.092819333076477, -1.0807169675827026, -0.6794585585594177]","[-29.9375, -33.125, -12.0]","[-0.1977109014987945, 0.1948660165071487, -0.1241627261042594]","[-61.5625, -5.4375, 45.0]","[1.577199935913086, -0.743399977684021, -1.5118999481201172]","[0.1885130107402801, 0.1760513633489608, 0.0295484233647584]","[2.1001999378204346, 8.647500038146973, 4.120500087738037]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.000,"[3.341127634048462, 9.09247875213623, 0.6048614978790283]","[0.0099830003455281, -0.2665730118751526, 0.5655869841575623, 0.780351996421814, -1.0988837480545044, -1.0703978538513184, -0.7221248745918274]","[-29.625, -34.3125, -10.9375]","[0.1466774642467498, 0.289742112159729, 0.2003812491893768]","[-61.25, -6.625, 46.0625]","[0.5686999559402466, 1.4611999988555908, -0.590399980545044]","[0.3887895345687866, 0.4783772826194763, 0.3110351264476776]","[2.1377999782562256, 8.600299835205078, 4.199199676513672]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.100,"[2.759078025817871, 10.152746200561523, 3.337737560272217]","[0.0380819998681545, -0.2547659873962402, 0.5698750019073486, 0.7803109884262085, -1.1068315505981443, -1.0551120042800903, -0.7885766625404358]","[-29.1875, -34.25, -10.5625]","[0.717120885848999, 0.4403465688228607, 0.2606300115585327]","[-60.8125, -6.5625, 46.4375]","[-0.3256999850273132, 0.0754999965429306, -1.2166999578475952]","[0.1841671466827392, 0.7315024137496948, 0.0699876993894577]","[2.1693999767303467, 8.564000129699707, 4.256799697875977]",,,snowplow,beginner,blue,"[45.0, 0.3259950578212738, 11.84912109375, 3.101999998092652, 0.4946482181549072, 336.3218078613281, 619.9814633447677, 18.8943159, 49.6388221]"
2024-02-24 16:49:25.200,"[4.609403133392334, 8.598785400390625, 3.7831642627716064]","[0.0636529996991157, -0.2369219958782196, 0.5691689848899841, 0.7847689986228943, -1.0758403539657593, -1.0415161848068235, -0.8212760090827942]","[-30.0625, -34.3125, -9.3125]","[0.2819579541683197, 0.6123138666152954, 0.0180816110223531]","[-61.6875, -6.625, 47.6875]","[1.1971999406814575, -0.0164000000804662, -0.9854999780654908]","[-0.1055924221873283, 0.4246734976768493, 0.0713141560554504]","[2.3134000301361084, 8.479499816894531, 4.349100112915039]",,,snowplow,beginner,blue,"[45.0, 0.3259950578212738, 11.84912109375, 3.181999921798706, 0.5299290418624878, 335.1829528808594, 619.9814633447677, 18.8943129, 49.6388238]"
2024-02-24 16:49:25.300,"[1.495753526687622, 9.610555648803713, 2.549872875213623]","[0.0787480026483535, -0.2184640020132064, 0.5741530060768127, 0.7851240038871765, -1.055927038192749, -1.049462080001831, -0.8510726690292358]","[-29.8125, -34.75, -8.1875]","[-0.0430049113929271, 0.3305130004882812, 0.2720619142055511]","[-61.4375, -7.0625, 48.8125]","[0.9465999603271484, 1.5428999662399292, -0.5270999670028687]","[0.0849800780415535, 0.4124212861061096, -0.0388161242008209]","[2.4170000553131104, 8.4891996383667, 4.273299694061279]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.400,"[4.191653251647949, 8.007838249206543, 3.2887330055236816]","[0.0889059975743293, -0.201444998383522, 0.5682889819145203, 0.7928190231323242, -0.995037853717804, -1.0457112789154053, -0.8300495743751526]","[-31.5625, -34.375, -7.0625]","[-0.102956973016262, 0.2948035597801208, -0.3294134438037872]","[-63.1875, -6.6875, 49.9375]","[0.5327999591827393, 0.5735999941825867, -0.4120000004768371]","[-0.1096066758036613, 0.0699876993894577, -0.2518684566020965]","[2.6150999069213867, 8.48759937286377, 4.158199787139893]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.500,"[2.6395785808563232, 10.102947235107422, 4.774450302124023]","[0.0872579962015152, -0.195360004901886, 0.558525025844574, 0.8014169931411743, -0.940171480178833, -1.0374871492385864, -0.7815249562263489]","[-32.4375, -33.75, -7.125]","[0.0612436048686504, 0.1146506816148758, -0.1676563322544098]","[-64.0625, -6.0625, 49.875]","[1.0326999425888062, -0.400299996137619, 0.1442999988794326]","[-0.2173982113599777, 0.1093448773026466, -0.106412723660469]","[2.9094998836517334, 8.461400032043457, 4.013599872589111]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.600,"[2.4542770385742188, 9.953453063964844, 1.0906641483306885]","[0.0829309970140457, -0.1889750063419342, 0.5524340271949768, 0.8076059818267822, -0.8949498534202576, -1.0371427536010742, -0.7393222451210022]","[-32.9375, -33.3125, -6.375]","[-0.2421993464231491, 0.0497069768607616, -0.2329141944646835]","[-64.5625, -5.625, 50.625]","[0.6948999762535095, 2.3297998905181885, -0.7860999703407288]","[-0.0744208395481109, 0.3142988979816437, -0.2219884246587753]","[3.07069993019104, 8.427999496459961, 3.963399887084961]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.700,"[3.697030544281006, 10.127071380615234, 2.495696783065796]","[0.0829240009188652, -0.1795910000801086, 0.5433160066604614, 0.8158900141716003, -0.837599515914917, -1.029007077217102, -0.6955986022949219]","[-33.5, -32.1875, -5.3125]","[0.0618544667959213, 0.0648913383483886, -0.2460041642189026]","[-65.125, -4.5, 51.6875]","[-1.0928000211715698, 0.7128999829292297, -0.7337999939918518]","[-0.0638790503144264, 0.2855184078216553, -0.3358187973499298]","[3.328699827194214, 8.416999816894531, 3.773899793624878]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.800,"[4.487998008728027, 11.178297996520996, 4.145607948303223]","[0.0862199962139129, -0.1749430000782013, 0.5310459733009338, 0.8245909810066223, -0.79244065284729, -1.0077335834503174, -0.6617323756217957]","[-34.0625, -32.0, -6.0]","[0.1602735817432403, -0.0764105170965194, -0.2555510997772217]","[-65.6875, -4.3125, 51.0]","[0.0105999996885657, -0.1386999934911728, -0.7646999955177307]","[0.1756673902273178, 0.3073001205921173, 0.1706582903861999]","[3.627599954605103, 8.327199935913086, 3.696899890899658]",,,snowplow,beginner,blue,
2024-02-24 16:49:25.900,"[3.5856523513793945, 8.331218719482422, 2.989036321640014]","[0.1028859987854957, -0.1733620017766952, 0.5346180200576782, 0.8206959962844849, -0.8198696374893188, -1.0006921291351318, -0.7159639596939087]","[-33.6875, -31.5, -5.25]","[0.2053379863500595, 0.1822821795940399, 0.1661378890275955]","[-65.3125, -3.8125, 51.75]","[-0.1172999963164329, 1.1252999305725098, -0.149399995803833]","[0.1516167521476745, 0.2993414103984833, 0.2211855798959732]","[3.628000020980835, 8.249799728393555, 3.866199970245361]",,,snowplow,beginner,blue,
2024-02-24 16:49:26.000,"[2.8757619857788086, 8.851947784423828, 2.481695413589477]","[0.1213169991970062, -0.169851005077362, 0.5396810173988342, 0.8155829906463623, -0.8481065034866333, -0.995622456073761, -0.7765143513679504]","[-33.1875, -33.0, -5.5625]","[0.2613281607627868, 0.1802925169467926, 0.1644449234008789]","[-64.8125, -5.3125, 51.4375]","[1.4300999641418457, -0.210099995136261, -0.2775999903678894]","[0.1493129134178161, 0.3662224411964416, 0.1344601660966873]","[3.5613999366760254, 8.231900215148926, 3.964900016784668]",,,snowplow,beginner,blue,"[45.0, 0.3165561258792877, 11.84912109375, 3.256999969482422, 0.4931320250034332, 326.58563232421875, 619.9814633447677, 18.8943095, 49.6388268]"
