time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-03-20 15:04:51.600,"[16.56414031982422, 1.9464284181594849, -20.7770938873291]","[-0.6334720253944397, -0.5662840008735657, 0.1238899976015091, 0.5125280022621155, -0.9118902087211608, -1.0055269002914429, 1.2542668581008911]","[0.375, -28.8125, -34.0]","[1.8610620498657229, -1.6901419162750244, 1.021488904953003]","[-47.0625, -42.5625, 3.1875]","[-25.75169944763184, -6.741499900817871, -14.312899589538574]","[-0.3613180518150329, 3.479523181915283, -2.7857024669647217]","[3.2159998416900635, 8.281099319458008, 4.153199672698975]",left,START,carving_short,intermediate,blue,
2024-03-20 15:04:51.700,"[19.79879379272461, 13.267248153686523, 5.489253520965576]","[-0.6228449940681458, -0.5987499952316284, 0.0767429992556572, 0.4976660013198852, -1.0740782022476196, -0.9653385877609252, 1.1884397268295288]","[7.5, -24.5625, -36.875]","[1.9649090766906736, 1.369472622871399, 4.930834293365479]","[-39.9375, -38.3125, 0.3125]","[-4.601399898529053, -7.64169979095459, 11.901700019836426]","[1.0168986320495603, 1.4076778888702393, 4.174460887908936]","[2.6596999168396, 8.063400268554688, 4.906799793243408]",,,carving_short,intermediate,blue,
2024-03-20 15:04:51.800,"[-11.863968849182127, 3.743516445159912, 0.0708109140396118]","[-0.5259169936180115, -0.6333910226821899, 0.1705559939146042, 0.5414189696311951, -1.3021079301834106, -1.0177088975906372, 0.7379740476608276]","[9.4375, -24.375, -35.875]","[-3.059632062911988, -2.441279172897339, -1.8093130588531487]","[-38.0, -38.125, 1.3125]","[-4.034899711608887, -2.980299949645996, -1.3087999820709229]","[-2.990586757659912, -1.4240665435791016, -0.0987681820988655]","[1.3674999475479126, 8.344499588012695, 4.966700077056885]",,,carving_short,intermediate,blue,
2024-03-20 15:04:51.900,"[8.401244163513184, 2.924488544464112, 10.34134292602539]","[-0.5855910181999207, -0.6105859875679016, 0.2083989977836609, 0.4907499849796295, -1.130151391029358, -1.167190670967102, 0.9535632729530334]","[11.8125, -27.125, -33.875]","[-0.6717248558998108, -0.6323328018188477, 1.628392219543457]","[-35.625, -40.875, 3.3125]","[1.8287999629974363, -5.596099853515625, 4.812900066375732]","[0.3690324127674103, -1.861271500587464, 1.7192366123199463]","[1.6425999402999878, 9.018699645996094, 3.4833998680114746]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.000,"[0.0267767533659935, 13.447532653808594, 9.818324089050291]","[-0.5244190096855164, -0.6947420239448547, 0.2146389931440353, 0.4429979920387268, -1.7169551849365234, -1.165133714675903, 0.4352689683437347]","[18.375, -23.875, -33.75]","[-1.8936123847961424, 0.3040887117385864, 1.5600625276565552]","[-29.0625, -37.625, 3.4375]","[-6.761899948120117, 5.365699768066406, 4.114599704742432]","[-0.5520476698875427, 0.3124313950538635, 1.3530316352844238]","[-0.5636000037193298, 9.010700225830078, 3.8285999298095694]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.100,"[-6.532665729522705, -1.136996865272522, -1.4099071025848389]","[-0.4744560122489929, -0.7259339690208435, 0.2832300066947937, 0.4095009863376617, -2.1528494358062744, -1.1701611280441284, -0.058063518255949]","[22.1875, -24.6875, -30.5]","[-0.2874033749103546, 2.269050121307373, 1.730022668838501]","[-25.25, -38.4375, 6.6875]","[-0.8687999844551086, -8.882999420166016, -3.116299867630005]","[-1.243913650512695, 0.6777287721633911, 1.478991985321045]","[-2.102499961853028, 9.030099868774414, 3.194799900054932]",,,carving_short,intermediate,blue,"[45.0, 1.5, 33.356292724609375, 16.701000213623047, 13.123430252075195, 3.304011583328247, 2372.143189000897, 6.6395045, 44.6007341]"
2024-03-20 15:04:52.200,"[-0.7734804153442383, 11.401734352111816, 7.271113872528076]","[-0.3846830129623413, -0.7491639852523804, 0.3654159903526306, 0.3965359926223755, -2.46472430229187, -1.0475118160247805, -0.5065122842788696]","[24.5625, -19.6875, -32.4375]","[-1.7033365964889526, 0.9250943064689636, 0.9505237340927124]","[-22.875, -33.4375, 4.75]","[2.810099840164185, 14.021599769592283, 7.011699676513672]","[-1.3148088455200195, 0.6790552735328674, 1.611933708190918]","[-3.820199966430664, 8.49429988861084, 3.069499969482422]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.300,"[12.603192329406738, 50.97518157958984, 9.678953170776367]","[-0.3668349981307983, -0.724045991897583, 0.449862003326416, 0.3725740015506744, -2.7086668014526367, -1.0479965209960938, -0.8590818047523499]","[23.75, -22.5, -31.125]","[0.2630385756492615, 0.330495536327362, -0.8204618096351624]","[-23.6875, -36.25, 6.0625]","[9.789299964904783, -7.888700008392334, -2.171799898147583]","[0.6548824310302734, -0.0088139129802584, 4.615226268768311]","[-4.444699764251709, 8.496699333190918, 2.0541999340057373]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.400,"[9.819368362426758, 25.463916778564453, 5.355340957641602]","[-0.3498390018939972, -0.7024750113487244, 0.4716449975967407, 0.4021080136299133, -2.643330335617065, -1.0568490028381348, -0.8876461982727051]","[25.375, -21.4375, -30.5625]","[-0.7496712803840637, 1.442270278930664, 0.7562162280082703]","[-22.0625, -35.1875, 6.625]","[17.38559913635254, -7.696300029754639, 8.689199447631836]","[0.602121114730835, -1.6003621816635132, 2.1078341007232666]","[-4.234899997711182, 8.53969955444336, 2.3039000034332275]",,,carving_short,intermediate,blue,
2024-03-20 15:04:52.500,"[-0.6573615670204163, -6.417092800140381, 6.595029830932617]","[-0.3121789991855621, -0.7210479974746704, 0.4929749965667724, 0.3736409842967987, -2.727642059326172, -0.9589404463768004, -0.9818973541259766]","[24.9375, -21.3125, -31.125]","[-1.0970790386199951, -0.9490053057670592, 1.5212987661361694]","[-22.5, -35.0625, 6.0625]","[-1.6486999988555908, -18.46179962158203, 1.097999930381775]","[-0.1695587337017059, -0.6250722408294678, -0.3440218567848205]","[-5.1570000648498535, 8.02750015258789, 2.2655999660491943]",,,carving_short,intermediate,blue,
