time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-02-25 15:53:43.900,"[2.446749687194824, 7.166123390197754, -4.800020217895508]","[0.7488359808921814, 0.5632079839706421, -0.3156220018863678, 0.149740993976593, 1.3170078992843628, -0.84651780128479, -2.076103925704956]","[7.8125, -41.5625, 23.9375]","[0.0034732052590698, 0.1088038235902786, -0.7043450474739075]","[-344.75, -53.125, -90.875]","[-0.4054999947547912, 2.206699848175049, 1.70989990234375]","[0.0226892810314893, -0.1740093231201172, -0.7099301218986511]","[1.6313999891281128, 7.344899654388428, -6.289599895477295]",left,START,skidded_short,intermediate,blue,
2024-02-25 15:53:44.000,"[2.088385581970215, 14.752045631408691, -4.19295597076416]","[0.7605080008506775, 0.5456290245056152, -0.3212850093841553, 0.1438419967889785, 1.2730491161346436, -0.8293341994285583, -2.1385915279388428]","[6.1875, -42.3125, 22.8125]","[0.2977880835533142, -0.3475125133991241, -0.5474050641059875]","[-346.5, -53.8125, -91.875]","[0.9989999532699584, 3.4570000171661377, -0.2386999875307083]","[0.3352079391479492, -0.3937462866306305, -0.481536328792572]","[1.9428999423980715, 7.232199668884277, -6.331599712371826]",,,skidded_short,intermediate,blue,
2024-02-25 15:53:44.100,"[1.890002012252808, 10.654101371765137, -6.469611644744873]","[0.7782089710235596, 0.5340369939804077, -0.3046970069408417, 0.1278820037841797, 1.1908557415008545, -0.8529958128929138, -2.218604803085327]","[4.3125, -43.8125, 19.3125]","[1.5143698453903198, 0.0302989166229963, -0.5810549855232239]","[-348.4375, -55.0, -94.8125]","[-1.283900022506714, -1.640199899673462, -2.44350004196167]","[1.408777356147766, 0.3207566142082214, -0.4272740483283996]","[2.3920998573303223, 7.386899948120117, -5.990099906921387]",,,skidded_short,intermediate,blue,"[0.0, 1.5, 17.95496940612793, 7.611999988555908, 2.2572365117239973e-18, 0.0, 681.20263671875, 18.8972774, 49.6403558]"
2024-02-25 15:53:44.200,"[1.664851188659668, 5.276370525360107, -3.1838860511779785]","[0.7959470152854919, 0.5288630127906799, -0.2890200018882751, 0.0569050014019012, 1.0867525339126587, -0.9424497485160828, -2.4017276763916016]","[1.25, -47.0, 12.5625]","[1.1431732177734375, 0.3495720028877258, -0.726510763168335]","[-351.3125, -58.3125, -101.5625]","[-0.4170999825000763, -1.4023000001907349, 0.6401000022888184]","[1.338405728340149, 0.1821774691343307, -0.8084714412689209]","[2.682499885559082, 7.933499813079834, -5.102200031280518]",,,skidded_short,intermediate,blue,
2024-02-25 15:53:44.300,"[-0.3804386556148529, 4.857011795043945, -3.247993230819702]","[-0.8138110041618347, -0.5152620077133179, 0.2686249911785126, 0.0074970000423491, 0.923475444316864, -1.002240777015686, -2.627797365188598]","[0.6875, -46.8125, 10.0625]","[-0.0329867228865623, 0.2694613933563232, -0.2133664935827255]","[-351.875, -58.5625, -104.5625]","[-1.1834999322891235, -3.438999891281128, -0.1814000010490417]","[-0.0254294462502002, 0.0839852467179298, -0.0882438495755195]","[3.1840999126434326, 8.263799667358398, -4.2118000984191895]",,,skidded_short,intermediate,blue,
2024-02-25 15:53:44.400,"[2.892597913742065, 12.224774360656738, -2.109693765640259]","[-0.8060110211372375, -0.5095959901809692, 0.300707995891571, 0.0152390003204345, 1.0022777318954468, -0.9802650213241576, -2.6106927394866943]","[1.4375, -46.0, 14.3125]","[-0.6246358752250671, 0.8218755125999451, 0.1349139511585235]","[-351.75, -57.5, -100.875]","[-0.4095999896526336, 6.230599880218506, 4.199299812316895]","[-0.7010464072227478, 0.8194495439529419, -0.0523947849869728]","[2.93969988822937, 8.14579963684082, -4.601399898529053]",,,skidded_short,intermediate,blue,
2024-02-25 15:53:44.500,"[0.9996079206466676, 13.555740356445312, -0.231643795967102]","[0.8055700063705444, 0.496876984834671, -0.3227500021457672, 0.0009009999921545, 1.051303744316101, -0.9272232055664062, -2.5748002529144287]","[0.125, -46.0, 11.5]","[0.9060178399086, 0.1070759519934654, -0.5319065451622009]","[-352.4375, -57.5, -102.75]","[-0.4793999791145324, 0.2062999904155731, -1.8937000036239624]","[1.018033146858215, -0.0832173004746437, -0.3756123185157776]","[2.9212000370025635, 7.844899654388428, -5.108200073242188]",,,skidded_short,intermediate,blue,
2024-02-25 15:53:44.600,"[1.177564263343811, 9.559051513671877, -3.434549331665039]","[-0.813435971736908, -0.4919709861278534, 0.3072249889373779, 0.0435529984533786, 0.94945627450943, -0.9739903807640076, -2.7171523571014404]","[-1.8125, -46.8125, 9.4375]","[0.3294832408428192, 0.1210734918713569, -0.4616919457912445]","[-354.5625, -58.4375, -105.1875]","[-0.0995000004768371, 1.812799930572509, 3.745699882507324]","[0.3054326176643371, 0.192858874797821, -0.338716059923172]","[3.208199977874756, 8.11139965057373, -4.481199741363525]",,,skidded_short,intermediate,blue,
2024-02-25 15:53:44.700,"[2.2967097759246826, 5.4435906410217285, -5.249497890472412]","[-0.81871497631073, -0.480659008026123, 0.305631011724472, 0.0725309997797012, 0.886873722076416, -0.9815880656242372, -2.8211376667022705]","[-4.25, -47.125, 7.0]","[0.1516691148281097, 0.4742757678031921, -0.4771904647350311]","[-357.1875, -58.6875, -107.6875]","[-3.158799886703491, 2.0555999279022217, 1.9390000104904173]","[0.1825090795755386, 0.5969724059104919, -0.6702238917350769]","[3.443199872970581, 8.152999877929688, -4.223899841308594]",,,skidded_short,intermediate,blue,
2024-02-25 15:53:44.800,"[1.1214057207107544, 6.7645583152771, -4.17003870010376]","[-0.8252279758453369, -0.4603630006313324, 0.3120039999485016, 0.0985710024833679, 0.8384162783622742, -0.9637174010276794, -2.9214298725128174]","[-4.1875, -46.9375, 8.0625]","[-0.4219682514667511, 0.8386132717132568, 0.2192482650279998]","[-357.375, -58.75, -106.875]","[-1.2105000019073486, -2.04289984703064, 1.9925999641418457]","[-0.3450341522693634, 0.7656061053276062, 0.1240230947732925]","[3.740599870681762, 8.054299354553223, -4.159899711608887]",,,skidded_short,intermediate,blue,
