time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE,bearingAccuracy_speedAccuracy_verticalAccuracy_horizontalAccuracy_speed_bearing_altitude_longitude_latitude
2024-02-25 16:11:00.600,"[3.4177517890930176, 6.591495990753174, -7.867806434631348]","[-0.8140860199928284, -0.335224986076355, 0.4558190107345581, 0.1308249980211258, 1.0682295560836792, -0.7275862097740173, -3.01727557182312]","[-3.9375, -42.8125, 18.0625]","[-0.0565835759043693, 0.2881363928318023, 0.4706454873085022]","[-357.375, -55.625, -96.6875]","[1.2286999225616455, 0.9994999766349792, 1.8282999992370603]","[-0.0978257060050964, 0.2760587334632873, 0.3941826224327087]","[3.5274999141693115, 6.52209997177124, -6.417799949645996]",left,START,snowplow,intermediate,blue,
2024-02-25 16:11:00.700,"[-1.4720605611801147, 6.102523326873779, -3.035962581634521]","[-0.8052409887313843, -0.3452839851379394, 0.4660559892654419, 0.1231089979410171, 1.1139488220214844, -0.7353206872940063, -2.9741766452789307]","[-2.3125, -43.5, 18.1875]","[0.206228107213974, 0.2351656556129455, 0.1065348982810974]","[-355.625, -56.25, -96.375]","[-0.3837999999523163, 1.0312999486923218, 0.3388999998569488]","[0.324317067861557, 0.0404741838574409, 0.2393544465303421]","[3.208099842071533, 6.578499794006348, -6.526899814605713]",,,snowplow,intermediate,blue,
2024-02-25 16:11:00.800,"[0.7712968587875366, 7.813659191131592, -4.048614025115967]","[-0.7970479726791382, -0.353312999010086, 0.4728929996490478, 0.1274929940700531, 1.142445683479309, -0.7529522776603699, -2.961188316345215]","[-2.8125, -44.0625, 17.5]","[-0.0303338225930929, 0.7542614936828613, -0.5775468945503235]","[-355.6875, -56.75, -97.375]","[-3.246799945831299, 0.6491999626159668, 1.5566999912261963]","[0.0200363788753747, 0.6834709048271179, -0.562816321849823]","[2.9721999168396, 6.705699920654297, -6.509099960327148]",,,snowplow,intermediate,blue,
2024-02-25 16:11:00.900,"[6.85970401763916, 7.841067790985107, -6.81994104385376]","[-0.7917500138282776, -0.3262329995632171, 0.49371999502182, 0.1514679938554763, 1.157375693321228, -0.7290419936180115, -3.031036376953125]","[-4.1875, -43.3125, 18.4375]","[-0.2328792810440063, 0.2058266848325729, -0.1327322870492935]","[-357.1875, -56.0625, -96.5]","[0.4056999981403351, -0.6193000078201294, -0.6277999877929688]","[-0.1436755061149597, 0.3044028878211975, -0.2778040468692779]","[2.938199996948242, 6.532700061798096, -6.697700023651123]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.000,"[-0.2623374760150909, 9.945120811462402, -5.518931865692139]","[-0.7864980101585388, -0.3112919926643371, 0.5104249715805054, 0.1548610031604766, 1.1872013807296753, -0.704628586769104, -3.044060707092285]","[-2.5, -42.9375, 18.875]","[0.2640683054924011, 0.0185528490692377, -0.0252374615520238]","[-355.5625, -55.8125, -95.75]","[-0.3443999886512756, 1.0614999532699585, -1.7603999376296997]","[0.2409776151180267, -0.0575784109532833, 0.1672723591327667]","[2.796099901199341, 6.352200031280518, -6.928199768066406]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.100,"[0.6371641159057617, 8.897887229919434, -5.145647048950195]","[-0.7841899991035461, -0.3203539848327636, 0.5069980025291443, 0.1592819988727569, 1.1860586404800415, -0.7260861992835999, -3.04109525680542]","[-3.125, -44.0, 17.1875]","[0.3921056687831878, 0.3547905385494232, -0.3938335478305816]","[-356.125, -56.5625, -97.25]","[-2.7423999309539795, -1.3429999351501465, 1.874099969863892]","[0.4838052690029144, 0.3451563119888305, -0.2869146764278412]","[2.75219988822937, 6.511099815368652, -6.797099590301514]",,,snowplow,intermediate,blue,"[45.0, 1.5, 21.773582458496094, 7.579999923706055, 1.242005467414856, 266.205078125, 636.6753355432302, 18.8951008, 49.6393717]"
2024-02-25 16:11:01.200,"[-2.1396117210388184, 3.7919747829437256, -8.196760177612305]","[-0.780780017375946, -0.3127590119838714, 0.5058479905128479, 0.1915230005979538, 1.15910542011261, -0.7507057785987854, -3.117872953414917]","[-5.6875, -44.4375, 15.875]","[0.2482905387878418, 0.5159193277359009, -0.5961346626281738]","[-358.5625, -57.1875, -98.9375]","[0.3176999986171722, 0.5378000140190125, 1.0306999683380127]","[0.3102148175239563, 0.3410896956920624, -0.477452278137207]","[2.8694000244140625, 6.689599990844727, -6.571499824523926]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.300,"[1.891361951828003, 6.639820098876953, -6.128131866455078]","[-0.7752270102500916, -0.2938829958438873, 0.511709988117218, 0.2254029959440231, 1.1402097940444946, -0.7564363479614258, 3.0745651721954346]","[-7.625, -44.3125, 14.75]","[0.2657612860202789, 0.6237108707427979, -0.8102691173553467]","[-360.4375, -57.0625, -100.0]","[-3.310400009155273, 5.566799640655518, 2.3917999267578125]","[0.1922305673360824, 0.603726863861084, -0.8252440094947815]","[2.976999998092652, 6.730599880218506, -6.481199741363525]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.400,"[2.657755374908448, 7.722631931304932, -6.24891471862793]","[-0.7641860246658325, -0.2653490006923675, 0.5250440239906311, 0.2644560039043426, 1.1355966329574585, -0.7522100210189819, 2.9687931537628174]","[-8.5, -44.375, 14.25]","[0.1383522450923919, 0.7964810132980347, -0.4494397342205047]","[-361.625, -57.125, -100.5625]","[-1.587000012397766, 1.8508999347686768, 0.3050999939441681]","[0.1203928142786026, 0.9042376279830932, -0.542203962802887]","[3.0188000202178955, 6.700399875640869, -6.493099689483643]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.500,"[3.214637279510498, 10.350152969360352, -3.463030815124512]","[-0.7442539930343628, -0.2399629950523376, 0.5470209717750549, 0.298781007528305, 1.1673367023468018, -0.753322184085846, 2.8891186714172363]","[-10.0625, -44.8125, 12.125]","[0.956632435321808, 0.825977087020874, 0.0993092358112335]","[-363.4375, -57.25, -102.25]","[-0.9351999759674072, -0.8733999729156494, 2.4108998775482178]","[0.9240121841430664, 0.9671916365623474, -0.1976410895586013]","[2.808300018310547, 6.708399772644043, -6.578799724578857]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.600,"[1.9145760536193848, 8.674192428588867, -4.589234352111816]","[-0.7181479930877686, -0.2342739999294281, 0.5551559925079346, 0.3481090068817138, 1.163232684135437, -0.8081297874450684, 2.7869973182678223]","[-11.1875, -44.75, 10.125]","[0.7821344137191772, 0.4790230691432953, -0.5754874348640442]","[-364.0, -57.5625, -104.375]","[-0.4298000037670135, -0.8628999590873718, 0.4438000023365021]","[0.7533538937568665, 0.524262011051178, -0.529864490032196]","[2.685299873352051, 7.090099811553955, -6.21999979019165]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.700,"[2.013178825378418, 6.015326499938965, -6.3196868896484375]","[-0.6956049799919128, -0.2190060019493103, 0.5576990246772766, 0.3964090049266815, 1.1328489780426023, -0.8432931303977966, 2.6613807678222656]","[-13.5625, -44.5, 7.4375]","[0.9868265986442566, 0.4452683925628662, -0.8274780511856079]","[-366.25, -57.1875, -107.0625]","[-1.9025999307632449, 2.4140000343322754, 1.5027999877929688]","[0.8885296583175659, 0.4742059707641601, -0.8190481066703796]","[2.7655999660491943, 7.323899745941162, -5.905900001525879]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.800,"[3.452678203582764, 11.507481575012209, 0.6893960237503052]","[-0.6694769859313965, -0.2067970037460327, 0.5496000051498413, 0.454943984746933, 1.0552873611450195, -0.8898321390151978, 2.489897012710572]","[-17.0, -44.0, 2.125]","[1.1985350847244265, 0.6735399961471558, -0.6713234186172485]","[-369.6875, -57.0, -112.125]","[-0.0524000003933906, -0.1074999943375587, -0.8949999809265137]","[1.4050250053405762, 0.4917116165161133, -0.7158642411231995]","[3.043399810791016, 7.6194000244140625, -5.371299743652344]",,,snowplow,intermediate,blue,
2024-02-25 16:11:01.900,"[0.8002475500106812, 8.336715698242188, -5.189451217651367]","[-0.6319379806518555, -0.1988810002803802, 0.543724000453949, 0.5152310132980347, 0.971235692501068, -0.9469676613807678, 2.3017523288726807]","[-18.875, -42.75, 1.9375]","[0.7497236132621765, 0.5155353546142578, -0.9864426255226136]","[-371.5, -55.5625, -112.75]","[-1.7711999416351318, 1.8960999250411987, -0.2915999889373779]","[0.5139645338058472, 0.8087157607078552, -0.7692189812660217]","[3.2323999404907227, 7.959499835968018, -4.729300022125244]",,,snowplow,intermediate,blue,
2024-02-25 16:11:02.000,"[3.63840126991272, 6.609615325927734, -5.363864421844482]","[-0.600180983543396, -0.1655880063772201, 0.5441550016403198, 0.5623679757118225, 0.9235410690307616, -0.9455112218856812, 2.134281635284424]","[-22.8125, -41.1875, 2.125]","[0.680835485458374, 1.127185940742493, -0.973754107952118]","[-375.3125, -53.9375, -112.4375]","[-2.196199893951416, 1.86519992351532, 2.48039984703064]","[0.5968676805496216, 1.3658597469329834, -0.9525657892227172]","[3.461199998855591, 7.951200008392334, -4.579099655151367]",,,snowplow,intermediate,blue,
2024-02-25 16:11:02.100,"[-0.4791084825992584, 9.014724731445312, -4.4011077880859375]","[-0.55343097448349, -0.1162170022726059, 0.5552160143852234, 0.6098700165748596, 0.9247783422470092, -0.9371187090873718, 1.968089818954468]","[-24.5625, -40.5625, 3.25]","[0.5380675792694092, 1.0767983198165894, -0.5006651282310486]","[-377.5625, -53.25, -111.5]","[-2.0736000537872314, 1.8645999431610107, 1.2924000024795532]","[0.3850545287132263, 1.276219606399536, -0.1705012172460556]","[3.4955999851226807, 7.902699947357178, -4.636499881744385]",,,snowplow,intermediate,blue,"[45.0, 1.5, 17.763418197631836, 7.796999931335449, 1.8446418046951287, 265.9955749511719, 636.3741424223408, 18.8950728, 49.6393643]"
2024-02-25 16:11:02.200,"[1.1329265832901, 5.655449390411377, -10.372879028320312]","[-0.5095769762992859, -0.072221003472805, 0.5766479969024658, 0.6345000267028809, 0.9914600253105164, -0.9363005757331848, 1.887099266052246]","[-26.375, -39.4375, 5.25]","[0.0849277228116989, 0.9365436434745787, -0.3135658502578735]","[-379.3125, -52.375, -109.5]","[-2.4175000190734863, 0.8298999667167664, -2.1569998264312744]","[0.1903456002473831, 0.8946208357810974, -0.606676459312439]","[3.1823999881744385, 7.8979997634887695, -4.864500045776367]",,,snowplow,intermediate,blue,
2024-02-25 16:11:02.300,"[1.5820022821426392, 7.389406681060791, -3.4536550045013428]","[-0.4746359884738922, -0.0403789989650249, 0.5833399891853333, 0.6578779816627502, 1.0074981451034546, -0.9371327757835388, 1.7941138744354248]","[-27.1875, -38.375, 6.0625]","[-0.1521577984094619, 0.5319414734840393, -0.2804744243621826]","[-380.3125, -51.25, -108.75]","[0.1159999966621398, 0.8445999622344971, -0.1410000026226043]","[-0.0818384885787963, 0.406731516122818, -0.2646093666553497]","[3.1004998683929443, 7.902799606323242, -4.90939998626709]",,,snowplow,intermediate,blue,
