time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-24 16:46:54.400,"[3.287123918533325, 8.977518081665039, 4.360358238220215]","[0.1012099981307983, -0.2252109944820404, 0.6049669981002808, 0.7569999694824219, -1.2257064580917358, -1.0558778047561646, -1.044116497039795]","[-28.625, -31.9375, -13.375]","[0.2394068092107772, 0.3136356770992279, 0.1804146915674209]","[-60.3125, -6.25, 43.9375]","[1.167699933052063, 0.8912000060081482, -2.268399953842163]","[0.249442458152771, 0.188862070441246, 0.1765051484107971]","[1.6270999908447266, 8.552499771118164, 4.514100074768066]",left,START,snowplow,beginner,blue
2024-02-24 16:46:54.500,"[4.566805839538574, 10.349300384521484, 3.3055787086486816]","[0.1334539949893951, -0.2047580033540725, 0.6111230254173279, 0.7528560161590576, -1.2261905670166016, -1.046195149421692, -1.1217328310012815]","[-28.75, -31.875, -13.3125]","[0.1612684279680252, 0.7383790016174316, 0.4072376787662506]","[-60.4375, -6.1875, 44.0]","[0.3522000014781952, -0.6171999573707581, -0.6159999966621399]","[0.460819274187088, 0.7888888120651245, 0.2738770544528961]","[1.6776999235153198, 8.482099533081055, 4.626899719238281]",,,snowplow,beginner,blue
2024-02-24 16:46:54.600,"[7.705019950866699, 10.473435401916504, 0.3891056478023529]","[0.1420589983463287, -0.1738680005073547, 0.6174240112304688, 0.7539070248603821, -1.1861945390701294, -1.07915997505188, -1.139811396598816]","[-28.8125, -33.6875, -9.6875]","[-0.3335498869419098, -0.2009921222925186, -0.1613033264875412]","[-60.5, -8.0, 47.625]","[-1.395799994468689, -0.8068000078201294, -2.967599868774414]","[-0.393938273191452, 1.0497632026672363, -0.0149749247357249]","[1.7978999614715576, 8.632499694824219, 4.291500091552734]",,,snowplow,beginner,blue
2024-02-24 16:46:54.700,"[3.4605791568756104, 9.55932903289795, 5.605257511138916]","[0.1384180039167404, -0.2003189921379089, 0.617805004119873, 0.7476819753646851, -1.249967098236084, -1.0519418716430664, -1.1593642234802246]","[-28.5, -33.6875, -11.5]","[0.2924473583698272, -0.8906764388084412, 0.0374896712601184]","[-60.1875, -8.0, 45.8125]","[0.4560000002384186, 1.4562000036239624, 3.569700002670288]","[0.1546361744403839, -0.4756022095680237, -0.024975661188364]","[1.5738999843597412, 8.517000198364258, 4.599100112915039]",,,snowplow,beginner,blue
2024-02-24 16:46:54.800,"[-0.1963341236114502, 8.80325984954834, 3.4984841346740723]","[0.1542360037565231, -0.1981430053710937, 0.6183649897575378, 0.7446969747543335, -1.2587566375732422, -1.0350100994110107, -1.1943548917770386]","[-28.1875, -33.6875, -12.125]","[0.3844436705112457, 0.3444058299064636, 0.1657015532255172]","[-59.875, -8.0, 45.1875]","[0.3440999984741211, 0.0324999988079071, 0.208199992775917]","[0.2751860618591308, -0.0232826918363571, 0.1746725440025329]","[1.5092999935150146, 8.460000038146973, 4.724400043487549]",,,snowplow,beginner,blue
2024-02-24 16:46:54.900,"[-0.2720866799354553, 6.712489128112793, 4.752480983734131]","[0.1812700033187866, -0.1805779933929443, 0.6161069869995117, 0.7449460029602051, -1.2282253503799438, -1.0206845998764038, -1.229242205619812]","[-28.8125, -33.6875, -11.875]","[-0.0475427694618701, 1.0575124025344849, 0.1397310644388198]","[-60.5, -8.0, 45.4375]","[0.1721999943256378, 3.766199827194214, -5.616299629211426]","[0.0990125313401222, 0.4869468510150909, 0.0981747731566429]","[1.690999984741211, 8.40369987487793, 4.763099670410156]",,,snowplow,beginner,blue
2024-02-24 16:46:55.000,"[2.620769739151001, 9.820612907409668, 3.5750699043273926]","[0.2016700059175491, -0.1762479990720749, 0.6128320097923279, 0.7434390187263489, -1.219306230545044, -0.9975019097328186, -1.2567899227142334]","[-27.875, -33.6875, -12.5]","[0.2958682179450989, 0.59554123878479, 0.0228463597595691]","[-59.5625, -8.0, 44.8125]","[0.9923999905586244, 0.1393999904394149, -2.080899953842163]","[0.2900388240814209, 0.5028817057609558, 0.302884429693222]","[1.812199950218201, 8.255000114440918, 4.973899841308594]",,,snowplow,beginner,blue
2024-02-24 16:46:55.100,"[3.449728488922119, 9.477131843566896, 3.144736051559448]","[0.2214549928903579, -0.1685709953308105, 0.6081740260124207, 0.7434139847755432, -1.197913408279419, -0.9783700704574584, -1.2761280536651611]","[-28.75, -32.625, -11.625]","[0.3203900754451751, 0.4089655578136444, -0.0745604634284973]","[-60.4375, -6.9375, 45.6875]","[0.373199999332428, -0.8560999631881714, -1.151600003242493]","[0.2057743221521377, 0.6512346863746643, 0.0704589411616325]","[1.9900999069213867, 8.152299880981445, 5.074299812316895]",,,snowplow,beginner,blue
2024-02-24 16:46:55.200,"[2.107338190078736, 8.111181259155273, 3.208143949508667]","[0.2487770020961761, -0.1564880013465881, 0.6006330251693726, 0.7435460090637207, -1.1632188558578491, -0.95330810546875, -1.3003201484680176]","[-29.0625, -32.8125, -11.375]","[0.2442239224910736, 0.5296201705932617, 0.0301592890173196]","[-60.75, -7.125, 45.9375]","[0.9566999673843384, 0.7572999596595764, -1.6668999195098877]","[0.2854136824607849, 0.5295329093933105, -0.0222704019397497]","[2.200899839401245, 8.019499778747559, 5.197299957275391]",,,snowplow,beginner,blue
2024-02-24 16:46:55.300,"[2.2591114044189453, 9.208971977233888, 2.4112770557403564]","[0.2733269929885864, -0.1427199989557266, 0.5939059853553772, 0.7430999875068665, -1.1291022300720217, -0.9350766539573668, -1.3238564729690552]","[-29.75, -32.875, -11.125]","[0.2406459897756576, 0.513423502445221, -0.0320093370974063]","[-61.4375, -7.1875, 46.1875]","[2.2725000381469727, 0.5748999714851379, 0.1096999943256378]","[0.3751759827136993, 0.3906221389770508, 0.1200088411569595]","[2.444399833679199, 7.897899627685547, 5.274099826812744]",,,snowplow,beginner,blue
2024-02-24 16:46:55.400,"[5.191376686096191, 11.192242622375488, 0.4586811661720276]","[0.3001100122928619, -0.1191309988498687, 0.5842220187187195, 0.7445970177650452, -1.070069670677185, -0.9248245358467102, -1.3407944440841677]","[-29.875, -33.5625, -9.8125]","[0.2755874991416931, 0.8459959626197815, 0.0816639587283134]","[-61.5625, -7.875, 47.5]","[-0.6794999837875366, -1.8717999458312988, -1.4580999612808228]","[0.2390577495098114, 0.6305874586105347, 0.0628318563103675]","[2.748699903488159, 7.844099998474121, 5.20419979095459]",,,snowplow,beginner,blue
2024-02-24 16:46:55.500,"[3.654978752136232, 9.607653617858888, 2.2638423442840576]","[0.3191930055618286, -0.1088579967617988, 0.5806450247764587, 0.7410230040550232, -1.0544917583465576, -0.9125222563743592, -1.3701316118240356]","[-30.25, -32.8125, -8.0625]","[0.4444131851196289, -0.030508354306221, 0.0236143041402101]","[-61.9375, -7.125, 49.25]","[1.2947999238967896, -1.025399923324585, 0.5422999858856201]","[0.2138901054859161, 0.1776221543550491, 0.0882089436054229]","[2.970999956130981, 7.762599945068359, 5.2042999267578125]",,,snowplow,beginner,blue
2024-02-24 16:46:55.600,"[4.887781620025635, 7.880850315093994, 4.250761032104492]","[0.3332490026950836, -0.1000619977712631, 0.5784980058670044, 0.7377470135688782, -1.0432580709457395, -0.9057354927062988, -1.393940567970276]","[-30.0625, -33.125, -8.25]","[0.2198591232299804, 0.2018996924161911, 0.1163261905312538]","[-61.75, -7.4375, 49.0625]","[0.460999995470047, -0.2419999986886978, -0.3016999959945678]","[0.2808758318424225, 0.6799628138542175, 0.0014137167017906]","[2.990799903869629, 7.714599609375, 5.263899803161621]",,,snowplow,beginner,blue
2024-02-24 16:46:55.700,"[1.2909727096557615, 9.039509773254396, 3.668290615081787]","[0.3604120016098022, -0.0918259993195533, 0.5678790211677551, 0.7342910170555115, -1.0147898197174072, -0.8753792643547058, -1.4216049909591677]","[-30.875, -32.9375, -8.3125]","[0.4374318718910217, 0.6550569534301758, 0.0098785636946558]","[-62.5625, -7.25, 49.0]","[-0.0142000000923872, 1.1251999139785769, -0.9477999806404114]","[0.3750014305114746, 0.8757712841033936, 0.0106639619916677]","[3.289599895477295, 7.592799663543701, 5.262700080871582]",,,snowplow,beginner,blue
2024-02-24 16:46:55.800,"[3.4642374515533447, 10.174006462097168, -1.0184359550476074]","[0.3915930092334747, -0.0691109970211982, 0.5499939918518066, 0.7344279885292053, -0.9440168738365172, -0.8537274599075317, -1.435990810394287]","[-30.6875, -32.9375, -7.3125]","[0.033126350492239, 0.9297369122505188, -0.1660680770874023]","[-62.375, -7.25, 50.0]","[-2.07699990272522, 2.16540002822876, -5.482800006866455]","[0.7955385446548462, 0.5880537629127502, 0.4367686510086059]","[3.704899787902832, 7.395999908447266, 5.2669997215271]",,,snowplow,beginner,blue
2024-02-24 16:46:55.900,"[-0.4464611411094665, 5.769776821136475, 4.661768913269043]","[0.4358440041542053, -0.0587689988315105, 0.5346680283546448, 0.7216060161590576, -0.917844831943512, -0.8043949007987976, -1.501039743423462]","[-31.8125, -31.9375, -6.5]","[0.934658706188202, 0.9600532650947572, 0.077702060341835]","[-63.5, -6.25, 50.8125]","[3.4921000003814697, 0.5270999670028687, -0.965399980545044]","[0.2643126547336578, 0.2726902365684509, 0.1992293298244476]","[4.068699836730957, 7.141599655151367, 5.348999977111816]",,,snowplow,beginner,blue
