time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-22 13:03:10.900,"[2.9286928176879883, 16.248010635375977, 3.267347812652588]","[0.1733050048351287, 0.4516629874706268, 0.5778599977493286, 0.6572979688644409, 1.761219501495361, -1.1585004329681396, 0.8243775963783264]","[-5.0, -23.375, 37.0625]","[1.769257664680481, 0.4209908545017242, -0.3955090641975403]","[-58.0, -44.3125, 71.8125]","[-4.415299892425537, 2.065000057220459, 10.348199844360352]","[1.685813546180725, 0.5911080837249756, -0.1286133080720901]","[-0.7918999791145325, 8.849699974060059, -4.150399684906006]",right,START,quick,advanced,blue
2024-03-22 13:03:11.000,"[-5.07355260848999, 9.91989517211914, 0.601959764957428]","[0.2314109951257705, 0.3614139854907989, 0.6393190026283264, 0.6380419731140137, 2.015125036239624, -1.3866616487503052, 1.146087884902954]","[-4.5, -29.5625, 32.0]","[3.2161006927490234, -1.116679072380066, -0.6457892656326294]","[-57.5, -50.5, 66.75]","[1.4484000205993652, -0.3538999855518341, 7.006099700927734]","[2.195379734039306, -0.541313886642456, 0.7197389006614685]","[-0.8894000053405762, 9.503499984741213, -2.2498998641967773]",,,quick,advanced,blue
2024-03-22 13:03:11.100,"[2.121665000915528, 6.604146957397461, 3.98210334777832]","[0.2660459876060486, 0.2513859868049621, 0.6862459778785706, 0.6285610198974609, -2.5177807807922363, -1.4865736961364746, 3.015532970428467]","[-7.8125, -36.9375, 22.0]","[1.8717957735061648, -1.3765411376953125, 0.3308446109294891]","[-60.8125, -57.875, 56.75]","[5.719299793243408, -4.495699882507324, -0.410099983215332]","[2.091794490814209, -1.0149089097976685, 0.4355294704437256]","[-0.6785999536514282, 9.781499862670898, 0.174699991941452]",,,quick,advanced,blue
2024-03-22 13:03:11.200,"[2.6701669692993164, 9.232990264892578, 0.8040399551391602]","[0.26910600066185, 0.1384090036153793, 0.7283080220222473, 0.6148099899291992, -1.991293668746948, -1.3253768682479858, -2.5804591178894043]","[-9.5, -40.3125, 12.6875]","[1.431187391281128, -1.339086413383484, -0.5057615041732788]","[-62.5, -61.25, 47.4375]","[-6.472300052642822, -1.6236999034881592, -3.657399892807007]","[2.131221532821656, -1.6909797191619873, 0.1908692121505737]","[-0.8923999667167664, 9.576899528503418, 1.9117999076843264]",,,quick,advanced,blue
2024-03-22 13:03:11.300,"[10.488862991333008, 14.23196792602539, -0.4520348608493805]","[0.2683529853820801, 0.0644460022449493, 0.7296599745750427, 0.6256420016288757, -1.8017162084579468, -1.2456388473510742, -2.2832958698272705]","[-11.75, -40.8125, 5.1875]","[0.6697526574134827, -0.7939153909683228, -0.440486192703247]","[-64.75, -61.75, 39.9375]","[-0.3685999810695648, 5.111799716949463, -1.8950999975204468]","[1.0777407884597778, -0.8738688826560974, -0.5298470258712769]","[-0.7493000030517578, 9.33329963684082, 2.914999961853028]",,,quick,advanced,blue
2024-03-22 13:03:11.400,"[7.96342134475708, 9.214688301086426, 1.103899359703064]","[0.2552179992198944, 0.0119350003078579, 0.7196559906005859, 0.6456120014190674, -1.6730009317398071, -1.2091882228851318, -2.059474229812622]","[-14.625, -39.5, 1.5]","[0.513353705406189, -1.0755068063735962, -0.6500827670097351]","[-67.625, -60.4375, 36.25]","[1.0397000312805176, 0.8854999542236328, -2.3155999183654785]","[0.4024554789066314, -0.6996327042579651, -0.9420763850212096]","[-0.3923999965190887, 9.19569969177246, 3.384500026702881]",,,quick,advanced,blue
2024-03-22 13:03:11.500,"[-6.454125881195068, 10.334112167358398, -2.0611777305603027]","[0.2280659973621368, -0.0633039996027946, 0.7258250117301941, 0.6458749771118164, -1.7190513610839844, -1.1401817798614502, -1.9581365585327148]","[-16.25, -39.0625, -2.75]","[0.8759458661079407, -1.5581949949264526, -0.967383623123169]","[-69.25, -60.0, 32.0]","[-1.1327999830245972, 0.7626999616622925, -1.9594999551773071]","[0.7300537824630737, -1.3788974285125732, 0.0123045714572072]","[-0.5831999778747559, 8.965399742126465, 3.9305999279022217]",,,quick,advanced,blue
2024-03-22 13:03:11.600,"[8.516864776611328, 7.649081707000732, 4.3387627601623535]","[0.1977840065956115, -0.136585995554924, 0.7056339979171753, 0.666562020778656, -1.6425490379333496, -1.0900901556015017, -1.7316871881484983]","[-18.5625, -37.625, -8.0625]","[0.8390670418739319, -0.8315970301628113, -0.5813342928886414]","[-71.5625, -58.5625, 26.6875]","[-9.179699897766112, 3.798299789428711, -6.796199798583984]","[0.282167375087738, -1.1386702060699463, -0.9262811541557312]","[-0.3816999793052673, 8.763899803161621, 4.383800029754639]",,,quick,advanced,blue
2024-03-22 13:03:11.700,"[-3.441837310791016, 2.7732038497924805, 2.734140157699585]","[0.1668419986963272, -0.2241619974374771, 0.67153000831604, 0.6862649917602539, -1.5753140449523926, -1.0101202726364136, -1.490933179855347]","[-21.5625, -35.0625, -12.4375]","[0.5068610906600952, -1.7132675647735596, -0.7456744909286499]","[-74.5625, -56.0, 22.3125]","[10.397699356079102, 7.077199935913086, -4.7465996742248535]","[0.9420938491821288, -1.004960536956787, -1.215185523033142]","[0.085499994456768, 8.387800216674805, 5.079999923706055]",,,quick,advanced,blue
2024-03-22 13:03:11.800,"[17.4864559173584, 15.898859024047852, 2.9987854957580566]","[0.1762979924678802, -0.2555769979953766, 0.6477320194244385, 0.695730984210968, -1.5190504789352417, -0.9461654424667358, -1.4011653661727903]","[-23.0, -32.6875, -17.5]","[0.0825889781117439, 1.0570062398910522, -0.6691592335700989]","[-76.0, -53.625, 17.25]","[-8.665999412536621, 7.696599960327148, -2.53629994392395]","[0.8831365704536438, -0.2860071063041687, -0.0196175016462802]","[0.1439999938011169, 8.003799438476562, 5.664599895477295]",right,STOP,quick,advanced,blue
