time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-25 13:05:14.600,"[0.6302496194839478, 5.671231746673584, -4.814586639404297]","[0.7105410099029541, 0.6599090099334717, -0.1235259994864463, 0.2106920033693313, 1.3569235801696775, -1.0880706310272217, -1.6576247215270996]","[16.5625, -39.5, 23.1875]","[0.1137605607509613, 0.4932300448417663, -0.9449735879898072]","[-339.75, -54.375, -93.4375]","[0.5733999609947205, -0.3307999968528747, 0.3687999844551086]","[0.1078438907861709, 0.4956386089324951, -0.9430886507034302]","[0.966099977493286, 8.685999870300293, -4.448400020599365]",left,START,skidded_short,intermediate,blue
2024-02-25 13:05:14.700,"[2.595353126525879, 11.389102935791016, -4.692692756652832]","[0.7361810207366943, 0.6338639855384827, -0.1420599967241287, 0.1899230033159256, 1.2369085550308228, -1.0744247436523438, -1.834833025932312]","[12.3125, -41.875, 21.875]","[-0.2179392576217651, 0.2912431061267853, -0.4358261525630951]","[-341.875, -55.5625, -93.125]","[0.067900002002716, -0.0618999972939491, -0.1673000007867813]","[-0.2238733768463134, 0.2936342060565948, -0.4339412152767181]","[1.5304999351501465, 8.623099327087402, -4.412300109863281]",,,skidded_short,intermediate,blue
2024-02-25 13:05:14.800,"[1.3867790699005127, 6.3851823806762695, -4.59857177734375]","[0.7484229803085327, 0.6174399852752686, -0.1581660062074661, 0.18333600461483, 1.186121106147766, -1.0475820302963257, -1.9186114072799685]","[10.75, -41.75, 22.1875]","[0.0138928210362792, 0.3979001641273498, -0.5793271660804749]","[-343.5, -55.375, -92.75]","[1.7405999898910522, 2.43969988822937, 3.3945000171661377]","[0.0079761547967791, 0.4003087282180786, -0.5774421691894531]","[1.8386999368667605, 8.494699478149414, -4.541899681091309]",,,skidded_short,intermediate,blue
2024-02-25 13:05:14.900,"[0.6992601156234741, 7.999957084655762, -4.490516662597656]","[0.7648370265960693, 0.5973049998283386, -0.1706340014934539, 0.1706860065460205, 1.114466428756714, -1.0263850688934326, -2.0270450115203857]","[8.6875, -42.125, 22.0625]","[-0.3855083286762237, 0.5723981857299805, -0.700522780418396]","[-345.6875, -55.75, -92.9375]","[-0.8258999586105347, -2.485299825668335, 0.1658999919891357]","[-0.3914249837398529, 0.5748067498207092, -0.6986553072929382]","[2.23799991607666, 8.388899803161621, -4.559299945831299]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.000,"[7.113202095031738, 4.338628768920898, -7.572620391845703]","[0.7777760028839111, 0.570963978767395, -0.2061299979686737, 0.1630170047283172, 1.0920767784118652, -0.9630881547927856, -2.1134233474731445]","[6.8125, -42.8125, 21.625]","[0.3263241946697235, 0.6042155027389526, -0.6640453934669495]","[-347.3125, -56.3125, -93.0625]","[-2.9911999702453613, -4.991099834442139, -0.6589999794960022]","[0.3203900754451751, 0.6066240668296814, -0.6621604561805725]","[2.5792999267578125, 8.050799369812012, -4.96999979019165]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.100,"[3.3084611892700195, 7.681201934814453, -11.182798385620115]","[0.7885680198669434, 0.5485929846763611, -0.2423599958419799, 0.1358889937400818, 1.084893822669983, -0.926192045211792, -2.215607166290283]","[6.1875, -42.625, 22.625]","[-0.5109800696372986, 0.8278096318244934, -0.5591336488723755]","[-348.25, -56.1875, -92.3125]","[3.4458999633789062, 5.704099655151367, 6.7403998374938965]","[-0.5168967247009277, 0.8302181959152222, -0.5572661757469177]","[2.7517998218536377, 7.838799953460693, -5.2104997634887695]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.200,"[0.3379559218883514, 11.744211196899414, -3.632501840591431]","[0.7921130061149597, 0.5263429880142212, -0.2839280068874359, 0.122079998254776, 1.1133415699005127, -0.8703001141548157, -2.272536516189575]","[4.4375, -43.0625, 21.3125]","[0.3052231669425964, -0.0733387321233749, -0.3063401877880096]","[-349.875, -56.75, -93.5]","[-4.5864996910095215, 1.1715999841690063, 2.3762998580932617]","[0.2993065118789673, -0.0709301829338073, -0.3044552206993103]","[2.791899919509888, 7.497399806976318, -5.671299934387207]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.300,"[3.354889392852783, 12.153983116149902, -4.641744136810303]","[0.8080130219459534, 0.5091990232467651, -0.2793149948120117, 0.0990590006113052, 1.0383473634719849, -0.8749970197677612, -2.375244617462158]","[3.0, -42.9375, 21.5625]","[-0.1965764313936233, 0.1354724615812301, -0.3094643354415893]","[-351.25, -56.4375, -93.375]","[0.711899995803833, 0.8281999826431274, 1.3558999300003052]","[-0.2025105506181717, 0.1378810107707977, -0.30757936835289]","[3.190999984741211, 7.526999950408935, -5.415800094604492]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.400,"[-6.855288982391357, 3.308288812637329, -2.3590166568756104]","[0.8167920112609863, 0.4904209971427917, -0.2895050048828125, 0.0923170000314712, 1.0132521390914917, -0.8445786833763123, -2.427769422531128]","[-1.875, -43.4375, 20.5625]","[0.7638782262802124, 0.9853779673576356, -2.1650633811950684]","[-355.6875, -56.9375, -94.1875]","[-2.9944000244140625, 6.563600063323975, 1.4462999105453491]","[0.7579615712165833, 0.9877865314483644, -2.1631784439086914]","[3.445499897003174, 7.332299709320068, -5.525799751281738]",,,skidded_short,intermediate,blue
2024-02-25 13:05:15.500,"[0.2809260487556457, 7.357649803161621, -6.749168395996094]","[0.846917986869812, 0.4233089983463287, -0.3213100135326385, 0.0172680001705884, 0.909234583377838, -0.783720076084137, -2.7022364139556885]","[-7.3125, -43.0, 19.5625]","[0.2531251013278961, 1.7006313800811768, -1.9212061166763303]","[-361.125, -56.75, -95.5]","[-7.120899677276611, -2.4312000274658203, 0.871399998664856]","[0.2472084313631057, 1.7030398845672607, -1.919321060180664]","[4.267199993133545, 6.922699928283691, -5.480599880218506]",,,skidded_short,intermediate,blue
