time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-24 17:09:10.500,"[1.1877347230911257, 12.755674362182615, 1.9078818559646609]","[0.4147079885005951, 0.0689560025930404, 0.611627995967865, 0.6702029705047607, -1.0421682596206665, -1.06963050365448, -1.763778805732727]","[-28.1875, -36.9375, -5.125]","[-0.3826983571052551, -1.244629144668579, -0.7676656246185303]","[-61.0, -9.3125, 52.1875]","[-1.163699984550476, -0.468999981880188, -0.0977999940514564]","[-0.350078135728836, -1.2581554651260376, -0.8863305449485779]","[2.360100030899048, 8.618399620056152, 4.04010009765625]",right,START,snowplow,beginner,blue
2024-02-24 17:09:10.600,"[2.238741397857666, 6.831778049468994, 2.2769336700439453]","[0.3560050129890442, 0.0152949998155236, 0.6064019799232483, 0.7108460068702698, -0.9985939860343932, -1.0613343715667725, -1.5480878353118896]","[-31.125, -33.5625, -7.8125]","[-0.2710496187210083, -1.6853772401809692, -0.9725323915481568]","[-63.9375, -5.9375, 49.5]","[-1.1694999933242798, -4.635299682617188, 1.9742999076843264]","[-0.3914598822593689, -1.4389017820358276, -0.6300114989280701]","[2.5227999687194824, 8.58739948272705, 4.007699966430664]",,,snowplow,beginner,blue
2024-02-24 17:09:10.700,"[6.497786521911621, 13.82713794708252, 0.9788262844085692]","[0.3086349964141845, -0.0328699983656406, 0.6013500094413757, 0.7362340092658997, -0.9913136959075928, -1.0455071926116943, -1.3979487419128418]","[-31.5625, -32.3125, -9.5]","[-0.2020393162965774, -1.2773367166519165, -0.7392865419387817]","[-64.375, -4.6875, 47.8125]","[-2.988499879837036, 0.0850999951362609, -0.0544999986886978]","[-1.2973730564117432, -0.2406809031963348, -0.2324604094028473]","[2.7040998935699463, 8.485799789428711, 4.104599952697754]",,,snowplow,beginner,blue
2024-02-24 17:09:10.800,"[2.15146803855896, 13.341937065124512, 5.528700351715088]","[0.2744880020618438, -0.0541709996759891, 0.6045780181884766, 0.7457919716835022, -1.0032484531402588, -1.059355616569519, -1.3267041444778442]","[-30.6875, -32.375, -10.8125]","[-0.4908214807510376, -0.8935911059379578, -0.3269699811935425]","[-63.5, -4.75, 46.5]","[1.423799991607666, 10.454899787902832, -5.238800048828125]","[-0.3966958820819855, 0.0306130740791559, 0.0859923735260963]","[2.6457998752593994, 8.579699516296387, 3.944299936294556]",,,snowplow,beginner,blue
2024-02-24 17:09:10.900,"[1.65401029586792, 9.560803413391112, 4.215413570404053]","[0.2530519962310791, -0.073293998837471, 0.6127690076828003, 0.7450540065765381, -1.0540608167648315, -1.0675004720687866, -1.3173035383224487]","[-30.5625, -32.5, -11.25]","[-0.3448247015476227, -0.1297652274370193, 0.1637293398380279]","[-63.375, -4.875, 46.0625]","[-5.206099987030029, -2.750200033187866, 1.1727999448776243]","[0.0965516120195388, -0.3825238049030304, -0.0854862257838249]","[2.3622000217437744, 8.634200096130371, 4.005000114440918]",,,snowplow,beginner,blue
2024-02-24 17:09:11.000,"[2.8897438049316406, 7.238207817077637, 10.64306926727295]","[0.2454829961061477, -0.0738829970359802, 0.6186270117759705, 0.742684006690979, -1.074893832206726, -1.0813956260681152, -1.3256808519363403]","[-30.0, -32.75, -11.625]","[0.0450120419263839, 0.096062920987606, 0.3487167954444885]","[-62.8125, -5.125, 45.6875]","[-4.837100028991699, 1.972599983215332, 0.1004999950528144]","[-1.0502867698669434, -0.7343472838401794, -0.3920358419418335]","[2.24810004234314, 8.667499542236328, 3.998600006103516]",,,snowplow,beginner,blue
2024-02-24 17:09:11.100,"[1.4377946853637695, 4.930810451507568, 6.754598617553711]","[0.2051890045404434, -0.0730310007929802, 0.6250860095024109, 0.7495530247688293, -1.0542833805084229, -1.1363420486450195, -1.24597430229187]","[-29.1875, -34.4375, -11.625]","[-0.9425650835037231, -0.4086688458919525, 0.1081056967377662]","[-62.0, -6.8125, 45.6875]","[1.5246999263763428, 7.130399703979492, -2.9719998836517334]","[-0.5999569296836853, -0.527665376663208, 0.0014311700360849]","[2.093899965286255, 8.854399681091309, 3.658499956130981]",,,snowplow,beginner,blue
2024-02-24 17:09:11.200,"[1.0044729709625244, 4.40497636795044, 3.5698790550231934]","[0.196054995059967, -0.0828009992837905, 0.6348379850387573, 0.7427549958229065, -1.119515895843506, -1.1447118520736694, -1.2835696935653689]","[-28.0625, -34.0, -12.5]","[-0.3871489465236664, -0.0325154848396778, -0.005846852902323]","[-60.875, -6.375, 44.8125]","[0.2909999787807464, -1.9776999950408936, -1.2178000211715698]","[0.9212022423744202, -1.0941643714904783, -0.2325302213430404]","[1.807500004768372, 8.92080020904541, 3.649899959564209]",,,snowplow,beginner,blue
2024-02-24 17:09:11.300,"[-0.2221436202526092, 5.385977268218994, 2.8296592235565186]","[0.2007910013198852, -0.0942479968070983, 0.6345719695091248, 0.7403489947319031, -1.1492125988006592, -1.1238269805908203, -1.3038837909698486]","[-28.4375, -33.1875, -12.625]","[0.9268047213554382, 0.0685216262936592, -0.0132470494136214]","[-61.25, -5.5625, 44.6875]","[5.277199745178223, 5.885599613189697, 3.926299810409546]","[-0.1346696019172668, -0.6447420716285706, -0.3424161374568939]","[1.6755999326705933, 8.814399719238281, 3.958199977874756]",,,snowplow,beginner,blue
2024-02-24 17:09:11.400,"[-1.3663707971572876, 3.478822946548462, 5.107607841491699]","[0.1969249993562698, -0.0887179970741272, 0.6261069774627686, 0.7492250204086304, -1.085318684577942, -1.1272802352905271, -1.2423489093780518]","[-29.25, -32.5625, -12.6875]","[-0.340950071811676, -0.4471358954906463, -0.6470982432365417]","[-62.0625, -4.9375, 44.625]","[1.702899932861328, 2.735999822616577, 0.0837999954819679]","[0.3101275563240051, -0.7258824110031128, -0.2489712238311767]","[1.905900001525879, 8.81619930267334, 3.848599910736084]",,,snowplow,beginner,blue
