time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-03-20 14:00:02.200,"[-1.6265344619750977, 11.079302787780762, 3.5648610591888428]","[-0.7548120021820068, -0.6264849901199341, -0.1458120048046112, 0.1284990012645721, -1.145754337310791, -1.1391624212265017, 2.020895004272461]","[15.3125, -41.0, -8.5625]","[-0.1208815053105354, 0.207362562417984, -0.651129961013794]","[-34.1875, -54.875, 27.5]","[-2.152600049972534, 4.243400096893311, 3.274099826812744]","[-0.3051882684230804, 0.0953473374247551, -0.4791277945041656]","[1.6916999816894531, 8.90719985961914, 3.737499952316284]",right,START,carving_short,intermediate,blue
2024-03-20 14:00:02.300,"[0.6669096946716309, 8.093694686889648, 2.455617666244507]","[-0.76739901304245, -0.6136929988861084, -0.1334719955921173, 0.1290870010852813, -1.0443421602249146, -1.137140870094299, 2.1035945415496826]","[13.75, -41.8125, -7.4375]","[-0.1441292911767959, -0.3454181253910064, -0.3849149048328399]","[-35.75, -55.6875, 28.625]","[2.224799871444702, -0.602400004863739, -2.2779998779296875]","[0.0161792021244764, -0.1919862180948257, -0.1314232945442199]","[2.0703999996185303, 8.898900032043457, 3.562699794769287]",,,carving_short,intermediate,blue
2024-03-20 14:00:02.400,"[-0.3143395483493805, 9.183832168579102, 2.3283610343933105]","[-0.7712370157241821, -0.6072679758071899, -0.1521099954843521, 0.1152390018105506, -1.0473816394805908, -1.123539924621582, 2.147686243057251]","[13.4375, -41.9375, -7.9375]","[0.1846383810043335, 0.0542797408998012, -0.3031113445758819]","[-36.0625, -55.8125, 28.125]","[-1.3941999673843384, 2.6512999534606934, -0.6136999726295471]","[0.0550651364028453, 0.0709127262234687, -0.3283487856388092]","[2.1198999881744385, 8.842000007629395, 3.6733999252319336]",,,carving_short,intermediate,blue
2024-03-20 14:00:02.500,"[-1.6743801832199097, 10.92771053314209, 4.216188907623291]","[-0.7734889984130859, -0.6013540029525757, -0.1534589976072311, 0.1285959929227829, -1.0409252643585205, -1.0991313457489014, 2.136826276779175]","[12.1875, -42.5, -8.1875]","[-0.8938005566596985, 0.2318320870399475, -1.043427586555481]","[-37.3125, -56.375, 27.875]","[-1.16349995136261, 2.875099897384644, -0.3437999784946441]","[-0.269443929195404, 0.3534989953041076, -0.4050036370754242]","[2.251999855041504, 8.735899925231934, 3.8447999954223633]",,,carving_short,intermediate,blue
2024-03-20 14:00:02.600,"[-5.016800880432129, 14.982818603515623, -0.593532145023346]","[-0.7924439907073975, -0.5799030065536499, -0.1463200002908706, 0.1197220012545585, -0.9161017537117004, -1.0844488143920898, 2.2642416954040527]","[10.75, -42.5, -7.125]","[-0.1831723004579544, 0.0345749706029892, -1.6759175062179563]","[-38.75, -56.375, 28.9375]","[0.3176999986171722, 4.853799819946289, -3.822199821472168]","[-0.3897843658924103, 0.2741912305355072, -0.4087735712528229]","[2.79099988937378, 8.669499397277832, 3.635799884796143]",,,carving_short,intermediate,blue
2024-03-20 14:00:02.700,"[0.9835571646690368, 13.617241859436035, 1.2130845785140991]","[-0.8063499927520752, -0.5610859990119934, -0.1564079970121383, 0.1025519967079162, -0.8519155383110046, -1.0608760118484497, 2.3684003353118896]","[8.75, -43.125, -7.4375]","[0.2060884833335876, -0.3088360130786896, -0.8383165597915649]","[-40.75, -57.0, 28.625]","[1.093999981880188, 0.1589999943971634, 1.2519999742507937]","[-0.026947883889079, -0.057944931089878, 0.237818568944931]","[3.1521999835968018, 8.559000015258789, 3.602099895477295]",,,carving_short,intermediate,blue
2024-03-20 14:00:02.800,"[1.340829610824585, 11.906240463256836, 3.2230167388916016]","[-0.8058469891548157, -0.5545729994773865, -0.1823900043964386, 0.0989509969949722, -0.9030435085296632, -1.0307923555374146, 2.361056566238404]","[7.8125, -43.5625, -7.8125]","[0.0814021527767181, -0.0004188790335319, -0.3915471732616424]","[-41.6875, -57.4375, 28.25]","[-2.7689998149871826, 2.072000026702881, 3.974499940872192]","[-0.0700575187802314, -0.030072022229433, -0.0752411410212516]","[3.121999979019165, 8.411199569702148, 3.9589998722076416]",,,carving_short,intermediate,blue
2024-03-20 14:00:02.900,"[0.7817738652229309, 9.365466117858888, 2.385582447052002]","[-0.8148419857025146, -0.5423539876937866, -0.1788800060749054, 0.0994260013103485, -0.8544352054595947, -1.0127570629119873, 2.404106616973877]","[6.0, -43.75, -8.0625]","[-0.0052883476018905, -0.1935046464204788, -0.6373767852783203]","[-43.5, -57.625, 28.0]","[-0.2324000000953674, 0.1833999902009964, 0.0551999993622303]","[-0.1020494028925895, 0.0600742325186729, -0.3077713549137115]","[3.409799814224243, 8.318900108337402, 3.916399955749512]",,,carving_short,intermediate,blue
2024-03-20 14:00:03.000,"[1.723528265953064, 8.765019416809082, 3.798257350921631]","[-0.8246020078659058, -0.5251049995422363, -0.1919849961996078, 0.0862379968166351, -0.8267776966094971, -0.9843137264251708, 2.471189260482788]","[3.9375, -43.875, -7.75]","[-0.0776496976613998, -0.5655564665794373, -0.0871268361806869]","[-45.5625, -57.75, 28.3125]","[-2.8910999298095703, 1.020900011062622, -0.5313999652862549]","[-0.0666890293359756, -0.5218185186386108, -0.3802723288536072]","[3.675599813461304, 8.167799949645996, 3.9930999279022217]",,,carving_short,intermediate,blue
2024-03-20 14:00:03.100,"[-1.984457969665528, 9.751296043395996, 4.067681789398193]","[-0.8312259912490845, -0.512857973575592, -0.2050949931144714, 0.0630429983139038, -0.8052576184272766, -0.9732919335365297, 2.5469231605529785]","[2.75, -44.0, -6.5]","[-0.5721712708473206, -0.3835361003875732, -0.3532895445823669]","[-46.75, -57.875, 29.5625]","[-2.9303998947143555, 1.355799913406372, 1.052899956703186]","[-0.4779584109783172, -0.3032684028148651, -0.3515267670154571]","[3.822799921035767, 8.107500076293945, 3.977799892425537]",,,carving_short,intermediate,blue
