time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status,STYLE,SKIER_LEVEL,SLOPE
2024-02-25 16:11:41.900,"[3.220641851425171, 10.374086380004885, -5.231637001037598]","[0.73956698179245, 0.6227279901504517, -0.1989910006523132, 0.1601590067148208, 1.2847672700881958, -1.0301141738891602, -1.913811564445496]","[13.4375, -39.5625, 21.75]","[-0.0489739403128623, -0.0049218283966183, -0.0346971452236175]","[-339.9375, -52.8125, -92.9375]","[3.8420000076293945, 1.3694000244140625, 3.783399820327759]","[-0.1718102097511291, -0.106011301279068, 0.0434412434697151]","[1.4240999221801758, 8.40779972076416, -4.842599868774414]",left,START,skidded_short,intermediate,blue
2024-02-25 16:11:42.000,"[0.3833691477775574, 9.748595237731934, -4.8195085525512695]","[0.7432050108909607, 0.6197779774665833, -0.1902440041303634, 0.1653109937906265, 1.2549614906311035, -1.0320359468460083, -1.9232090711593628]","[12.625, -40.5, 21.0625]","[0.1504997462034225, 0.2635447084903717, -0.7622376680374146]","[-340.75, -53.6875, -93.75]","[0.2022999972105026, -3.680799961090088, -1.7582999467849731]","[0.1742711216211319, 0.4968254268169403, -0.4472406208515167]","[1.5627999305725098, 8.417399406433105, -4.782599925994873]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.100,"[3.5181548595428467, 10.715949058532717, -4.411910057067871]","[0.7603070139884949, 0.5997220277786255, -0.2090809941291809, 0.1361989974975586, 1.1890019178390503, -1.025536298751831, -2.059659481048584]","[9.375, -40.8125, 20.8125]","[-0.498850017786026, 0.2149198502302169, -1.1808199882507324]","[-343.5, -54.25, -94.375]","[-1.6006999015808103, -2.451599836349488, 0.1303000003099441]","[-0.3971322178840637, 0.5338089466094971, -1.135162115097046]","[1.8948999643325808, 8.384599685668945, -4.719799995422363]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.200,"[3.646886348724365, 7.349586486816406, -4.895596504211426]","[0.7834349870681763, 0.5584489703178406, -0.2417559921741485, 0.1261589974164962, 1.1078815460205078, -0.951035737991333, -2.205570697784424]","[7.0, -40.125, 23.0]","[-0.4026998281478882, 0.1979901492595672, -0.4047593176364898]","[-346.3125, -53.6875, -91.9375]","[0.3296999931335449, -3.0401999950408936, 0.3696999847888946]","[-0.4134161472320556, 0.2169269770383834, -0.4254414439201355]","[2.543599843978882, 7.982800006866455, -5.09660005569458]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.300,"[1.4783812761306765, 9.389599800109863, -7.160645484924316]","[0.7898799777030945, 0.5370820164680481, -0.2643080055713653, 0.1333139985799789, 1.102883219718933, -0.89145827293396, -2.235502958297729]","[7.1875, -39.75, 23.875]","[0.0112050138413906, 0.6007423400878906, -0.0834092870354652]","[-346.5, -52.9375, -90.8125]","[0.3102000057697296, 1.8535000085830688, -1.1007999181747437]","[0.0480140075087547, 0.2078512609004974, -0.0990474373102188]","[2.7788000106811523, 7.62939977645874, -5.499000072479248]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.400,"[4.43438720703125, 5.536007404327393, -5.342804908752441]","[0.7848449945449829, 0.5380859971046448, -0.2795960009098053, 0.1276919990777969, 1.14039945602417, -0.8839094042778015, -2.229832410812378]","[6.25, -40.375, 23.1875]","[0.4917814135551452, 0.0049218283966183, -0.2746275663375854]","[-346.875, -53.6875, -91.625]","[-1.6138999462127686, 0.9979999661445618, 0.3656999766826629]","[0.5143136382102966, -0.056025069206953, -0.1189267337322235]","[2.594599962234497, 7.582699775695801, -5.6514997482299805]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.500,"[2.1731209754943848, 9.37888240814209, -5.968601226806641]","[0.7848820090293884, 0.543940007686615, -0.2771219909191131, 0.1062590032815933, 1.137585997581482, -0.9189483523368835, -2.259762525558472]","[7.8125, -41.3125, 21.1875]","[0.3487691283226013, 0.0492182858288288, 0.1388234943151474]","[-345.75, -54.5625, -93.4375]","[0.0816999971866607, 1.0299999713897705, -0.3861999809741974]","[0.3227113783359527, 0.1538158655166626, 0.1093448773026466]","[2.497299909591675, 7.795899868011475, -5.399600028991699]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.600,"[3.335601806640625, 6.47623872756958, -3.1936542987823486]","[0.7840740084648132, 0.5522990226745605, -0.2688379883766174, 0.088979996740818, 1.129786491394043, -0.9583501219749452, -2.2793643474578857]","[7.1875, -42.6875, 19.625]","[0.4107283353805542, 0.281748503446579, -0.5148895978927612]","[-346.125, -55.8125, -95.4375]","[0.0844999998807907, 0.8702999949455261, 1.1852999925613403]","[0.5390973091125488, 0.0306828878819942, -0.5227435827255249]","[2.406299829483032, 8.024199485778809, -5.098099708557129]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.700,"[0.9672000408172609, 7.973697185516357, -4.374311923980713]","[0.7952550053596497, 0.5435789823532104, -0.2611869871616363, 0.0622260011732578, 1.0570247173309326, -0.98281592130661, -2.379621982574463]","[5.9375, -43.0, 17.0625]","[0.6316171884536743, 0.1971000283956527, -0.7236135005950928]","[-347.1875, -56.0, -97.5]","[-1.2905999422073364, -1.216599941253662, -0.3816999793052673]","[0.5543863773345947, 0.2672273516654968, -0.57955402135849]","[2.67330002784729, 8.159699440002441, -4.737299919128418]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.800,"[1.2557971477508545, 9.250629425048828, -2.6225318908691406]","[0.8084070086479187, 0.5259490013122559, -0.2634640038013458, 0.0209749992936849, 0.9686543345451356, -0.9960116744041444, -2.5324630737304688]","[4.375, -44.1875, 14.5]","[0.0643328353762626, 0.6644642949104309, -0.6012484431266785]","[-349.0625, -57.3125, -100.3125]","[-1.283900022506714, -2.346799850463867, 0.9613999724388124]","[0.1725432425737381, 0.5523094534873962, -0.5829050540924072]","[3.019699811935425, 8.230799674987793, -4.393700122833252]",,,skidded_short,intermediate,blue
2024-02-25 16:11:42.900,"[1.889743447303772, 8.485098838806152, -3.563673257827759]","[-0.8162239789962769, -0.504381000995636, 0.2816709876060486, 0.006082999985665, 0.9382967948913574, -0.97339928150177, -2.632374048233032]","[1.5, -44.3125, 13.9375]","[0.362312912940979, 0.2947162985801697, -0.7865501046180725]","[-351.6875, -57.4375, -100.8125]","[-1.5250999927520752, 0.4529999792575836, 0.1634999960660934]","[0.350758820772171, 0.1988104581832885, -0.7795861959457397]","[3.260900020599365, 8.108099937438965, -4.448999881744385]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.000,"[1.7483417987823486, 7.087708473205566, -3.92192268371582]","[-0.8299070000648499, -0.4577949941158294, 0.313167005777359, 0.0600249990820884, 0.8794535398483276, -0.9230575561523438, -2.8263051509857178]","[-0.1875, -44.6875, 13.0]","[0.0959756523370742, 0.6075491309165955, -0.438967764377594]","[-353.5, -58.125, -101.75]","[-2.527099847793579, -1.5733999013900757, -0.6486999988555908]","[0.1013512685894966, 0.5499183535575867, -0.4753055274486542]","[3.772599935531616, 7.820299625396728, -4.558499813079834]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.100,"[2.1479434967041016, 10.79694938659668, -1.3684778213500977]","[-0.8252059817314148, -0.4348919987678528, 0.3518489897251129, 0.0781299993395805, 0.9404188990592957, -0.8831323981285095, -2.8588454723358154]","[-1.0625, -44.625, 13.8125]","[-0.1861568242311477, 1.013530135154724, -0.3799058198928833]","[-354.5625, -57.9375, -101.4375]","[-0.9526000022888184, 1.2675999402999878, 2.282299995422364]","[-0.060021873563528, 0.8785638213157654, -0.4076740145683288]","[3.6689999103546143, 7.577899932861328, -5.028199672698975]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.200,"[3.861732482910156, 8.397538185119629, -5.696505069732666]","[-0.825767993927002, -0.4242779910564422, 0.3626829981803894, 0.0809630006551742, 0.9528916478157043, -0.862449049949646, -2.870771884918213]","[-2.1875, -44.1875, 14.75]","[-0.0484852455556392, 0.0293215308338403, -0.1404815465211868]","[-355.375, -57.4375, -100.1875]","[-2.882099866867065, 2.3295998573303223, 2.6798999309539795]","[-0.2300343960523605, 0.1516691148281097, -0.2401747554540634]","[3.69599986076355, 7.447499752044678, -5.200299739837647]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.300,"[1.1916323900222778, 9.94526481628418, -3.623365640640259]","[-0.8273379802703857, -0.4199320077896118, 0.3543530106544494, 0.1166239976882934, 0.8892642855644226, -0.8906863331794739, -2.974433183670044]","[-2.8125, -45.0, 13.375]","[0.6668030619621277, 0.2676287889480591, -0.4990594387054443]","[-356.0, -58.375, -101.5]","[-1.835599899291992, -0.8188999891281128, 1.1119999885559082]","[0.6301162242889404, 0.2372949570417404, -0.4205021858215332]","[3.885199785232544, 7.624699592590332, -4.789400100708008]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.400,"[2.703207015991211, 9.342548370361328, -3.408921957015991]","[-0.8239579796791077, -0.4075950086116791, 0.3625729978084564, 0.1532939970493316, 0.8624240159988403, -0.8992215991020203, -3.072509765625]","[-3.875, -44.75, 10.5625]","[0.3252770006656647, 0.6283708810806274, -0.3390825688838959]","[-357.3125, -58.0625, -104.25]","[-1.0473999977111816, 0.942900002002716, 1.7213000059127808]","[0.3988251984119415, 0.6316869854927063, -0.343149185180664]","[3.9697999954223633, 7.676999568939209, -4.633800029754639]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.500,"[0.6976416707038879, 8.439139366149902, -4.0937113761901855]","[-0.819487988948822, -0.3776560127735138, 0.3878340125083923, 0.1881430000066757, 0.8729158043861389, -0.8708947896957397, 3.1176416873931885]","[-5.1875, -45.3125, 10.1875]","[0.1697681695222854, 0.867550790309906, -0.7438942193984985]","[-358.375, -58.5, -104.6875]","[-5.108399868011475, 1.9621999263763428, 1.1820999383926392]","[0.1362404078245163, 0.7798131108283997, -0.6393489837646484]","[4.0590996742248535, 7.501099586486816, -4.839999675750732]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.600,"[1.774869680404663, 7.252161502838135, -4.506203651428223]","[-0.8092119693756104, -0.3206689953804016, 0.4230119884014129, 0.2518079876899719, 0.8754579424858093, -0.8212733268737793, 2.940263271331787]","[-9.0, -44.4375, 9.0625]","[0.238953024148941, 1.5439705848693848, -1.1838045120239258]","[-361.9375, -57.75, -106.0]","[-0.6909999847412109, 3.255599975585937, 4.924099922180176]","[0.3102497160434723, 1.479236364364624, -1.22577965259552]","[4.280200004577637, 7.178599834442139, -5.12999963760376]",,,skidded_short,intermediate,blue
2024-02-25 16:11:43.700,"[3.867717981338501, 5.924605369567871, -5.733576774597168]","[-0.7851700186729431, -0.2709150016307831, 0.4553770124912262, 0.3205350041389465, 0.8900740146636963, -0.8000016808509827, 2.7643861770629883]","[-12.9375, -44.4375, 9.375]","[0.6200281977653503, 1.374883055686951, -1.2763941287994385]","[-366.0625, -57.5625, -105.625]","[-3.4564998149871826, 3.379699945449829, 3.014699935913086]","[0.4403989315032959, 1.448570966720581, -1.1971561908721924]","[4.299900054931641, 7.034800052642822, -5.309499740600586]",,,skidded_short,intermediate,blue
