time,TotalAcceleration,Orientation,Magnetometer,GyroscopeUncalibrated,MagnetometerUncalibrated,Accelerometer,Gyroscope,Gravity,Behavior,Status
2024-02-25 13:21:02.900,"[1.2430790662765503, 8.932843208312988, -4.573298931121826]","[0.7811560034751892, 0.5375639796257019, -0.3065679967403412, 0.0826670005917549, 1.1797847747802734, -0.9094344973564148, -2.298166513442993]","[5.875, -43.9375, 21.625]","[-0.0100007364526391, 0.3652799725532532, -0.2103470861911773]","[-346.75, -56.9375, -94.8125]","[-0.4812999963760376, 1.4204000234603882, 0.694599986076355]","[-0.01593485660851, 0.3676885068416595, -0.208462119102478]","[2.2955000400543213, 7.738899707794189, -5.56850004196167]",left,START
2024-02-25 13:21:03.000,"[0.6836690902709961, 8.888435363769531, -5.804541110992432]","[0.7806429862976074, 0.531046986579895, -0.3225170075893402, 0.0675859972834587, 1.193569540977478, -0.9035375118255616, -2.331941843032837]","[6.3125, -43.5625, 21.0625]","[-0.3520678281784057, 0.5496041774749756, -0.1699950695037841]","[-346.5625, -56.3125, -95.375]","[-0.2935999929904938, -2.201799869537353, 3.935599803924561]","[-0.3579844832420349, 0.5520127415657043, -0.168110117316246]","[2.235299825668335, 7.703299999237059, -5.6419997215271]",,
2024-02-25 13:21:03.100,"[1.7750036716461182, 7.968449115753174, -4.601531028747559]","[0.7761709690093994, 0.5238959789276123, -0.3463540077209472, 0.0559410005807876, 1.230468988418579, -0.8859478831291199, -2.350670337677002]","[6.9375, -43.625, 21.6875]","[-0.0807214751839637, 0.3306002616882324, -0.0293389838188886]","[-345.875, -56.3125, -94.5625]","[-0.6779999732971191, 1.0540000200271606, 1.169600009918213]","[-0.0866381451487541, 0.3330088257789612, -0.0274714827537536]","[2.070499897003174, 7.595399856567383, -5.847399711608887]",,
2024-02-25 13:21:03.200,"[1.481761813163757, 7.496465682983398, -4.828769683837891]","[0.771685004234314, 0.5219359993934631, -0.36005899310112, 0.0494010001420974, 1.2587746381759644, -0.8787875771522522, -2.354178667068481]","[7.5, -42.875, 22.0]","[-0.0948586463928222, 0.3490658402442932, -0.0757472887635231]","[-345.3125, -55.75, -94.3125]","[-1.4304999113082886, 6.217700004577637, 3.41540002822876]","[-0.100775308907032, 0.351474404335022, -0.0738797858357429]","[1.920899987220764, 7.550699710845947, -5.9552998542785645]",,
2024-02-25 13:21:03.300,"[2.774544715881348, 8.80837345123291, -3.8021934032440186]","[0.768468976020813, 0.516281008720398, -0.3752709925174713, 0.0455930009484291, 1.2821396589279177, -0.8621944189071655, -2.361824750900269]","[6.9375, -42.8125, 22.25]","[0.0924151837825775, 0.1062556430697441, -0.1873087286949157]","[-345.8125, -55.6875, -93.9375]","[-0.600600004196167, 2.0271999835968018, 1.4301999807357788]","[0.0864985138177871, 0.1086641997098922, -0.1854237765073776]","[1.81659996509552, 7.445899963378906, -6.117799758911133]",,
2024-02-25 13:21:03.400,"[1.2401869297027588, 8.457929611206055, -5.624851226806641]","[0.7694780230522156, 0.5097140073776245, -0.3832460045814514, 0.0348690003156662, 1.2807708978652954, -0.8597825765609741, -2.3926029205322266]","[6.375, -43.375, 21.0625]","[0.1378635615110397, 0.0762883424758911, -0.1748470813035965]","[-346.125, -56.0, -94.8125]","[-0.5846999883651733, 1.7386000156402588, 1.552799940109253]","[0.1319468915462494, 0.0786794424057006, -0.1729621291160583]","[1.830099940299988, 7.430500030517578, -6.132499694824219]",,
2024-02-25 13:21:03.500,"[0.3525509834289551, 7.574688911437988, -5.327500820159912]","[0.7712060213088989, 0.5039820075035095, -0.3884849846363067, 0.017917999997735, 1.2719488143920898, -0.8686011433601379, -2.435257196426392]","[5.875, -44.75, 20.125]","[-0.1384744197130203, 0.4252669215202331, -0.3513522446155548]","[-346.75, -57.4375, -95.9375]","[-1.6784999370574951, 2.457200050354004, 1.5324000120162964]","[-0.1443910896778106, 0.4276754856109619, -0.3494672775268554]","[1.864799976348877, 7.486599922180176, -6.053299903869629]",,
2024-02-25 13:21:03.600,"[2.137514591217041, 8.609548568725586, -4.861598968505859]","[0.7711840271949768, 0.4913820028305053, -0.4047360122203827, 0.0023660000879317, 1.2771565914154053, -0.857144832611084, -2.481463432312012]","[5.25, -44.5, 19.8125]","[-0.0425336733460426, 0.1095717698335647, -0.10930997133255]","[-347.1875, -57.375, -96.4375]","[0.3680999875068664, -0.5097000002861023, 2.143499851226806]","[-0.0484677925705909, 0.1119628697633743, -0.1074424684047699]","[1.8578999042510984, 7.413599967956543, -6.144599914550781]",,
2024-02-25 13:21:03.700,"[1.8263927698135376, 8.524478912353516, -4.894093036651611]","[-0.7696539759635925, -0.4871790111064911, 0.4125880002975464, 0.0076410002075135, 1.284376621246338, -0.8575222492218018, -2.502551317214966]","[4.9375, -45.0625, 18.9375]","[0.3658908307552337, 0.1410749703645706, -0.2737374305725097]","[-347.6875, -57.75, -97.125]","[0.0700000002980232, 2.204200029373169, 1.8499999046325684]","[0.3599741458892822, 0.1434835195541381, -0.2718524932861328]","[1.8126999139785769, 7.415999889373779, -6.155099868774414]",,
2024-02-25 13:21:03.800,"[0.9793242812156676, 8.291589736938477, -3.699032068252564]","[-0.7714909911155701, -0.4842450022697449, 0.4118919968605041, 0.0255389995872974, 1.266679763793945, -0.876055896282196, -2.545311689376831]","[4.5, -45.875, 17.625]","[0.1799434423446655, 0.2455503642559051, -0.548347532749176]","[-348.0, -58.5, -98.4375]","[-1.2523000240325928, 0.7038999795913696, 4.312999725341797]","[0.1740093231201172, 0.2479414790868759, -0.5464800596237183]","[1.8798999786376955, 7.533599853515625, -5.989899635314941]",,
2024-02-25 13:21:03.900,"[1.3447847366333008, 8.133333206176758, -3.7122769355773926]","[-0.7753350138664246, -0.4510230123996734, 0.4362350106239319, 0.0716260001063346, 1.236441135406494, -0.8662097454071045, -2.6903867721557617]","[2.875, -45.8125, 17.375]","[0.1396437883377075, 0.5171585083007812, -0.4986929297447204]","[-349.625, -58.75, -98.9375]","[-1.133099913597107, -0.5381999611854553, 0.6750999689102173]","[0.1337271332740783, 0.5195496082305908, -0.4968254268169403]","[2.084399938583374, 7.471499919891357, -6.0000996589660645]",,
2024-02-25 13:21:04.000,"[0.1580556184053421, 6.697558879852295, -5.35663366317749]","[-0.7656490206718445, -0.443789005279541, 0.4557920098304748, 0.0953200012445449, 1.269489288330078, -0.8733198046684265, -2.7272303104400635]","[2.625, -45.6875, 17.1875]","[0.1177224591374397, 0.6450737118721008, -0.2442413717508316]","[-350.125, -58.5625, -99.0625]","[-0.7904999852180481, 3.466899871826172, 3.317999839782715]","[0.1117883399128913, 0.6474822163581848, -0.2423738688230514]","[1.8691999912261963, 7.51639986038208, -6.014899730682373]",,
2024-02-25 13:21:04.100,"[3.513261318206787, 8.560018539428711, -5.527100563049316]","[-0.7583289742469788, -0.434684008359909, 0.4735069870948791, 0.1085190027952194, 1.299250245094299, -0.8664515018463135, -2.75011944770813]","[2.9375, -45.6875, 16.75]","[-0.0996233969926834, 0.7060031294822693, -0.2604031264781952]","[-350.1875, -58.5625, -99.75]","[-0.8499999642372131, 1.3823000192642212, 3.67549991607666]","[-0.1055575162172317, 0.708411693572998, -0.2585181593894958]","[1.7031999826431274, 7.473000049591064, -6.1173996925354]",,
2024-02-25 13:21:04.200,"[1.7313238382339478, 7.289022445678711, -3.3915112018585205]","[-0.7509539723396301, -0.4222730100154876, 0.4900999963283539, 0.1324930042028427, 1.315399169921875, -0.8696215152740479, -2.8019495010375977]","[2.5, -45.625, 16.25]","[0.2144486010074615, 0.6082821488380432, -0.3793647587299347]","[-350.125, -58.5625, -99.5625]","[-0.0584999993443489, -0.6970999836921692, -0.1648000031709671]","[0.2085319310426712, 0.610690712928772, -0.3774798214435577]","[1.5981999635696411, 7.493099689483643, -6.121099948883057]",,
2024-02-25 13:21:04.300,"[4.848325729370117, 12.106118202209473, -1.4774619340896606]","[-0.7517120242118835, -0.4091759920120239, 0.496872991323471, 0.1435929983854293, 1.304984450340271, -0.8600267171859741, -2.844903945922852]","[1.3125, -45.875, 15.8125]","[0.153606429696083, 0.1066047102212905, -0.1183158680796623]","[-351.375, -58.625, -100.4375]","[1.3788999319076538, -0.5870000123977661, -1.3090999126434326]","[0.1476897597312927, 0.1089958101511001, -0.1164309158921241]","[1.6805999279022217, 7.431999683380127, -6.173299789428711]",,
2024-02-25 13:21:04.400,"[0.4254496395587921, 10.383183479309082, -3.2127599716186523]","[-0.7541599869728088, -0.4030469954013824, 0.4955439865589142, 0.1524149924516677, 1.2843337059020996, -0.8617458343505859, -2.87813138961792]","[1.0, -46.125, 16.375]","[0.1105142459273338, -0.2826386094093323, -0.1165879964828491]","[-351.5625, -58.875, -99.8125]","[-1.6962999105453491, 1.4220999479293823, 1.9081000089645384]","[0.104597583413124, -0.2802300751209259, -0.1147030368447303]","[1.804099917411804, 7.442999839782715, -6.125]",,
2024-02-25 13:21:04.500,"[1.093250036239624, 7.801372051239014, -4.543026447296143]","[-0.7617279887199402, -0.3917419910430908, 0.48853200674057, 0.166263997554779, 1.232885479927063, -0.8621633648872375, -2.941328287124634]","[0.0, -46.4375, 15.4375]","[0.177918866276741, -0.2387610375881195, -0.3333229720592499]","[-352.8125, -59.25, -100.625]","[-0.2131999880075454, 1.174299955368042, 2.3436999320983887]","[0.1719847470521927, -0.2363524883985519, -0.3314380347728729]","[2.1157000064849854, 7.445699691772461, -6.021199703216553]",,
2024-02-25 13:21:04.600,"[0.3391242921352386, 10.45488452911377, -2.7992911338806152]","[-0.7621340155601501, -0.3757500052452087, 0.4993079900741577, 0.1692730039358139, 1.238129496574402, -0.8357242345809937, -2.965912103652954]","[-2.0, -46.0625, 15.1875]","[-0.2825513482093811, 0.2712067067623138, -0.2488490492105484]","[-354.6875, -58.875, -101.25]","[-1.9024999141693115, 0.2275999933481216, -1.5211999416351318]","[-0.2884854674339294, 0.2736152708530426, -0.246964082121849]","[2.14769983291626, 7.274399757385254, -6.216099739074707]",,
2024-02-25 13:21:04.700,"[1.5691981315612793, 13.024418830871582, -2.903218507766724]","[-0.760329008102417, -0.3722270131111145, 0.5033289790153503, 0.173222005367279, 1.2433029413223269, -0.8336730599403381, -2.975249767303467]","[-1.6875, -46.125, 15.8125]","[-0.0241379030048847, 0.0516791976988315, -0.002164208330214]","[-354.5625, -58.875, -100.125]","[-0.9924999475479126, 0.5941999554634094, 2.789299964904785]","[-0.0300545692443847, 0.0540877543389797, -0.00027925267932]","[2.120300054550171, 7.260900020599365, -6.241199970245361]",,
2024-02-25 13:21:04.800,"[1.9464094638824463, 9.205840110778809, -2.1419389247894287]","[-0.7570800185203552, -0.3705669939517975, 0.5035510063171387, 0.1895930022001266, 1.2333296537399292, -0.851147472858429, -3.0105514526367188]","[-2.4375, -46.5, 14.9375]","[0.2300692945718765, 0.2151118367910385, -0.1938013583421707]","[-355.125, -59.375, -101.0625]","[-0.3258000016212463, 1.93149995803833, 2.460899829864502]","[0.2241351753473281, 0.217520385980606, -0.1919164061546325]","[2.1401000022888184, 7.374899864196777, -6.099099636077881]",,
2024-02-25 13:21:04.900,"[0.2722015678882599, 9.648642539978027, -7.054754734039307]","[-0.7588710188865662, -0.3727410137653351, 0.4989700019359588, 0.1902800053358078, 1.2214751243591309, -0.8565890789031982, -3.014263868331909]","[-3.1875, -47.0625, 15.375]","[-0.0961152836680412, -0.0373849533498287, -0.0134390350431203]","[-355.9375, -59.8125, -100.9375]","[-1.0511000156402588, 3.2105000019073486, 1.6715999841690063]","[-0.1020319461822509, -0.0349763967096805, -0.0115715330466628]","[2.198499917984009, 7.409999847412109, -6.0355000495910645]",,
